5386_8684_000000_000000	[From Sicilianische Mahrchen.]	[From Sicilianische Mahrchen.]	false	4.83	15.105	20.473753
5386_8684_000001_000000	The Rogue And The Herdsman	The Rogue And The Herdsman	false	15.105	21.37	20.0213
5386_8684_000002_000000	In a tiny cottage near the king's palace there once lived an old man, his wife, and his son, a very lazy fellow, who would never do a stroke of work.	In a tiny cottage near the king's palace there once lived an old man, his wife, and his son, a very lazy fellow, who would never do a stroke of work.	true	21.92	30.49	18
5386_8684_000002_000001	He could not be got even to look after their one cow, but left her to look after herself, while he lay on a bank and went to sleep in the sun.	He could not be got even to look after their one cow, but left her to look after herself, while he lay on a bank and went to sleep in the sun	true	30.98	37.99	18
5386_8684_000002_000002	For a long time his father bore with him, hoping that as he grew older he might gain more sense; but at last the old man's patience was worn out, and he told his son that he should not stay at house in idleness, and must go out into the world to seek his fortune.	For a long time his father bore with him, hoping that as he grew older he might gain more sense; but at last the old man's patience was worn out, and he told his son that he should not stay at house in idleness, and must go out into the world to seek his fortune.	false	38.99	52.24	19.640226
5386_8684_000003_000000	The young man saw that there was no help for it, and he set out with a wallet full of food over his shoulder.	The young man saw that there was no help for it, and he set out with a wallet full of food over his shoulder.	true	53.18	57.97	19.095236
5386_8684_000003_000001	At length he came to a large house, at the door of which he knocked.	At length he came to a large house, at the door of which he knocked.	true	58.16	61.39	20.393137
5386_8684_000004_000000	'What do you want?' asked the old man who opened it.	'What do you want?' asked the old man who opened it.	true	61.85	64.6	25.097857
5386_8684_000004_000001	And the youth told him how his father had turned him out of his house because he was so lazy and stupid, and he needed shelter for the night.	And the youth told him how his father had turned him out of his house because he was so lazy and stupid, and he needed shelter for the night.	true	64.97	71.2	17.411379
5386_8684_000005_000000	'That you shall have,' replied the man; 'but to-morrow I shall give you some work to do, for you must know that I am the chief herdsman of the king.'	'That you shall have,' replied the man; 'but to morrow I shall give you some work to do, for you must know that I am the chief herdsman of the king.'	true	71.87	79.21	22.029696
5386_8684_000006_000000	The youth made no answer to this.	The youth made no answer to this.	true	79.88	81.73	16.318716
