5635_53458_000002_000003	But such was not the case with Popopo, the knook we are speaking of.	But such was not the case with Popopo, the knook we are speaking of.
5635_53458_000002_000004	He had lived thousands of years, and had enjoyed all the wonders he could think of.	He had lived thousands of years, and had enjoyed all the wonders he could think of.
5635_53458_000003_000000	Finally, by chance, Popopo thought of the earth people who dwell in cities, and so he resolved to visit them and see how they lived. This would surely be fine amusement, and serve to pass away many wearisome hours.	Finally, by chance, Popopo thought of the earth people who dwell in cities, and so he resolved to visit them and see how they lived. This would surely be fine amusement, and serve to pass away many wearisome hours.
5635_53458_000004_000000	Therefore one morning, after a breakfast so dainty that you could scarcely imagine it, Popopo set out for the earth and at once was in the midst of a big city.	Therefore one morning, after a breakfast so dainty that you could scarcely imagine it, Popopo set out for the earth and at once was in the midst of a big city.
5635_53458_000005_000001	His nerves were so shocked that before he had looked around three minutes he decided to give up the adventure, and instantly returned home.	His nerves were so shocked that before he had looked around three minutes he decided to give up the adventure, and instantly returned home.
5635_53458_000006_000002	He would visit them at night.	He would visit them at night.
5635_53458_000007_000000	So at the proper time Popopo transported himself in a jiffy to a great city, where he began wandering about the streets.	So at the proper time Popopo transported himself in a jiffy to a great city, where he began wandering about the streets.
5635_53458_000007_000001	Everyone was in bed.	Everyone was in bed.
5635_53458_000007_000003	Even the policemen slumbered slyly and there happened to be no prowling thieves abroad.	Even the policemen slumbered slyly and there happened to be no prowling thieves abroad.
5635_53458_000008_000000	His nerves being soothed by the stillness, Popopo began to enjoy himself.	His nerves being soothed by the stillness, Popopo began to enjoy himself.
5635_53458_000008_000002	Locks and bolts made no difference to a knook, and he saw as well in darkness as in daylight.	Locks and bolts made no difference to a knook, and he saw as well in darkness as in daylight.
5635_53458_000010_000000	During his wanderings he entered a millinery shop, and was surprised to see within a large glass case a great number of women's hats, each bearing in one position or another a stuffed bird.	During his wanderings he entered a millinery shop, and was surprised to see within a large glass case a great number of women's hats, each bearing in one position or another a stuffed bird.
5635_53458_000010_000001	Indeed, some of the most elaborate hats had two or three birds upon them.	Indeed, some of the most elaborate hats had two or three birds upon them.
5635_53458_000011_000001	To see so many of his little friends shut up in a glass case annoyed and grieved Popopo, who had no idea they had purposely been placed upon the hats by the milliner.	To see so many of his little friends shut up in a glass case annoyed and grieved Popopo, who had no idea they had purposely been placed upon the hats by the milliner.
5635_53458_000011_000002	So he slid back one of the doors of the case, gave the little chirruping whistle of the knooks that all birds know well, and called:	So he slid back one of the doors of the case, gave the little chirruping whistle of the knooks that all birds know well, and called:
5635_53458_000012_000000	"Come, friends; the door is open--fly out!"	"Come, friends; the door is open-fly out!"
