8705_290361_000000_000000	CHAPTER XXIII.	CHAPTER twenty three.	true	22.2	23.65	22.482664
8705_290361_000001_000000	OF OUR COMPLEX IDEAS OF SUBSTANCES.	OF OUR COMPLEX IDEAS OF SUBSTANCES.	true	23.9	27.01	20.4986
8705_290361_000002_000000	The mind being, as I have declared, furnished with a great number of the simple ideas, conveyed in by the senses as they are found in exterior things, or by reflection on its own operations, takes notice also that a certain number of these simple ideas go constantly together; which being presumed to belong to one thing, and words being suited to common apprehensions, and made use of for quick dispatch are called, so united in one subject, by one name; which, by inadvertency, we are apt afterward to talk of and consider as one simple idea, which indeed is a complication of many ideas together: because, as I have said, not imagining how these simple ideas CAN subsist by themselves, we accustom ourselves to suppose some SUBSTRATUM wherein they do subsist, and from which they do result, which therefore we call SUBSTANCE.	The mind being, as I have declared, furnished with a great number of the simple ideas, conveyed in by the senses as they are found in exterior things, or by reflection on its own operations, takes notice also that a certain number of these simple ideas go constantly together; which being presumed to belong to one thing, and words being suited to common apprehensions, and made use of for quick dispatch are called, so united in one subject, by one name; which, by inadvertency, we are apt afterward to talk of and consider as one simple idea, which indeed is a complication of many ideas together: because, as I have said, not imagining how these simple ideas CAN subsist by themselves, we accustom ourselves to suppose some SUBSTRATUM wherein they do subsist, and from which they do result, which therefore we call SUBSTANCE.	true	28.46	85.11	19.836136
8705_290361_000003_000000	2.	two.	false	85.11	86.52	14.668205
8705_290361_000003_000001	Our obscure Idea of Substance in general.	Our obscure Idea of Substance in general.	true	86.52	89.62	19
8705_290361_000004_000000	So that if any one will examine himself concerning his notion of pure substance in general, he will find he has no other idea of it at all, but only a supposition of he knows not what SUPPORT of such qualities which are capable of producing simple ideas in us; which qualities are commonly called accidents.	So that if any one will examine himself concerning his notion of pure substance in general, he will find he has no other idea of it at all, but only a supposition of he knows not what SUPPORT of such qualities which are capable of producing simple ideas in us; which qualities are commonly called accidents.	false	90.11	109.75	20.111658
8705_290361_000004_000001	If any one should be asked, what is the subject wherein colour or weight inheres, he would have nothing to say, but the solid extended parts; and if he were demanded, what is it that solidity and extension adhere in, he would not be in a much better case than the Indian before mentioned who, saying that the world was supported by a great elephant, was asked what the elephant rested on; to which his answer was--a great tortoise: but being again pressed to know what gave support to the broad-backed tortoise, replied--SOMETHING, HE KNEW NOT WHAT.	If any one should be asked, what is the subject wherein colour or weight inheres, he would have nothing to say, but the solid extended parts; and if he were demanded, what is it that solidity and extension adhere in, he would not be in a much better case than the Indian before mentioned who, saying that the world was supported by a great elephant, was asked what the elephant rested on; to which his answer was-a great tortoise: but being again pressed to know what gave support to the broad backed tortoise, replied-SOMETHING, HE KNEW NOT WHAT.	false	110.09	144.94	21.030952
8705_290361_000004_000002	And thus here, as in all other cases where we use words without having clear and distinct ideas, we talk like children: who, being questioned what such a thing is, which they know not, readily give this satisfactory answer, that it is SOMETHING: which in truth signifies no more, when so used, either by children or men, but that they know not what; and that the thing they pretend to know, and talk of, is what they have no distinct idea of at all, and so are perfectly ignorant of it, and in the dark.	And thus here, as in all other cases where we use words without having clear and distinct ideas, we talk like children: who, being questioned what such a thing is, which they know not, readily give this satisfactory answer, that it is SOMETHING: which in truth signifies no more, when so used, either by children or men, but that they know not what; and that the thing they pretend to know, and talk of, is what they have no distinct idea of at all, and so are perfectly ignorant of it, and in the dark.	false	145.25	178.335	20.098553
8705_290361_000004_000003	The idea then we have, to which we give the GENERAL name substance, being nothing but the supposed, but unknown, support of those qualities we find existing, which we imagine cannot subsist SINE RE SUBSTANTE, without something to support them, we call that support SUBSTANTIA; which, according to the true import of the word, is, in plain English, standing under or upholding.	The idea then we have, to which we give the GENERAL name substance, being nothing but the supposed, but unknown, support of those qualities we find existing, which we imagine cannot subsist SINE RE s u b s t a n t e, without something to support them, we call that support s u b s t a n t i a; which, according to the true import of the word, is, in plain English, standing under or upholding.	false	178.335	204.37	19.992727
8705_290361_000005_000000	3.	three.	true	204.65	205.45	18.040405
8705_290361_000005_000001	Of the Sorts of Substances.	Of the Sorts of Substances.	true	206.03	208.03	18.838486
8705_290361_000006_000000	An obscure and relative idea of SUBSTANCE IN GENERAL being thus made we come to have the ideas of PARTICULAR SORTS OF SUBSTANCES, by collecting SUCH combinations of simple ideas as are, by experience and observation of men's senses, taken notice of to exist together; and are therefore supposed to flow from the particular internal constitution, or unknown essence of that substance.	An obscure and relative idea of SUBSTANCE IN GENERAL being thus made we come to have the ideas of PARTICULAR SORTS OF SUBSTANCES, by collecting SUCH combinations of simple ideas as are, by experience and observation of men's senses, taken notice of to exist together; and are therefore supposed to flow from the particular internal constitution, or unknown essence of that substance.	true	208.4	235.06	19.916515
