7825_258978_000000_000000	CHAPTER 26	CHAPTER twenty six	false	0.48	25.215	23.350471
7825_258978_000001_000000	MACHINERY AND LABOR	MACHINERY AND LABOR	true	25.215	26.76	25.20284
7825_258978_000002_000000	Sec. I. EXTENT OF THE USE OF MACHINERY	Sec. i EXTENT OF THE USE OF MACHINERY	false	26.76	30.18	22.61467
7825_258978_000003_000000	[Sidenote: Tools, machines, and power]	[Sidenote: Tools, machines, and power]	false	30.18	30.705	-20
7825_258978_000004_000000	1.	one.	true	30.705	31.29	25.46595
7825_258978_000004_000001	_A machine is a mechanical device by which power is applied in an automatically repeated manner, to change the place or form of things._ It is not easy, perhaps not important, to distinguish the machine from the tool in every case.	underscore A machine is a mechanical device by which power is applied in an automatically repeated manner, to change the place or form of things.underscore It is not easy, perhaps not important, to distinguish the machine from the tool in every case.	false	31.29	44.5	24.869917
7825_258978_000004_000002	Tools are portions of matter, such as bone, wood, iron, which man guides and directs in applying his energy to things.	Tools are portions of matter, such as bone, wood, iron, which man guides and directs in applying his energy to things.	true	44.69	51.81	22.313847
7825_258978_000004_000003	A machine may be used by the foot, but the hand is the great tool-using member.	A machine may be used by the foot, but the hand is the great tool using member.	false	51.81	56.41	22.628244
7825_258978_000004_000004	In many cases there is a clearly marked distinction between tool and machine.	In many cases there is a clearly marked distinction between tool and machine.	true	56.48	60.67	25.096039
7825_258978_000004_000005	A simple, single piece that can be taken into the hand, as a spade, a hammer, a knife, is a tool; a combination of wheels, levers, pulleys, etc., is a machine.	A simple, single piece that can be taken into the hand, as a spade, a hammer, a knife, is a tool; a combination of wheels, levers, pulleys, etc, is a machine.	true	60.74	71.32	23.86884
7825_258978_000004_000006	The simplest machine is but a slight adaptation of the tool, by which power may be applied in an automatically repeated manner.	The simplest machine is but a slight adaptation of the tool, by which power may be applied in an automatically repeated manner.	false	71.45	78.55	25.301607
7825_258978_000004_000007	The drag develops into the cart, a simple machine.	The drag develops into the cart, a simple machine.	true	78.59	81.85	23.742413
7825_258978_000004_000008	The spinning-stick, a tool used in ancient times, developed into the Saxon spinning-wheel of the sixteenth century, the form used when America was colonized.	The spinning stick, a tool used in ancient times, developed into the Saxon spinning wheel of the sixteenth century, the form used when America was colonized.	true	81.89	90.765	24.542336
7825_258978_000004_000009	The use of power derived from nature, as that of wind and water and steam, while not the essential mark of machines, is the most characteristic feature of their modern development.	The use of power derived from nature, as that of wind and water and steam, while not the essential mark of machines, is the most characteristic feature of their modern development.	true	90.765	100.74	23.20139
7825_258978_000004_000010	Hand-machines, such as the hand-press and the type-writer, have had important industrial results, but it is the use of power leading to the concentration of industry and the ownership of machinery by the employers that has the greatest significance in the modern economic problem.	Hand machines, such as the hand press and the type writer, have had important industrial results, but it is the use of power leading to the concentration of industry and the ownership of machinery by the employers that has the greatest significance in the modern economic problem.	false	100.74	117.12	23.507254
7825_258978_000005_000000	[Sidenote: Machinery brought in an industrial revolution]	[Sidenote: Machinery brought in an industrial revolution]	false	117.12	118.98	30.804237
7825_258978_000006_000000	2.	two.	false	118.98	118.98	
