8183_118128_000002_000000	AN IRISH GIRL'S DEVOTION TO FREEDOM.	AN IRISH GIRL'S DEVOTION TO FREEDOM.
8183_118128_000004_000000	"April 27, 1855.	"april twenty seventh eighteen fifty five.
8183_118128_000004_000001	John Hall arrived safely from Richmond, Va., per schooner, (Captain B).	john Hall arrived safely from richmond virginia, per schooner, (Captain B).
8183_118128_000004_000003	John had been sold several times, in consequence of which, he had possessed very good opportunities of experiencing the effect of change of owners.	john had been sold several times, in consequence of which, he had possessed very good opportunities of experiencing the effect of change of owners.
8183_118128_000004_000004	Then, too, the personal examination made before sale, and the gratification afforded his master when he (John), brought a good price--left no very pleasing impressions on his mind.	Then, too, the personal examination made before sale, and the gratification afforded his master when he (john), brought a good price-left no very pleasing impressions on his mind.
8183_118128_000005_000000	By one of his owners, named Burke, John alleged that he had been "cruelly used." When quite young, both he and his sister, together with their mother, were sold by Burke.	By one of his owners, named Burke, john alleged that he had been "cruelly used." When quite young, both he and his sister, together with their mother, were sold by Burke.
8183_118128_000005_000001	From that time he had seen neither mother nor sister--they were sold separately.	From that time he had seen neither mother nor sister-they were sold separately.
8183_118128_000005_000002	For three or four years the desire to seek liberty had been fondly cherished, and nothing but the want of a favorable opportunity had deterred him from carrying out his designs.	For three or four years the desire to seek liberty had been fondly cherished, and nothing but the want of a favorable opportunity had deterred him from carrying out his designs.
8183_118128_000005_000003	He considered himself much "imposed upon" by his master, particularly as he was allowed "no choice about living" as he "desired." This was indeed ill-treatment as John viewed the matter.	He considered himself much "imposed upon" by his master, particularly as he was allowed "no choice about living" as he "desired." This was indeed ill treatment as john viewed the matter.
8183_118128_000005_000005	He was about thirty-five years of age, light complexion--tall--rather handsome-looking, intelligent, and of good manners.	He was about thirty five years of age, light complexion-tall-rather handsome looking, intelligent, and of good manners.
8183_118128_000005_000008	The idea of having had a white father, in many instances, depreciated the pecuniary value of male slaves, if not of the other sex. John emphatically was one of this injured class; he evidently had blood in his veins which decidedly warred against submitting to the yoke.	The idea of having had a white father, in many instances, depreciated the pecuniary value of male slaves, if not of the other sex. john emphatically was one of this injured class; he evidently had blood in his veins which decidedly warred against submitting to the yoke.
8183_118128_000005_000009	In addition to the influence which such rebellious blood exerted over him, together with a considerable amount of intelligence, he was also under the influence and advice of a daughter of old Ireland.	In addition to the influence which such rebellious blood exerted over him, together with a considerable amount of intelligence, he was also under the influence and advice of a daughter of old Ireland.
8183_118128_000005_000010	She was heart and soul with John in all his plans which looked Canada-ward.	She was heart and soul with john in all his plans which looked Canada ward.
8183_118128_000005_000011	This it was that "sent him away."	This it was that "sent him away."
8183_118128_000006_000000	It is very certain, that this Irish girl was not annoyed by the kinks in John's hair.	It is very certain, that this Irish girl was not annoyed by the kinks in John's hair.
8183_118128_000006_000001	Nor was she overly fastidious about the small percentage of colored blood visible in John's complexion.	Nor was she overly fastidious about the small percentage of colored blood visible in John's complexion.
8183_118128_000006_000002	It was, however, a strange occurrence and very hard to understand.	It was, however, a strange occurrence and very hard to understand.
8183_118128_000006_000003	Not a stone was left unturned until John was safely on the Underground Rail Road.	Not a stone was left unturned until john was safely on the Underground Rail Road.
8183_118128_000006_000004	Doubtless she helped to earn the money which was paid for his passage.	Doubtless she helped to earn the money which was paid for his passage.
8183_118128_000006_000005	And when he was safe off, it is not too much to say, that John was not a whit more delighted than was his intended Irish lassie, Mary Weaver.	And when he was safe off, it is not too much to say, that john was not a whit more delighted than was his intended Irish lassie, Mary Weaver.
8183_118128_000006_000006	John had no sooner reached Canada than Mary's heart was there too.	john had no sooner reached Canada than Mary's heart was there too.
8183_118128_000006_000007	Circumstances, however, required that she should remain in Richmond a number of months for the purpose of winding up some of her affairs.	Circumstances, however, required that she should remain in Richmond a number of months for the purpose of winding up some of her affairs.
8183_118128_000006_000008	As soon as the way opened for her, she followed him.	As soon as the way opened for her, she followed him.
8183_118128_000006_000009	It was quite manifest, that she had not let a single opportunity slide, but seized the first chance and arrived partly by means of the Underground Rail Road and partly by the regular train. Many difficulties were surmounted before and after leaving Richmond, by which they earned their merited success.	It was quite manifest, that she had not let a single opportunity slide, but seized the first chance and arrived partly by means of the Underground Rail Road and partly by the regular train. Many difficulties were surmounted before and after leaving Richmond, by which they earned their merited success.
8183_118128_000006_000011	At least two or three of these letters, bearing on particular phases of their escape, etc., are too valuable not to be published in this connection:	At least two or three of these letters, bearing on particular phases of their escape, etc, are too valuable not to be published in this connection:
8183_118128_000007_000000	FIRST LETTER.	FIRST LETTER.
8183_118128_000008_000000	HAMILTON, March 25th, 1856.	HAMILTON, march twenty fifth eighteen fifty six.
8183_118128_000009_000000	Mr. Still:--Sir and Friend--I take the liberty of addressing you with these few lines hoping that you will attend to what I shall request of you.	mr Still:--Sir and Friend-I take the liberty of addressing you with these few lines hoping that you will attend to what I shall request of you.
8183_118128_000010_000000	I have written to Virginia and have not received an answer yet. I want to know if you can get any one of your city to go to Richmond for me.	I have written to Virginia and have not received an answer yet. I want to know if you can get any one of your city to go to Richmond for me.
8183_118128_000010_000001	If you can, I will pay the expense of the whole.	If you can, I will pay the expense of the whole.
8183_118128_000010_000002	The person that I want the messenger to see is a white girl.	The person that I want the messenger to see is a white girl.
8183_118128_000010_000003	I expect you know who I allude to, it is the girl that sent me away.	I expect you know who I allude to, it is the girl that sent me away.
8183_118128_000010_000005	I will forward the money and a letter.	I will forward the money and a letter.
