4592_22178_000000_000000	CHAPTER XVII	CHAPTER seventeen	false	3.69	8.52	24.333727
4592_22178_000001_000000	Pierre was shown into the large, brightly lit dining room; a few minutes later he heard footsteps and Princess Mary entered with Natasha.	Pierre was shown into the large, brightly lit dining room; a few minutes later he heard footsteps and Princess Mary entered with Natasha.	true	8.52	16.33	20.64253
4592_22178_000001_000001	Natasha was calm, though a severe and grave expression had again settled on her face.	Natasha was calm, though a severe and grave expression had again settled on her face.	true	16.55	21.46	22.190138
4592_22178_000001_000002	They all three of them now experienced that feeling of awkwardness which usually follows after a serious and heartfelt talk.	They all three of them now experienced that feeling of awkwardness which usually follows after a serious and heartfelt talk.	true	21.92	28	24.34184
4592_22178_000001_000003	It is impossible to go back to the same conversation, to talk of trifles is awkward, and yet the desire to speak is there and silence seems like affectation.	It is impossible to go back to the same conversation, to talk of trifles is awkward, and yet the desire to speak is there and silence seems like affectation.	true	28.13	37.24	22.064598
4592_22178_000001_000004	They went silently to table.	They went silently to table.	false	37.67	39.615	23.219597
4592_22178_000001_000005	The footmen drew back the chairs and pushed them up again.	The footmen drew back the chairs and pushed them up again.	true	39.615	42.67	23.603502
4592_22178_000001_000006	Pierre unfolded his cold table napkin and, resolving to break the silence, looked at Natasha and at Princess Mary.	Pierre unfolded his cold table napkin and, resolving to break the silence, looked at Natasha and at Princess Mary.	false	42.89	49.41	20.639193
4592_22178_000001_000007	They had evidently both formed the same resolution; the eyes of both shone with satisfaction and a confession that besides sorrow life also has joy.	They had evidently both formed the same resolution; the eyes of both shone with satisfaction and a confession that besides sorrow life also has joy.	false	49.41	59.17	21.00354
4592_22178_000002_000000	"Do you take vodka, Count?" asked Princess Mary, and those words suddenly banished the shadows of the past.	"Do you take vodka, Count?" asked Princess Mary, and those words suddenly banished the shadows of the past.	false	60.02	65.62	24
4592_22178_000002_000001	"Now tell us about yourself," said she.	"Now tell us about yourself," said she.	false	65.9	68.31	23.686039
4592_22178_000002_000002	"One hears such improbable wonders about you."	"One hears such improbable wonders about you."	true	68.31	70.66	19.767096
4592_22178_000003_000000	"Yes," replied Pierre with the smile of mild irony now habitual to him.	"Yes," replied Pierre with the smile of mild irony now habitual to him.	false	70.97	75.43	22.94394
4592_22178_000003_000001	"They even tell me wonders I myself never dreamed of!	"They even tell me wonders I myself never dreamed of!	true	75.62	78.82	21.104733
4592_22178_000003_000002	Mary Abramovna invited me to her house and kept telling me what had happened, or ought to have happened, to me.	Mary Abramovna invited me to her house and kept telling me what had happened, or ought to have happened, to me.	false	78.95	84.88	22.601294
4592_22178_000003_000003	Stepan Stepanych also instructed me how I ought to tell of my experiences.	Stepan Stepanych also instructed me how I ought to tell of my experiences.	true	85.04	89.5	23
4592_22178_000003_000004	In general I have noticed that it is very easy to be an interesting man (I am an interesting man now); people invite me out and tell me all about myself."	In general I have noticed that it is very easy to be an interesting man (I am an interesting man now); people invite me out and tell me all about myself."	true	89.63	98.17	22.697346
4592_22178_000004_000000	Natasha smiled and was on the point of speaking.	Natasha smiled and was on the point of speaking.	true	98.18	100.63	21.18931
4592_22178_000005_000000	"We have been told," Princess Mary interrupted her, "that you lost two millions in Moscow.	"We have been told," Princess Mary interrupted her, "that you lost two millions in Moscow.	true	101.15	105.9	24.910646
4592_22178_000005_000001	Is that true?"	Is that true?"	true	105.9	106.87	28.955212
4592_22178_000006_000000	"But I am three times as rich as before," returned Pierre.	"But I am three times as rich as before," returned Pierre.	true	107.24	110.71	21.87207
4592_22178_000007_000000	Though the position was now altered by his decision to pay his wife's debts and to rebuild his houses, Pierre still maintained that he had become three times as rich as before.	Though the position was now altered by his decision to pay his wife's debts and to rebuild his houses, Pierre still maintained that he had become three times as rich as before.	false	110.78	120.67	22.96161
4592_22178_000008_000000	"What I have certainly gained is freedom," he began seriously, but did not continue, noticing that this theme was too egotistic.	"What I have certainly gained is freedom," he began seriously, but did not continue, noticing that this theme was too egotistic.	true	121.19	128.94	20.977255
4592_22178_000009_000000	"And are you building?"	"And are you building?"	false	128.94	130.42	22.301476
4592_22178_000010_000000	"Yes.	"Yes.	true	130.82	131.55	14.811033
4592_22178_000010_000001	Savelich says I must!"	Savelich says I must!"	false	131.55	133.06	22
4592_22178_000011_000000	"Tell me, you did not know of the countess' death when you decided to remain in Moscow?" asked Princess Mary and immediately blushed, noticing that her question, following his mention of freedom, ascribed to his words a meaning he had perhaps not intended.	"Tell me, you did not know of the countess' death when you decided to remain in Moscow?" asked Princess Mary and immediately blushed, noticing that her question, following his mention of freedom, ascribed to his words a meaning he had perhaps not intended.	false	133.37	146.56	21.445934
4592_22178_000012_000000	"No," answered Pierre, evidently not considering awkward the meaning Princess Mary had given to his words.	"No," answered Pierre, evidently not considering awkward the meaning Princess Mary had given to his words.	true	146.9	153.25	22.273384
4592_22178_000012_000001	"I heard of it in Orel and you cannot imagine how it shocked me.	"I heard of it in Orel and you cannot imagine how it shocked me.	false	153.5	156.88	21.212492
4592_22178_000012_000002	We were not an exemplary couple," he added quickly, glancing at Natasha and noticing on her face curiosity as to how he would speak of his wife, "but her death shocked me terribly.	We were not an exemplary couple," he added quickly, glancing at Natasha and noticing on her face curiosity as to how he would speak of his wife, "but her death shocked me terribly.	true	157.13	166.81	21.363323
4592_22178_000012_000003	When two people quarrel they are always both in fault, and one's own guilt suddenly becomes terribly serious when the other is no longer alive.	When two people quarrel they are always both in fault, and one's own guilt suddenly becomes terribly serious when the other is no longer alive.	false	167.09	174.01	19
4592_22178_000012_000004	And then such a death... without friends and without consolation!	And then such a death... without friends and without consolation!	true	174.23	178.09	19.844675
4592_22178_000012_000005	I am very, very sorry for her," he concluded, and was pleased to notice a look of glad approval on Natasha's face.	I am very, very sorry for her," he concluded, and was pleased to notice a look of glad approval on Natasha's face.	true	178.46	184.48	21.38444
4592_22178_000013_000000	"Yes, and so you are once more an eligible bachelor," said Princess Mary.	"Yes, and so you are once more an eligible bachelor," said Princess Mary.	true	185.36	189.22	21.158886
4592_22178_000014_000000	Pierre suddenly flushed crimson and for a long time tried not to look at Natasha.	Pierre suddenly flushed crimson and for a long time tried not to look at Natasha.	true	189.83	194.5	21.617235
4592_22178_000014_000001	When he ventured to glance her way again her face was cold, stern, and he fancied even contemptuous.	When he ventured to glance her way again her face was cold, stern, and he fancied even contemptuous.	true	194.6	200.83	22
4592_22178_000015_000000	"And did you really see and speak to Napoleon, as we have been told?" said Princess Mary.	"And did you really see and speak to Napoleon, as we have been told?" said Princess Mary.	true	201.29	205.81	19.896238
4592_22178_000016_000000	Pierre laughed.	Pierre laughed.	true	206	206.955	22.182299
4592_22178_000017_000000	"No, not once!	"No, not once!	true	206.955	208.21	20.881374
4592_22178_000017_000001	Everybody seems to imagine that being taken prisoner means being Napoleon's guest.	Everybody seems to imagine that being taken prisoner means being Napoleon's guest.	true	208.22	212.41	18
4592_22178_000017_000002	Not only did I never see him but I heard nothing about him--I was in much lower company!"	Not only did I never see him but I heard nothing about him-I was in much lower company!"	true	212.57	217.45	19.075155
