4973_44575_000001_000000	CHAPTER I	CHAPTER one
4973_44575_000002_000000	ACQUIRING CONFIDENCE BEFORE AN AUDIENCE	ACQUIRING CONFIDENCE BEFORE AN AUDIENCE
4973_44575_000003_000000	There is a strange sensation often experienced in the presence of an audience.	There is a strange sensation often experienced in the presence of an audience.
4973_44575_000003_000001	It may proceed from the gaze of the many eyes that turn upon the speaker, especially if he permits himself to steadily return that gaze.	It may proceed from the gaze of the many eyes that turn upon the speaker, especially if he permits himself to steadily return that gaze.
4973_44575_000003_000002	Most speakers have been conscious of this in a nameless thrill, a real something, pervading the atmosphere, tangible, evanescent, indescribable.	Most speakers have been conscious of this in a nameless thrill, a real something, pervading the atmosphere, tangible, evanescent, indescribable.
4973_44575_000003_000003	All writers have borne testimony to the power of a speaker's eye in impressing an audience.	All writers have borne testimony to the power of a speaker's eye in impressing an audience.
4973_44575_000008_000000	Apply horse-sense to ridding yourself of self-consciousness and fear: face an audience as frequently as you can, and you will soon stop shying.	Apply horse sense to ridding yourself of self consciousness and fear: face an audience as frequently as you can, and you will soon stop shying.
4973_44575_000008_000001	You can never attain freedom from stage-fright by reading a treatise.	You can never attain freedom from stage fright by reading a treatise.
4973_44575_000009_000001	You must learn to speak by speaking.	You must learn to speak by speaking.
4973_44575_000010_000000	The Apostle Paul tells us that every man must work out his own salvation.	The Apostle Paul tells us that every man must work out his own salvation.
4973_44575_000010_000001	All we can do here is to offer you suggestions as to how best to prepare for your plunge.	All we can do here is to offer you suggestions as to how best to prepare for your plunge.
4973_44575_000010_000002	The real plunge no one can take for you.	The real plunge no one can take for you.
4973_44575_000011_000000	Do not be disheartened if at first you suffer from stage-fright.	Do not be disheartened if at first you suffer from stage fright.
4973_44575_000011_000001	Dan Patch was more susceptible to suffering than a superannuated dray horse would be.	Dan Patch was more susceptible to suffering than a superannuated dray horse would be.
4973_44575_000011_000002	It never hurts a fool to appear before an audience, for his capacity is not a capacity for feeling.	It never hurts a fool to appear before an audience, for his capacity is not a capacity for feeling.
4973_44575_000011_000003	A blow that would kill a civilized man soon heals on a savage.	A blow that would kill a civilized man soon heals on a savage.
4973_44575_000011_000004	The higher we go in the scale of life, the greater is the capacity for suffering.	The higher we go in the scale of life, the greater is the capacity for suffering.
4973_44575_000015_000000	Apply the blacksmith's homely principle when you are speaking.	Apply the blacksmith's homely principle when you are speaking.
4973_44575_000016_000000	Self-consciousness is undue consciousness of self, and, for the purpose of delivery, self is secondary to your subject, not only in the opinion of the audience, but, if you are wise, in your own.	Self consciousness is undue consciousness of self, and, for the purpose of delivery, self is secondary to your subject, not only in the opinion of the audience, but, if you are wise, in your own.
4973_44575_000016_000001	To hold any other view is to regard yourself as an exhibit instead of as a messenger with a message worth delivering.	To hold any other view is to regard yourself as an exhibit instead of as a messenger with a message worth delivering.
4973_44575_000016_000002	Do you remember Elbert Hubbard's tremendous little tract, "A Message to Garcia"?	Do you remember Elbert Hubbard's tremendous little tract, "A Message to Garcia"?
4973_44575_000016_000003	The youth subordinated himself to the message he bore.	The youth subordinated himself to the message he bore.
4973_44575_000016_000006	Say this to yourself sternly, and shame your self-consciousness into quiescence.	Say this to yourself sternly, and shame your self consciousness into quiescence.
4973_44575_000016_000007	If the theater caught fire you could rush to the stage and shout directions to the audience without any self-consciousness, for the importance of what you were saying would drive all fear-thoughts out of your mind.	If the theater caught fire you could rush to the stage and shout directions to the audience without any self consciousness, for the importance of what you were saying would drive all fear thoughts out of your mind.
4973_44575_000017_000000	Far worse than self-consciousness through fear of doing poorly is self-consciousness through assumption of doing well.	Far worse than self consciousness through fear of doing poorly is self consciousness through assumption of doing well.
4973_44575_000017_000001	The first sign of greatness is when a man does not attempt to look and act great.	The first sign of greatness is when a man does not attempt to look and act great.
4973_44575_000017_000002	Before you can call yourself a man at all, Kipling assures us, you must "not look too good nor talk too wise."	Before you can call yourself a man at all, Kipling assures us, you must "not look too good nor talk too wise."
4973_44575_000018_000000	Nothing advertises itself so thoroughly as conceit.	Nothing advertises itself so thoroughly as conceit.
4973_44575_000018_000002	Voltaire said, "We must conceal self-love." But that can not be done.	Voltaire said, "We must conceal self love." But that can not be done.
4973_44575_000018_000003	You know this to be true, for you have recognized overweening self-love in others.	You know this to be true, for you have recognized overweening self love in others.
4973_44575_000018_000005	There are things in this world bigger than self, and in working for them self will be forgotten, or--what is better--remembered only so as to help us win toward higher things.	There are things in this world bigger than self, and in working for them self will be forgotten, or-what is better-remembered only so as to help us win toward higher things.
4973_44575_000020_000000	The trouble with many speakers is that they go before an audience with their minds a blank.	The trouble with many speakers is that they go before an audience with their minds a blank.
4973_44575_000020_000001	It is no wonder that nature, abhorring a vacuum, fills them with the nearest thing handy, which generally happens to be, "I wonder if I am doing this right!	It is no wonder that nature, abhorring a vacuum, fills them with the nearest thing handy, which generally happens to be, "I wonder if I am doing this right!
4973_44575_000020_000002	How does my hair look?	How does my hair look?
4973_44575_000020_000003	I know I shall fail." Their prophetic souls are sure to be right.	I know I shall fail." Their prophetic souls are sure to be right.
4973_44575_000021_000000	It is not enough to be absorbed by your subject--to acquire self-confidence you must have something in which to be confident.	It is not enough to be absorbed by your subject-to acquire self confidence you must have something in which to be confident.
4973_44575_000021_000001	If you go before an audience without any preparation, or previous knowledge of your subject, you ought to be self-conscious--you ought to be ashamed to steal the time of your audience.	If you go before an audience without any preparation, or previous knowledge of your subject, you ought to be self conscious-you ought to be ashamed to steal the time of your audience.
4973_44575_000021_000002	Prepare yourself.	Prepare yourself.
4973_44575_000021_000003	Know what you are going to talk about, and, in general, how you are going to say it.	Know what you are going to talk about, and, in general, how you are going to say it.
4973_44575_000021_000004	Have the first few sentences worked out completely so that you may not be troubled in the beginning to find words.	Have the first few sentences worked out completely so that you may not be troubled in the beginning to find words.
4973_44575_000021_000005	Know your subject better than your hearers know it, and you have nothing to fear.	Know your subject better than your hearers know it, and you have nothing to fear.
4973_44575_000023_000000	Let your bearing be modestly confident, but most of all be modestly confident within.	Let your bearing be modestly confident, but most of all be modestly confident within.
4973_44575_000023_000001	Over-confidence is bad, but to tolerate premonitions of failure is worse, for a bold man may win attention by his very bearing, while a rabbit-hearted coward invites disaster.	Over confidence is bad, but to tolerate premonitions of failure is worse, for a bold man may win attention by his very bearing, while a rabbit hearted coward invites disaster.
4973_44575_000024_000000	Humility is not the personal discount that we must offer in the presence of others--against this old interpretation there has been a most healthy modern reaction.	Humility is not the personal discount that we must offer in the presence of others-against this old interpretation there has been a most healthy modern reaction.
4973_44575_000025_000000	Washington Irving once introduced Charles Dickens at a dinner given in the latter's honor.	Washington Irving once introduced Charles Dickens at a dinner given in the latter's honor.
4973_44575_000025_000001	In the middle of his speech Irving hesitated, became embarrassed, and sat down awkwardly.	In the middle of his speech Irving hesitated, became embarrassed, and sat down awkwardly.
4973_44575_000025_000002	Turning to a friend beside him he remarked, "There, I told you I would fail, and I did."	Turning to a friend beside him he remarked, "There, I told you I would fail, and I did."
4973_44575_000026_000000	If you believe you will fail, there is no hope for you.	If you believe you will fail, there is no hope for you.
4973_44575_000026_000001	You will.	You will.
4973_44575_000027_000000	Rid yourself of this I-am-a-poor-worm-in-the-dust idea.	Rid yourself of this I am a poor worm in the dust idea.
4973_44575_000027_000001	You are a god, with infinite capabilities.	You are a god, with infinite capabilities.
4973_44575_000027_000002	"All things are ready if the mind be so." The eagle looks the cloudless sun in the face.	"All things are ready if the mind be so." The eagle looks the cloudless sun in the face.
