4973_44575_000000_000000	--WILLIAM PENN.	--WILLIAM PENN.	false	12.48	22.365	24.826748
4973_44575_000001_000000	CHAPTER I	CHAPTER one	true	22.365	23.38	27.06939
4973_44575_000002_000000	ACQUIRING CONFIDENCE BEFORE AN AUDIENCE	ACQUIRING CONFIDENCE BEFORE AN AUDIENCE	true	23.51	25.99	26.244284
4973_44575_000003_000000	There is a strange sensation often experienced in the presence of an audience.	There is a strange sensation often experienced in the presence of an audience.	true	28.19	32.14	20.40269
4973_44575_000003_000001	It may proceed from the gaze of the many eyes that turn upon the speaker, especially if he permits himself to steadily return that gaze.	It may proceed from the gaze of the many eyes that turn upon the speaker, especially if he permits himself to steadily return that gaze.	true	32.39	39.46	23.67968
4973_44575_000003_000002	Most speakers have been conscious of this in a nameless thrill, a real something, pervading the atmosphere, tangible, evanescent, indescribable.	Most speakers have been conscious of this in a nameless thrill, a real something, pervading the atmosphere, tangible, evanescent, indescribable.	true	39.77	48.28	23.935268
4973_44575_000003_000003	All writers have borne testimony to the power of a speaker's eye in impressing an audience.	All writers have borne testimony to the power of a speaker's eye in impressing an audience.	true	48.5	53.44	23.870333
4973_44575_000003_000004	This influence which we are now considering is the reverse of that picture--the power _their_ eyes may exert upon him, especially before he begins to speak: after the inward fires of oratory are fanned into flame the eyes of the audience lose all terror.	This influence which we are now considering is the reverse of that picture-the power underscore their underscore eyes may exert upon him, especially before he begins to speak: after the inward fires of oratory are fanned into flame the eyes of the audience lose all terror.	false	53.72	68.41	22.991823
4973_44575_000004_000000	--WILLIAM PITTENGER, _Extempore Speech_.	--WILLIAM PITTENGER, underscore Extempore Speech underscore.	false	69.35	72.48	25.456863
4973_44575_000005_000000	Students of public speaking continually ask, "How can I overcome self-consciousness and the fear that paralyzes me before an audience?"	Students of public speaking continually ask, "How can I overcome self consciousness and the fear that paralyzes me before an audience?"	false	72.48	79.84	22
4973_44575_000006_000000	Did you ever notice in looking from a train window that some horses feed near the track and never even pause to look up at the thundering cars, while just ahead at the next railroad crossing a farmer's wife will be nervously trying to quiet her scared horse as the train goes by?	Did you ever notice in looking from a train window that some horses feed near the track and never even pause to look up at the thundering cars, while just ahead at the next railroad crossing a farmer's wife will be nervously trying to quiet her scared horse as the train goes by?	false	79.88	93.97	23
4973_44575_000007_000000	How would you cure a horse that is afraid of cars--graze him in a back-woods lot where he would never see steam-engines or automobiles, or drive or pasture him where he would frequently see the machines?	How would you cure a horse that is afraid of cars-graze him in a back woods lot where he would never see steam engines or automobiles, or drive or pasture him where he would frequently see the machines?	false	94.76	105.16	23.270737
4973_44575_000008_000000	Apply horse-sense to ridding yourself of self-consciousness and fear: face an audience as frequently as you can, and you will soon stop shying.	Apply horse sense to ridding yourself of self consciousness and fear: face an audience as frequently as you can, and you will soon stop shying.	true	106.52	114.55	22.244968
4973_44575_000008_000001	You can never attain freedom from stage-fright by reading a treatise.	You can never attain freedom from stage fright by reading a treatise.	true	115.25	118.6	21
4973_44575_000008_000002	A book may give you excellent suggestions on how best to conduct yourself in the water, but sooner or later you must get wet, perhaps even strangle and be "half scared to death." There are a great many "wetless" bathing suits worn at the seashore, but no one ever learns to swim in them.	A book may give you excellent suggestions on how best to conduct yourself in the water, but sooner or later you must get wet, perhaps even strangle and be "half scared to death." There are a great many "wetless" bathing suits worn at the seashore, but no one ever learns to swim in them.	false	118.88	134.68	21.168762
4973_44575_000008_000003	To plunge is the only way.	To plunge is the only way.	true	134.93	136.72	19.79612
