6060_58090_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	3.03	4.78	19.058199
6060_58090_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	5	7.9	21.663486
6060_58090_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	8.24	13.78	21.495277
6060_58090_000001_000000	THE SMALCALD ARTICLES ***	THE SMALCALD ARTICLES asterisk asterisk asterisk	false	14.72	16.05	17.147636
6060_58090_000002_000000	Produced by Allen Mulvey	Produced by Allen Mulvey	false	16.05	16.23	21
6060_58090_000003_000000	THE SMALCALD ARTICLES	THE SMALCALD ARTICLES	false	16.23	16.23	
6060_58090_000004_000000	By Martin Luther	By Martin Luther	false	16.23	17.19	17
6060_58090_000005_000000	_The Smalcald Articles. Articles of Christian Doctrine which were to have been presented on our part to the Council, if any had been assembled at Mantua or elsewhere, indicating what we could accept or yield, and what we could not._	underscore The Smalcald Articles. Articles of Christian Doctrine which were to have been presented on our part to the Council, if any had been assembled at Mantua or elsewhere, indicating what we could accept or yield, and what we could not.underscore	false	17.19	17.43	-20
6060_58090_000006_000000	by Dr. Martin Luther, 1537	by dr Martin Luther, fifteen thirty seven	false	17.43	17.49	-20
6060_58090_000007_000000	Translated by F. Bente and W. H. T. Dau	Translated by f Bente and w h t Dau	true	17.49	21.27	21.804129
6060_58090_000008_000000	Published in: _Triglot Concordia: The Symbolical Books of the Ev.	Published in: underscore Triglot Concordia: The Symbolical Books of the Ev.	false	21.27	21.33	-20
6060_58090_000008_000001	Lutheran Church_. (St. Louis: Concordia Publishing House, 1921), pp. 453-529.	Lutheran Church underscore. (saint Louis: Concordia Publishing House, nineteen twenty one), p p. four hundred fifty three to five hundred twenty nine.	false	21.33	21.51	1
6060_58090_000009_000000	Preface of Dr. Martin Luther.	Preface of dr Martin Luther.	false	21.51	24	16.095436
6060_58090_000010_000000	Since Pope Paul III convoked a Council last year, to assemble at Mantua about Whitsuntide, and afterwards transferred it from Mantua, so that it is not yet known where he will or can fix it, and we on our part either had to expect that we would be summoned also to the Council or [to fear that we would] be condemned unsummoned, I was directed to compile and collect the articles of our doctrine [in order that it might be plain] in case of deliberation as to what and how far we would be both willing and able to yield to the Papists, and in what points we intended to persevere and abide to the end.	Since Pope Paul the third convoked a Council last year, to assemble at Mantua about Whitsuntide, and afterwards transferred it from Mantua, so that it is not yet known where he will or can fix it, and we on our part either had to expect that we would be summoned also to the Council or [to fear that we would] be condemned unsummoned, I was directed to compile and collect the articles of our doctrine [in order that it might be plain] in case of deliberation as to what and how far we would be both willing and able to yield to the Papists, and in what points we intended to persevere and abide to the end.	true	24	63.58	19.968874
6060_58090_000011_000000	I have accordingly compiled these articles and presented them to our side.	I have accordingly compiled these articles and presented them to our side.	true	64.79	69.46	20.18212
