5519_39481_000000_000000	One day he tried taking with him the stereoscope and a pack of cards.	One day he tried taking with him the stereoscope and a pack of cards.	true	19.845	23.14	21
5519_39481_000001_000000	But though his Silvia was affectionate and amiable enough to let him put the stereoscope over her muzzle, yet she would not look through it, but kept turning her head to lick his hand, and it was plain to him that now she had quite forgotten the use of the instrument.	But though his Silvia was affectionate and amiable enough to let him put the stereoscope over her muzzle, yet she would not look through it, but kept turning her head to lick his hand, and it was plain to him that now she had quite forgotten the use of the instrument.	true	23.75	36.43	21.048365
5519_39481_000001_000001	It was the same too with the cards.	It was the same too with the cards.	true	37.07	38.86	23.83071
5519_39481_000001_000002	For with them she was pleased enough, but only delighting to bite at them, and flip them about with her paws, and never considering for a moment whether they were diamonds or clubs, or hearts, or spades or whether the card was an ace or not.	For with them she was pleased enough, but only delighting to bite at them, and flip them about with her paws, and never considering for a moment whether they were diamonds or clubs, or hearts, or spades or whether the card was an ace or not.	true	39.08	51.43	24.43664
5519_39481_000001_000003	So it was evident that she had forgotten the nature of cards too.	So it was evident that she had forgotten the nature of cards too.	true	51.92	54.97	22.390081
5519_39481_000002_000000	Thereafter he only brought them things which she could better enjoy, that is sugar, grapes, raisins, and butcher's meat.	Thereafter he only brought them things which she could better enjoy, that is sugar, grapes, raisins, and butcher's meat.	true	55.52	62.11	21.055462
5519_39481_000003_000000	By-and-bye, as the summer wore on, the cubs came to know him, and he them, so that he was able to tell them easily apart, and then he christened them.	By and bye, as the summer wore on, the cubs came to know him, and he them, so that he was able to tell them easily apart, and then he christened them.	false	62.63	71.2	21.312212
5519_39481_000003_000001	For this purpose he brought a little bowl of water, sprinkled them as if in baptism and told them he was their godfather and gave each of them a name, calling them Sorel, Kasper, Selwyn, Esther, and Angelica.	For this purpose he brought a little bowl of water, sprinkled them as if in baptism and told them he was their godfather and gave each of them a name, calling them Sorel, Kasper, Selwyn, esther, and Angelica.	false	71.6	84.76	20.785948
5519_39481_000004_000000	Sorel was a clumsy little beast of a cheery and indeed puppyish disposition; Kasper was fierce, the largest of the five, even in his play he would always bite, and gave his godfather many a sharp nip as time went on.	Sorel was a clumsy little beast of a cheery and indeed puppyish disposition; Kasper was fierce, the largest of the five, even in his play he would always bite, and gave his godfather many a sharp nip as time went on.	true	85.25	98.17	22.757048
5519_39481_000004_000001	Esther was of a dark complexion, a true brunette and very sturdy; Angelica the brightest red and the most exactly like her mother; while Selwyn was the smallest cub, of a very prying, inquisitive and cunning temper, but delicate and undersized.	esther was of a dark complexion, a true brunette and very sturdy; Angelica the brightest red and the most exactly like her mother; while Selwyn was the smallest cub, of a very prying, inquisitive and cunning temper, but delicate and undersized.	true	99.74	114.94	21.720156
5519_39481_000005_000000	Thus Mr. Tebrick had a whole family now to occupy him, and, indeed, came to love them with very much of a father's love and partiality.	Thus mr Tebrick had a whole family now to occupy him, and, indeed, came to love them with very much of a father's love and partiality.	true	115.4	122.53	21.371054
5519_39481_000006_000000	His favourite was Angelica (who reminded him so much of her mother in her pretty ways) because of a gentleness which was lacking in the others, even in their play.	His favourite was Angelica (who reminded him so much of her mother in her pretty ways) because of a gentleness which was lacking in the others, even in their play.	true	123.59	132.85	19.689562
5519_39481_000006_000001	After her in his affections came Selwyn, whom he soon saw was the most intelligent of the whole litter.	After her in his affections came Selwyn, whom he soon saw was the most intelligent of the whole litter.	true	133.31	138.49	20.677279
5519_39481_000006_000002	Indeed he was so much more quick-witted than the rest that Mr. Tebrick was led into speculating as to whether he had not inherited something of the human from his dam.	Indeed he was so much more quick witted than the rest that mr Tebrick was led into speculating as to whether he had not inherited something of the human from his dam.	true	138.83	146.62	17
5519_39481_000006_000003	Thus very early he learnt to know his name, and would come when he was called, and what was stranger still, he learnt the names of his brothers and sisters before they came to do so themselves.	Thus very early he learnt to know his name, and would come when he was called, and what was stranger still, he learnt the names of his brothers and sisters before they came to do so themselves.	false	147.32	156.54	21.021877
5519_39481_000007_000000	Besides all this he was something of a young philosopher, for though his brother Kasper tyrannized over him he put up with it all with an unruffled temper.	Besides all this he was something of a young philosopher, for though his brother Kasper tyrannized over him he put up with it all with an unruffled temper.	false	156.54	164.47	22.787249
5519_39481_000007_000001	He was not, however, above playing tricks on the others, and one day when Mr. Tebrick was by, he made believe that there was a mouse in a hole some little way off.	He was not, however, above playing tricks on the others, and one day when mr Tebrick was by, he made believe that there was a mouse in a hole some little way off.	true	164.78	173.23	20.973091
5519_39481_000007_000002	Very soon he was joined by Sorel, and presently by Kasper and Esther.	Very soon he was joined by Sorel, and presently by Kasper and esther.	true	173.75	177.76	19
5519_39481_000007_000003	When he had got them all digging, it was easy for him to slip away, and then he came to his godfather with a sly look, sat down before him, and smiled and then jerked his head over towards the others and smiled again and wrinkled his brows so that Mr. Tebrick knew as well as if he had spoken that the youngster was saying, "Have I not made fools of them all?"	When he had got them all digging, it was easy for him to slip away, and then he came to his godfather with a sly look, sat down before him, and smiled and then jerked his head over towards the others and smiled again and wrinkled his brows so that mr Tebrick knew as well as if he had spoken that the youngster was saying, "Have I not made fools of them all?"	true	178.16	195.97	22.386854
5519_39481_000008_000000	He was the only one that was curious about Mr. Tebrick: he made him take out his watch, put his ear to it, considered it and wrinkled up his brows in perplexity.	He was the only one that was curious about mr Tebrick: he made him take out his watch, put his ear to it, considered it and wrinkled up his brows in perplexity.	true	197.36	205.9	19.939028
5519_39481_000008_000001	On the next visit it was the same thing.	On the next visit it was the same thing.	true	206.48	208.54	24.658398
5519_39481_000008_000002	He must see the watch again, and again think over it.	He must see the watch again, and again think over it.	false	208.88	212.19	20.124878
5519_39481_000008_000003	But clever as he was, little Selwyn could never understand it, and if his mother remembered anything about watches it was a subject which she never attempted to explain to her children.	But clever as he was, little Selwyn could never understand it, and if his mother remembered anything about watches it was a subject which she never attempted to explain to her children.	true	212.19	221.17	20.71494
5519_39481_000009_000000	One day Mr. Tebrick left the earth as usual and ran down the slope to the road, when he was surprised to find a carriage waiting before his house and a coachman walking about near his gate.	One day mr Tebrick left the earth as usual and ran down the slope to the road, when he was surprised to find a carriage waiting before his house and a coachman walking about near his gate.	true	221.72	230.83	20
