1603_139324_000000_000000	CHAPTER XXIII	CHAPTER twenty three	true	20.91	22.12	20
1603_139324_000001_000000	GRAHAM SPEAKS HIS WORD	GRAHAM SPEAKS HIS WORD	true	22.55	24.28	18.15561
1603_139324_000002_000000	For a time the Master of the Earth was not even master of his own mind. Even his will seemed a will not his own, his own acts surprised him and were but a part of the confusion of strange experiences that poured across his being.	For a time the Master of the Earth was not even master of his own mind. Even his will seemed a will not his own, his own acts surprised him and were but a part of the confusion of strange experiences that poured across his being.	false	25.52	38.11	19.232307
1603_139324_000002_000001	These things were definite, the negroes were coming, Helen Wotton had warned the people of their coming, and he was Master of the Earth.	These things were definite, the negroes were coming, Helen Wotton had warned the people of their coming, and he was Master of the Earth.	true	38.84	46	19.735409
1603_139324_000002_000002	Each of these facts seemed struggling for complete possession of his thoughts.	Each of these facts seemed struggling for complete possession of his thoughts.	true	46.55	50.14	20.622925
1603_139324_000002_000003	They protruded from a background of swarming halls, elevated passages, rooms jammed with ward leaders in council, kinematograph and telephone rooms, and windows looking out on a seething sea of marching men.	They protruded from a background of swarming halls, elevated passages, rooms jammed with ward leaders in council, kinematograph and telephone rooms, and windows looking out on a seething sea of marching men.	true	50.87	62.83	18.92978
1603_139324_000002_000004	The men in yellow, and men whom he fancied were called Ward Leaders, were either propelling him forward or following him obediently; it was hard to tell.	The men in yellow, and men whom he fancied were called Ward Leaders, were either propelling him forward or following him obediently; it was hard to tell.	true	63.56	71.44	20.190603
1603_139324_000002_000005	Perhaps they were doing a little of both.	Perhaps they were doing a little of both.	true	71.87	73.81	19.505264
1603_139324_000002_000006	Perhaps some power unseen and unsuspected propelled them all.	Perhaps some power unseen and unsuspected propelled them all.	true	74.09	77.59	22
1603_139324_000002_000007	He was aware that he was going to make a proclamation to the People of the Earth, aware of certain grandiose phrases floating in his mind as the thing he meant to say.	He was aware that he was going to make a proclamation to the People of the Earth, aware of certain grandiose phrases floating in his mind as the thing he meant to say.	true	78.41	86.98	19.01898
1603_139324_000002_000008	Many little things happened, and then he found himself with the man in yellow entering a little room where this proclamation of his was to be made.	Many little things happened, and then he found himself with the man in yellow entering a little room where this proclamation of his was to be made.	true	87.89	95.23	20.099512
1603_139324_000003_000000	This room was grotesquely latter-day in its appointments.	This room was grotesquely latter day in its appointments.	true	96.17	99.01	19
1603_139324_000003_000001	In the centre was a bright oval lit by shaded electric lights from above.	In the centre was a bright oval lit by shaded electric lights from above.	true	99.56	103.6	21.162506
