5727_47032_000000_000000	***	asterisk asterisk asterisk	false	0	0.39	100
5727_47032_000001_000000	My old acquaintance left this world as lonesomely as he had lived in it.	My old acquaintance left this world as lonesomely as he had lived in it.	false	0.39	2.64	17
5727_47032_000001_000001	Last winter, while crossing a mountain-range, he was overtaken by a snowstorm, and lost his way.	Last winter, while crossing a mountain range, he was overtaken by a snowstorm, and lost his way.	false	2.64	6.09	20.925335
5727_47032_000001_000002	Many days later he was found standing erect at the foot of a pine, with his little pack strapped to his shoulders: a statue of ice--arms folded and eyes closed as in meditation.	Many days later he was found standing erect at the foot of a pine, with his little pack strapped to his shoulders: a statue of ice-arms folded and eyes closed as in meditation.	false	6.09	18.18	18.560635
5727_47032_000001_000003	Probably, while waiting for the storm to pass, he had yielded to the drowsiness of cold, and the drift had risen over him as he slept.	Probably, while waiting for the storm to pass, he had yielded to the drowsiness of cold, and the drift had risen over him as he slept.	false	18.18	19.5	16
5727_47032_000001_000004	Hearing of this strange death I remembered the old Japanese saying,--Uranaiya minouye shiradzu: "The fortune-teller knows not his own fate."	Hearing of this strange death I remembered the old Japanese saying,--Uranaiya minouye shiradzu: "The fortune teller knows not his own fate."	false	19.5	23.025	16.17527
5727_47032_000002_000000	Silkworms	Silkworms	true	23.025	24.19	19.88279
5727_47032_000003_000000	I was puzzled by the phrase, "silkworm-moth eyebrow," in an old Japanese, or rather Chinese proverb:--The silkworm-moth eyebrow of a woman is the axe that cuts down the wisdom of man.	I was puzzled by the phrase, "silkworm moth eyebrow," in an old Japanese, or rather Chinese proverb:--The silkworm moth eyebrow of a woman is the axe that cuts down the wisdom of man.	true	26.84	39.82	19.609444
5727_47032_000003_000001	So I went to my friend Niimi, who keeps silkworms, to ask for an explanation.	So I went to my friend Niimi, who keeps silkworms, to ask for an explanation.	true	40.88	45.43	19.251436
5727_47032_000004_000000	"Is it possible," he exclaimed, "that you never saw a silkworm- moth?	"Is it possible," he exclaimed, "that you never saw a silkworm moth?	true	46.58	51.19	20.654747
5727_47032_000004_000001	The silkworm-moth has very beautiful eyebrows."	The silkworm moth has very beautiful eyebrows."	true	51.65	54.19	21.694084
5727_47032_000005_000000	"Eyebrows?" I queried, in astonishment.	"Eyebrows?" I queried, in astonishment.	true	55.13	57.52	15.423719
5727_47032_000005_000001	"Well, call them what you like," returned Niimi;--"the poets call them eyebrows....	"Well, call them what you like," returned Niimi;--"the poets call them eyebrows....	true	57.95	62.14	22.831213
5727_47032_000005_000002	Wait a moment, and I will show you."	Wait a moment, and I will show you."	true	62.21	63.76	18.228199
