4111_184448_000004_000002	But this torture book found that out about me, and stopped it the very first thing on page three.	But this torture book found that out about me, and stopped it the very first thing on page three.
4111_184448_000004_000003	The command is to sleep as little as possible to keep the nerves in a good condition--"eight hours at the most, and seven would be better." What earthly good would a seven-hour nap do me?	The command is to sleep as little as possible to keep the nerves in a good condition-"eight hours at the most, and seven would be better." What earthly good would a seven hour nap do me?
4111_184448_000004_000004	I want ten hours to sleep and twelve if I get a good tired start.	I want ten hours to sleep and twelve if I get a good tired start.
4111_184448_000004_000005	To see me stagger out of my perfectly nice bed at six o'clock every morning now would wring the sternest heart with compassion and admiration at my faithfulness--to whom?	To see me stagger out of my perfectly nice bed at six o'clock every morning now would wring the sternest heart with compassion and admiration at my faithfulness-to whom?
4111_184448_000005_000004	Anyhow, it made me take a resolve.	Anyhow, it made me take a resolve.
4111_184448_000005_000005	After breakfast, I went into the kitchen to speak to Jane.	After breakfast, I went into the kitchen to speak to Jane.
4111_184448_000006_000000	"Jane," I said, looking past her head, "my health is not very good, and you can bring my breakfast to me in bed after this." Poor Mr. Carter always wanted breakfast on the stroke of seven.	"Jane," I said, looking past her head, "my health is not very good, and you can bring my breakfast to me in bed after this." Poor mr Carter always wanted breakfast on the stroke of seven.
4111_184448_000006_000001	Jane has buried husbands.	Jane has buried husbands.
4111_184448_000006_000003	Jane understands everything I say to her.	Jane understands everything I say to her.
4111_184448_000006_000005	But that was before my martyrdom to this book had begun.	But that was before my martyrdom to this book had begun.
4111_184448_000006_000006	I get up now!	I get up now!
4111_184448_000007_000002	I was thinking about things.	I was thinking about things.
4111_184448_000009_000000	The subject of the conduct of widows is a serious one.	The subject of the conduct of widows is a serious one.
4111_184448_000012_000002	It was the dearest old-fashioned tune ever written, and Billy sang the words as distinctly as if he had been a boy chorister doing a difficult recitative.	It was the dearest old-fashioned tune ever written, and Billy sang the words as distinctly as if he had been a boy chorister doing a difficult recitative.
4111_184448_000012_000003	My heart beat so it shook the lace on my breast, like a breeze from heaven, as he took the high note and then let it go on the last few words.	My heart beat so it shook the lace on my breast, like a breeze from heaven, as he took the high note and then let it go on the last few words.
