6519_231834_000000_000000	And so ended the barrister's first meeting with the strange tenant of the Silent House.	And so ended the barrister's first meeting with the strange tenant of the Silent House.	false	0	19.42	21.435658
6519_231834_000001_000000	CHAPTER II	CHAPTER two	true	19.52	20.65	24.162397
6519_231834_000002_000000	SHADOWS ON THE BLIND	SHADOWS ON THE BLIND	true	21.02	22.57	20.580107
6519_231834_000003_000000	The landlady of Denzil was a rather uncommon specimen of the class.	The landlady of Denzil was a rather uncommon specimen of the class.	false	23.18	27.51	20.863255
6519_231834_000003_000001	She inclined to plumpness, was lively in the extreme, wore very fashionable garments of the brightest colours, and--although somewhat elderly--still cherished a hope that some young man would elevate her to the rank of a matron.	She inclined to plumpness, was lively in the extreme, wore very fashionable garments of the brightest colours, and-although somewhat elderly-still cherished a hope that some young man would elevate her to the rank of a matron.	false	27.51	41.38	20.75973
6519_231834_000004_000000	At present, Miss Julia Greeb was an unwedded damsel of forty summers, who, with the aid of art, was making desperate but ineffectual efforts to detain the youth which was slipping from her.	At present, Miss Julia Greeb was an unwedded damsel of forty summers, who, with the aid of art, was making desperate but ineffectual efforts to detain the youth which was slipping from her.	true	42.2	54.61	22.188927
6519_231834_000004_000001	She pinched her waist, dyed her hair, powdered her face, and affected juvenile dress of the white frock and blue sash kind.	She pinched her waist, dyed her hair, powdered her face, and affected juvenile dress of the white frock and blue sash kind.	true	55.07	63.31	21
6519_231834_000004_000002	In the distance she looked a girlish twenty; close at hand various artifices aided her to pass for thirty; and it was only in the solitude of her own room that her real age was apparent.	In the distance she looked a girlish twenty; close at hand various artifices aided her to pass for thirty; and it was only in the solitude of her own room that her real age was apparent.	true	63.62	75.73	21
6519_231834_000004_000003	Never did woman wage a more resolute fight with Time than did Miss Greeb.	Never did woman wage a more resolute fight with Time than did Miss Greeb.	true	76.1	81.73	19.820557
6519_231834_000005_000000	But this was the worst and most frivolous side of her character, for she was really a good-hearted, cheery little woman, with a brisk manner, and a flow of talk unequalled in Geneva Square.	But this was the worst and most frivolous side of her character, for she was really a good hearted, cheery little woman, with a brisk manner, and a flow of talk unequalled in Geneva Square.	true	82.61	94.42	22.504648
6519_231834_000005_000001	She had been born in the house she occupied, after the death of her father, and had grown up to assist her mother in ministering to the exactions of a continuous procession of lodgers.	She had been born in the house she occupied, after the death of her father, and had grown up to assist her mother in ministering to the exactions of a continuous procession of lodgers.	true	94.85	105.91	19
6519_231834_000005_000002	These came and went, married and died; but not one of the desirable young men had borne Miss Greeb to the altar, so that when her mother died the fair Julia almost despaired of attaining to the dignity of wifehood.	These came and went, married and died; but not one of the desirable young men had borne Miss Greeb to the altar, so that when her mother died the fair Julia almost despaired of attaining to the dignity of wifehood.	false	106.16	118.69	21.406256
