6519_231834_000001_000000	CHAPTER II	CHAPTER two
6519_231834_000002_000000	SHADOWS ON THE BLIND	SHADOWS ON THE BLIND
6519_231834_000004_000000	At present, Miss Julia Greeb was an unwedded damsel of forty summers, who, with the aid of art, was making desperate but ineffectual efforts to detain the youth which was slipping from her.	At present, Miss Julia Greeb was an unwedded damsel of forty summers, who, with the aid of art, was making desperate but ineffectual efforts to detain the youth which was slipping from her.
6519_231834_000004_000001	She pinched her waist, dyed her hair, powdered her face, and affected juvenile dress of the white frock and blue sash kind.	She pinched her waist, dyed her hair, powdered her face, and affected juvenile dress of the white frock and blue sash kind.
6519_231834_000004_000002	In the distance she looked a girlish twenty; close at hand various artifices aided her to pass for thirty; and it was only in the solitude of her own room that her real age was apparent.	In the distance she looked a girlish twenty; close at hand various artifices aided her to pass for thirty; and it was only in the solitude of her own room that her real age was apparent.
6519_231834_000005_000000	But this was the worst and most frivolous side of her character, for she was really a good-hearted, cheery little woman, with a brisk manner, and a flow of talk unequalled in Geneva Square.	But this was the worst and most frivolous side of her character, for she was really a good hearted, cheery little woman, with a brisk manner, and a flow of talk unequalled in Geneva Square.
6519_231834_000005_000003	Nevertheless, she continued to keep boarders, and to make attempts to captivate the hearts of such bachelors as she judged weak in character.	Nevertheless, she continued to keep boarders, and to make attempts to captivate the hearts of such bachelors as she judged weak in character.
6519_231834_000006_000001	He was her god, her ideal of manhood, and to him she offered worship, and burnt incense after the manner of her kind.	He was her god, her ideal of manhood, and to him she offered worship, and burnt incense after the manner of her kind.
6519_231834_000007_000001	Miss Greeb attended to his needs herself, and brought up his breakfast with her own fair hands, happy for the day if her admired lodger conversed with her for a few moments before reading the morning paper.	Miss Greeb attended to his needs herself, and brought up his breakfast with her own fair hands, happy for the day if her admired lodger conversed with her for a few moments before reading the morning paper.
6519_231834_000007_000004	Poor brainless, silly, pitiful Miss Greeb; she would have made a good wife and a fond mother, but by some irony of fate she was destined to be neither; and the comedy of her husband-hunting youth was now changing into the lonely tragedy of disappointed spinsterhood.	Poor brainless, silly, pitiful Miss Greeb; she would have made a good wife and a fond mother, but by some irony of fate she was destined to be neither; and the comedy of her husband hunting youth was now changing into the lonely tragedy of disappointed spinsterhood.
6519_231834_000007_000005	She was one of the world's unknown martyrs, and her fate merits tears rather than laughter.	She was one of the world's unknown martyrs, and her fate merits tears rather than laughter.
