8410_278217_000001_000000	WHAT HAPPENED IN THE BACK PARLOUR OF THE BANKING-HOUSE.	WHAT HAPPENED IN THE BACK PARLOUR OF THE BANKING HOUSE.
8410_278217_000002_000000	Henry Dunbar arrived in London a couple of hours after Mr. Vernon left the Abbey.	Henry Dunbar arrived in London a couple of hours after mr Vernon left the Abbey.
8410_278217_000002_000001	He went straight to the Clarendon Hotel.	He went straight to the Clarendon Hotel.
8410_278217_000002_000002	He had no servant with him, and his luggage consisted only of a portmanteau, a dressing-case, and a despatch-box; the same despatch-box whose contents he had so carefully studied at the Winchester hotel, upon the night of the murder in the grove.	He had no servant with him, and his luggage consisted only of a portmanteau, a dressing case, and a despatch box; the same despatch box whose contents he had so carefully studied at the Winchester hotel, upon the night of the murder in the grove.
8410_278217_000003_000000	The day after his arrival was Sunday, and all that day the banker occupied himself in reading a morocco-bound manuscript volume, which he took from the despatch-box.	The day after his arrival was Sunday, and all that day the banker occupied himself in reading a morocco bound manuscript volume, which he took from the despatch box.
8410_278217_000004_000000	There was a black fog upon this November day, and the atmosphere out of doors was cold and bleak.	There was a black fog upon this November day, and the atmosphere out of doors was cold and bleak.
8410_278217_000004_000001	But the room in which Henry Dunbar sat looked the very picture of comfort and elegance.	But the room in which Henry Dunbar sat looked the very picture of comfort and elegance.
8410_278217_000005_000000	He had drawn his chair close to the fire, and on a table near his elbow were arranged the open despatch-box, a tall crystal jug of Burgundy, with a goblet-shaped glass, on a salver, and a case of cigars.	He had drawn his chair close to the fire, and on a table near his elbow were arranged the open despatch box, a tall crystal jug of Burgundy, with a goblet shaped glass, on a salver, and a case of cigars.
8410_278217_000006_000000	Until long after dark that evening, Henry Dunbar sat by the fire, smoking and drinking, and reading the manuscript volume.	Until long after dark that evening, Henry Dunbar sat by the fire, smoking and drinking, and reading the manuscript volume.
8410_278217_000006_000001	He only paused now and then to take pencil-notes of its contents in a little memorandum-book, which he carried in the breast-pocket of his coat.	He only paused now and then to take pencil notes of its contents in a little memorandum book, which he carried in the breast pocket of his coat.
8410_278217_000007_000000	It was not till seven o'clock, when the liveried servant who waited upon him came to inform him that his dinner was served in an adjoining chamber, that Mr. Dunbar rose from his seat and put away the book in the despatch-box.	It was not till seven o'clock, when the liveried servant who waited upon him came to inform him that his dinner was served in an adjoining chamber, that mr Dunbar rose from his seat and put away the book in the despatch box.
8410_278217_000007_000001	He laid down the volume on the table while he replaced other papers in the box, and it fell open at the first page.	He laid down the volume on the table while he replaced other papers in the box, and it fell open at the first page.
8410_278217_000007_000002	On that first page was written, in Henry Dunbar's bold, legible hand--	On that first page was written, in Henry Dunbar's bold, legible hand-
8410_278217_000009_000000	This was the book the banker had been studying all that winter's day.	This was the book the banker had been studying all that winter's day.
8410_278217_000012_000000	It was by no means wonderful, then, that, after becoming possessor of the united fortunes of his father and his uncle, Henry Dunbar should keep aloof from a place that had always been obnoxious to him.	It was by no means wonderful, then, that, after becoming possessor of the united fortunes of his father and his uncle, Henry Dunbar should keep aloof from a place that had always been obnoxious to him.
