8410_278217_000000_000000	CHAPTER XXVI.	CHAPTER twenty six.	false	0.96	23.38	26.260231
8410_278217_000001_000000	WHAT HAPPENED IN THE BACK PARLOUR OF THE BANKING-HOUSE.	WHAT HAPPENED IN THE BACK PARLOUR OF THE BANKING HOUSE.	true	23.63	26.59	32.971676
8410_278217_000002_000000	Henry Dunbar arrived in London a couple of hours after Mr. Vernon left the Abbey.	Henry Dunbar arrived in London a couple of hours after mr Vernon left the Abbey.	true	27.77	32.38	27
8410_278217_000002_000001	He went straight to the Clarendon Hotel.	He went straight to the Clarendon Hotel.	true	32.87	34.87	25.677008
8410_278217_000002_000002	He had no servant with him, and his luggage consisted only of a portmanteau, a dressing-case, and a despatch-box; the same despatch-box whose contents he had so carefully studied at the Winchester hotel, upon the night of the murder in the grove.	He had no servant with him, and his luggage consisted only of a portmanteau, a dressing case, and a despatch box; the same despatch box whose contents he had so carefully studied at the Winchester hotel, upon the night of the murder in the grove.	true	35.12	48.22	25.515987
8410_278217_000003_000000	The day after his arrival was Sunday, and all that day the banker occupied himself in reading a morocco-bound manuscript volume, which he took from the despatch-box.	The day after his arrival was Sunday, and all that day the banker occupied himself in reading a morocco bound manuscript volume, which he took from the despatch box.	true	49.13	57.37	28.869707
8410_278217_000004_000000	There was a black fog upon this November day, and the atmosphere out of doors was cold and bleak.	There was a black fog upon this November day, and the atmosphere out of doors was cold and bleak.	true	58.19	62.895	27.993896
8410_278217_000004_000001	But the room in which Henry Dunbar sat looked the very picture of comfort and elegance.	But the room in which Henry Dunbar sat looked the very picture of comfort and elegance.	true	62.895	67.12	27.724966
8410_278217_000005_000000	He had drawn his chair close to the fire, and on a table near his elbow were arranged the open despatch-box, a tall crystal jug of Burgundy, with a goblet-shaped glass, on a salver, and a case of cigars.	He had drawn his chair close to the fire, and on a table near his elbow were arranged the open despatch box, a tall crystal jug of Burgundy, with a goblet shaped glass, on a salver, and a case of cigars.	true	67.94	78.7	25.772877
8410_278217_000006_000000	Until long after dark that evening, Henry Dunbar sat by the fire, smoking and drinking, and reading the manuscript volume.	Until long after dark that evening, Henry Dunbar sat by the fire, smoking and drinking, and reading the manuscript volume.	true	79.58	85.84	25.803276
8410_278217_000006_000001	He only paused now and then to take pencil-notes of its contents in a little memorandum-book, which he carried in the breast-pocket of his coat.	He only paused now and then to take pencil notes of its contents in a little memorandum book, which he carried in the breast pocket of his coat.	true	86.21	92.71	25.130335
8410_278217_000007_000000	It was not till seven o'clock, when the liveried servant who waited upon him came to inform him that his dinner was served in an adjoining chamber, that Mr. Dunbar rose from his seat and put away the book in the despatch-box.	It was not till seven o'clock, when the liveried servant who waited upon him came to inform him that his dinner was served in an adjoining chamber, that mr Dunbar rose from his seat and put away the book in the despatch box.	true	93.41	104.08	24
8410_278217_000007_000001	He laid down the volume on the table while he replaced other papers in the box, and it fell open at the first page.	He laid down the volume on the table while he replaced other papers in the box, and it fell open at the first page.	true	104.78	110.2	26.079128
8410_278217_000007_000002	On that first page was written, in Henry Dunbar's bold, legible hand--	On that first page was written, in Henry Dunbar's bold, legible hand-	true	110.45	113.97	22
8410_278217_000008_000000	"_Journal of my life in India, from my arrival in 1815 until my departure in 1850._"	"underscore Journal of my life in India, from my arrival in eighteen fifteen until my departure in eighteen fifty.underscore"	false	113.97	120.9	23.670094
8410_278217_000009_000000	This was the book the banker had been studying all that winter's day.	This was the book the banker had been studying all that winter's day.	true	120.9	124.03	27.306238
8410_278217_000010_000000	At twelve o'clock the next day he ordered a brougham, and was driven to the banking-house in St. Gundolph Lane.	At twelve o'clock the next day he ordered a brougham, and was driven to the banking house in st Gundolph Lane.	false	124.97	130.51	25.669817
8410_278217_000010_000001	This was the first time that Henry Dunbar had visited the house in St. Gundolph Lane since his return from India.	This was the first time that Henry Dunbar had visited the house in st Gundolph Lane since his return from India.	false	130.67	136	21
8410_278217_000011_000000	Those who knew the history of the present chief partner of the house of Dunbar, Dunbar, and Balderby, were in nowise astonished by this fact. They knew that, as a young man, Henry Dunbar had contracted the tastes and habits of an aristocrat, and that, if he had afterwards developed into a clever and successful man of business, it was only by reason of the force of circumstances, which had thrust him into a position that he hated.	Those who knew the history of the present chief partner of the house of Dunbar, Dunbar, and Balderby, were in nowise astonished by this fact. They knew that, as a young man, Henry Dunbar had contracted the tastes and habits of an aristocrat, and that, if he had afterwards developed into a clever and successful man of business, it was only by reason of the force of circumstances, which had thrust him into a position that he hated.	true	137.12	157.84	24.294647
8410_278217_000012_000000	It was by no means wonderful, then, that, after becoming possessor of the united fortunes of his father and his uncle, Henry Dunbar should keep aloof from a place that had always been obnoxious to him.	It was by no means wonderful, then, that, after becoming possessor of the united fortunes of his father and his uncle, Henry Dunbar should keep aloof from a place that had always been obnoxious to him.	true	159.02	168.46	24.81639
8410_278217_000012_000001	The business had gone on without him very well during his absence, and it went on without him now, for his place in India had been assumed by a very clever man, who for twenty years had acted as cashier in the Calcutta house.	The business had gone on without him very well during his absence, and it went on without him now, for his place in India had been assumed by a very clever man, who for twenty years had acted as cashier in the Calcutta house.	true	168.62	179.41	23
8410_278217_000013_000000	It may be that the banker had an unpleasant recollection of his last visit to St. Gundolph Lane, upon the day when the existence of the forged bills was discovered by Percival and Hugh Dunbar.	It may be that the banker had an unpleasant recollection of his last visit to st Gundolph Lane, upon the day when the existence of the forged bills was discovered by Percival and Hugh Dunbar.	false	180.77	189.91	26
8410_278217_000013_000001	All the width of thirty-five years between the present hour and that day might not be wide enough to separate the memory of the past from the thoughts which were busy this morning in the mind of Henry Dunbar.	All the width of thirty five years between the present hour and that day might not be wide enough to separate the memory of the past from the thoughts which were busy this morning in the mind of Henry Dunbar.	true	190.4	199.9	27
8410_278217_000014_000000	Be it as it might, Mr. Dunbar's reflections this day were evidently not of a pleasant nature.	Be it as it might, mr Dunbar's reflections this day were evidently not of a pleasant nature.	false	200.63	205.66	26.263012
8410_278217_000014_000001	He was very pale as he rode citywards, in the comfortable brougham, from the Clarendon; and his face had a stern, fixed look, like a man who has nerved himself to meet some crisis, which he knows is near at hand.	He was very pale as he rode citywards, in the comfortable brougham, from the Clarendon; and his face had a stern, fixed look, like a man who has nerved himself to meet some crisis, which he knows is near at hand.	true	206.33	216.37	22.893839
8410_278217_000015_000000	There was a stoppage upon Ludgate Hill.	There was a stoppage upon Ludgate Hill.	true	217.67	219.73	29.81717
8410_278217_000015_000001	Great wooden barricades and mountains of uprooted paving-stones, amidst which sturdy navigators disported themselves with spades and pickaxes, and wheelbarrows full of rubbish, blocked the way; so the brougham turned into Farringdon Street, and went up Snow Hill, and under the grim black walls of dreadful Newgate.	Great wooden barricades and mountains of uprooted paving stones, amidst which sturdy navigators disported themselves with spades and pickaxes, and wheelbarrows full of rubbish, blocked the way; so the brougham turned into Farringdon Street, and went up Snow Hill, and under the grim black walls of dreadful Newgate.	true	219.92	236.11	27.178406
8410_278217_000016_000000	The vehicle travelled very slowly, for the traffic was concentrated in this quarter by reason of the stoppage on Ludgate Hill, and Mr. Dunbar was able to contemplate at his leisure the black prison-walls, and the men and women selling dogs'-collars under their dismal shadows.	The vehicle travelled very slowly, for the traffic was concentrated in this quarter by reason of the stoppage on Ludgate Hill, and mr Dunbar was able to contemplate at his leisure the black prison walls, and the men and women selling dogs'-collars under their dismal shadows.	true	237.08	250.54	21
8410_278217_000017_000000	It may be that the banker's face grew a shade paler after that contemplation.	It may be that the banker's face grew a shade paler after that contemplation.	true	251.87	255.82	30
8410_278217_000017_000001	The corners of his mouth twitched nervously as he got out of the carriage before the mahogany doors of the banking-house in St. Gundolph Lane.	The corners of his mouth twitched nervously as he got out of the carriage before the mahogany doors of the banking house in st Gundolph Lane.	false	256.04	262.605	24.775585
8410_278217_000017_000002	But he drew a long breath, and held his head proudly erect as he pushed open the doors and went in.	But he drew a long breath, and held his head proudly erect as he pushed open the doors and went in.	true	262.605	267.16	24
8410_278217_000018_000000	Never since the day of the discovery of the forged bills had that man entered the banking-house.	Never since the day of the discovery of the forged bills had that man entered the banking house.	true	268.58	273.13	25.32886
8410_278217_000018_000001	Dark thoughts came back upon his mind, and the shadows deepened on his face as he gave one rapid glance round the familiar office.	Dark thoughts came back upon his mind, and the shadows deepened on his face as he gave one rapid glance round the familiar office.	true	273.47	280.12	22
8410_278217_000019_000000	He walked straight towards the private parlour in which that well-remembered scene had occurred five-and-thirty years ago.	He walked straight towards the private parlour in which that well remembered scene had occurred five and thirty years ago.	true	281	286.54	25.39616
8410_278217_000019_000001	But before he arrived at the door leading from the public offices to the back of the house, he was stopped by a gentlemanly-looking man, who came forward from a desk in some shadowy region, and intercepted the stranger.	But before he arrived at the door leading from the public offices to the back of the house, he was stopped by a gentlemanly looking man, who came forward from a desk in some shadowy region, and intercepted the stranger.	true	286.55	297.25	25.255323
8410_278217_000020_000000	This man was Clement Austin, the cashier.	This man was Clement Austin, the cashier.	true	297.56	300.22	25.4534
8410_278217_000021_000000	"Do you wish to see Mr. Balderby, sir?" he asked.	"Do you wish to see mr Balderby, sir?" he asked.	true	301.4	304.21	20.748497
8410_278217_000022_000000	"Yes.	"Yes.	true	304.37	305.16	23.207579
8410_278217_000022_000001	I have an appointment with him at one o'clock.	I have an appointment with him at one o'clock.	true	305.16	307.155	27.871841
8410_278217_000022_000002	My name is Dunbar."	My name is Dunbar."	true	307.155	308.41	25.059835
8410_278217_000023_000000	The cashier bowed and opened the door.	The cashier bowed and opened the door.	true	309.05	311.05	26.150978
8410_278217_000023_000001	The banker passed across the threshold, which he had not crossed for five-and-thirty years until to-day.	The banker passed across the threshold, which he had not crossed for five and thirty years until to day.	true	311.15	316.21	25.480806
8410_278217_000024_000000	But as Mr. Dunbar went towards the familiar parlour at the back of the banking-house, he stopped for a minute, and looked at the cashier.	But as mr Dunbar went towards the familiar parlour at the back of the banking house, he stopped for a minute, and looked at the cashier.	true	317.06	323.47	24.84263
8410_278217_000025_000000	Clement Austin was scarcely less pale than Henry Dunbar himself.	Clement Austin was scarcely less pale than Henry Dunbar himself.	true	324.17	327.61	22.193508
