2494_156019_000002_000000	VISIONS AND IDEALS	VISIONS AND IDEALS
2494_156019_000004_000000	Composer, sculptor, painter, poet, prophet, sage, these are the makers of the after-world, the architects of heaven.	Composer, sculptor, painter, poet, prophet, sage, these are the makers of the after world, the architects of heaven.
2494_156019_000004_000001	The world is beautiful because they have lived; without them, labouring humanity would perish.	The world is beautiful because they have lived; without them, labouring humanity would perish.
2494_156019_000006_000000	Cherish your visions; cherish your ideals; cherish the music that stirs in your heart, the beauty that forms in your mind, the loveliness that drapes your purest thoughts, for out of them will grow all delightful conditions, all, heavenly environment; of these, if you but remain true to them, your world will at last be built.	Cherish your visions; cherish your ideals; cherish the music that stirs in your heart, the beauty that forms in your mind, the loveliness that drapes your purest thoughts, for out of them will grow all delightful conditions, all, heavenly environment; of these, if you but remain true to them, your world will at last be built.
2494_156019_000007_000002	Such is not the Law: such a condition of things can never obtain: "ask and receive."	Such is not the Law: such a condition of things can never obtain: "ask and receive."
2494_156019_000009_000000	The greatest achievement was at first and for a time a dream.	The greatest achievement was at first and for a time a dream.
2494_156019_000009_000001	The oak sleeps in the acorn; the bird waits in the egg; and in the highest vision of the soul a waking angel stirs.	The oak sleeps in the acorn; the bird waits in the egg; and in the highest vision of the soul a waking angel stirs.
2494_156019_000010_000000	Your circumstances may be uncongenial, but they shall not long remain so if you but perceive an Ideal and strive to reach it.	Your circumstances may be uncongenial, but they shall not long remain so if you but perceive an Ideal and strive to reach it.
2494_156019_000010_000002	But he dreams of better things; he thinks of intelligence, of refinement, of grace and beauty.	But he dreams of better things; he thinks of intelligence, of refinement, of grace and beauty.
2494_156019_000010_000005	It has become so out of harmony with his mentality that it falls out of his life as a garment is cast aside, and, with the growth of opportunities, which fit the scope of his expanding powers, he passes out of it forever.	It has become so out of harmony with his mentality that it falls out of his life as a garment is cast aside, and, with the growth of opportunities, which fit the scope of his expanding powers, he passes out of it forever.
2494_156019_000010_000006	Years later we see this youth as a full-grown man.	Years later we see this youth as a full grown man.
2494_156019_000010_000008	In his hands he holds the cords of gigantic responsibilities; he speaks, and lo, lives are changed; men and women hang upon his words and remould their characters, and, sunlike, he becomes the fixed and luminous centre round which innumerable destinies revolve.	In his hands he holds the cords of gigantic responsibilities; he speaks, and lo, lives are changed; men and women hang upon his words and remould their characters, and, sunlike, he becomes the fixed and luminous centre round which innumerable destinies revolve.
2494_156019_000010_000009	He has realized the Vision of his youth.	He has realized the Vision of his youth.
2494_156019_000010_000010	He has become one with his Ideal.	He has become one with his Ideal.
2494_156019_000011_000000	And you, too, youthful reader, will realize the Vision (not the idle wish) of your heart, be it base or beautiful, or a mixture of both, for you will always gravitate toward that which you, secretly, most love.	And you, too, youthful reader, will realize the Vision (not the idle wish) of your heart, be it base or beautiful, or a mixture of both, for you will always gravitate toward that which you, secretly, most love.
2494_156019_000011_000001	Into your hands will be placed the exact results of your own thoughts; you will receive that which you earn; no more, no less. Whatever your present environment may be, you will fall, remain, or rise with your thoughts, your Vision, your Ideal.	Into your hands will be placed the exact results of your own thoughts; you will receive that which you earn; no more, no less. Whatever your present environment may be, you will fall, remain, or rise with your thoughts, your Vision, your Ideal.
2494_156019_000011_000003	You may be driving sheep, and you shall wander to the city-bucolic and open-mouthed; shall wander under the intrepid guidance of the spirit into the studio of the master, and after a time he shall say, 'I have nothing more to teach you.' And now you have become the master, who did so recently dream of great things while driving sheep.	You may be driving sheep, and you shall wander to the city bucolic and open mouthed; shall wander under the intrepid guidance of the spirit into the studio of the master, and after a time he shall say, 'I have nothing more to teach you.' And now you have become the master, who did so recently dream of great things while driving sheep.
2494_156019_000012_000001	Seeing a man grow rich, they say, "How lucky he is!" Observing another become intellectual, they exclaim, "How highly favoured he is!" And noting the saintly character and wide influence of another, they remark, "How chance aids him at every turn!"	Seeing a man grow rich, they say, "How lucky he is!" Observing another become intellectual, they exclaim, "How highly favoured he is!" And noting the saintly character and wide influence of another, they remark, "How chance aids him at every turn!"
2494_156019_000013_000001	Chance is not.	Chance is not.
2494_156019_000013_000002	Gifts, powers, material, intellectual, and spiritual possessions are the fruits of effort; they are thoughts completed, objects accomplished, visions realized.	Gifts, powers, material, intellectual, and spiritual possessions are the fruits of effort; they are thoughts completed, objects accomplished, visions realized.
