439_122809_000010_000000	"Poor thing!" said the old poet, as he went to open the door.	"Poor thing!" said the old poet, as he went to open the door.
439_122809_000011_000000	"Poor child!" said the old poet, as he took the boy by the hand.	"Poor child!" said the old poet, as he took the boy by the hand.
439_122809_000011_000002	Thou shalt have wine and roasted apples, for thou art verily a charming child!" And the boy was so really.	Thou shalt have wine and roasted apples, for thou art verily a charming child!" And the boy was so really.
439_122809_000011_000003	His eyes were like two bright stars; and although the water trickled down his hair, it waved in beautiful curls.	His eyes were like two bright stars; and although the water trickled down his hair, it waved in beautiful curls.
439_122809_000011_000004	He looked exactly like a little angel, but he was so pale, and his whole body trembled with cold.	He looked exactly like a little angel, but he was so pale, and his whole body trembled with cold.
439_122809_000013_000000	"You are a merry fellow," said the old man.	"You are a merry fellow," said the old man.
439_122809_000013_000001	"What's your name?"	"What's your name?"
439_122809_000014_000000	"My name is Cupid," answered the boy.	"My name is Cupid," answered the boy.
439_122809_000014_000001	"Don't you know me?	"Don't you know me?
439_122809_000014_000003	Look, the weather is now clearing up, and the moon is shining clear again through the window."	Look, the weather is now clearing up, and the moon is shining clear again through the window."
439_122809_000018_000000	The poor poet lay on the earth and wept, for the arrow had really flown into his heart.	The poor poet lay on the earth and wept, for the arrow had really flown into his heart.
439_122809_000019_000002	I will tell all children about him, that they may take care and not play with him, for he will only cause them sorrow and many a heartache."	I will tell all children about him, that they may take care and not play with him, for he will only cause them sorrow and many a heartache."
439_122809_000020_000000	And all good children to whom he related this story, took great heed of this naughty Cupid; but he made fools of them still, for he is astonishingly cunning.	And all good children to whom he related this story, took great heed of this naughty Cupid; but he made fools of them still, for he is astonishingly cunning.
439_122809_000020_000004	Yes, he is forever following people.	Yes, he is forever following people.
439_122809_000020_000007	Ask them only and you will hear what they'll tell you.	Ask them only and you will hear what they'll tell you.
439_122809_000020_000009	He is forever running after everybody.	He is forever running after everybody.
439_122809_000020_000010	Only think, he shot an arrow once at your old grandmother!	Only think, he shot an arrow once at your old grandmother!
439_122809_000020_000011	But that is a long time ago, and it is all past now; however, a thing of that sort she never forgets.	But that is a long time ago, and it is all past now; however, a thing of that sort she never forgets.
