3307_145138_000001_000000	CHAPTER VIII: THE CRAB SPIDER	CHAPTER eight: THE CRAB SPIDER
3307_145138_000003_000000	What will posterity do in face of the rising tide of a barbarous vocabulary which, under the pretence of progress, stifles real knowledge? It will relegate the whole business to the quagmire of oblivion.	What will posterity do in face of the rising tide of a barbarous vocabulary which, under the pretence of progress, stifles real knowledge? It will relegate the whole business to the quagmire of oblivion.
3307_145138_000004_000000	Like the Crab, the Thomisus walks sideways; she also has forelegs stronger than her hind-legs.	Like the Crab, the Thomisus walks sideways; she also has forelegs stronger than her hind legs.
3307_145138_000004_000001	The only thing wanting to complete the resemblance is the front pair of stone gauntlets, raised in the attitude of self-defence.	The only thing wanting to complete the resemblance is the front pair of stone gauntlets, raised in the attitude of self defence.
3307_145138_000005_000000	The Spider with the Crab-like figure does not know how to manufacture nets for catching game.	The Spider with the Crab like figure does not know how to manufacture nets for catching game.
3307_145138_000005_000001	Without springs or snares, she lies in ambush, among the flowers, and awaits the arrival of the quarry, which she kills by administering a scientific stab in the neck.	Without springs or snares, she lies in ambush, among the flowers, and awaits the arrival of the quarry, which she kills by administering a scientific stab in the neck.
3307_145138_000005_000002	The Thomisus, in particular, the subject of this chapter, is passionately addicted to the pursuit of the Domestic Bee.	The Thomisus, in particular, the subject of this chapter, is passionately addicted to the pursuit of the Domestic Bee.
3307_145138_000006_000000	The Bee appears, seeking no quarrel, intent upon plunder.	The Bee appears, seeking no quarrel, intent upon plunder.
3307_145138_000006_000001	She tests the flowers with her tongue; she selects a spot that will yield a good return.	She tests the flowers with her tongue; she selects a spot that will yield a good return.
3307_145138_000006_000003	While she is filling her baskets and distending her crop, the Thomisus, that bandit lurking under cover of the flowers, issues from her hiding-place, creeps round behind the bustling insect, steals up close and, with a sudden rush, nabs her in the nape of the neck.	While she is filling her baskets and distending her crop, the Thomisus, that bandit lurking under cover of the flowers, issues from her hiding place, creeps round behind the bustling insect, steals up close and, with a sudden rush, nabs her in the nape of the neck.
3307_145138_000006_000004	In vain, the Bee protests and darts her sting at random; the assailant does not let go.	In vain, the Bee protests and darts her sting at random; the assailant does not let go.
3307_145138_000007_000000	Besides, the bite in the neck is paralysing, because the cervical nerve- centres are affected.	Besides, the bite in the neck is paralysing, because the cervical nerve centres are affected.
