3994_11512_000004_000000	PART I	PART one
3994_11512_000006_000000	(This part is related by Peter Hagstrom, Ph.D.)	(This part is related by peter Hagstrom, p h d)
3994_11512_000007_000000	"The ability to communicate ideas from one individual to another," said a professor of sociology to his class, "is the principal distinction between human beings and their brute forbears.	"The ability to communicate ideas from one individual to another," said a professor of sociology to his class, "is the principal distinction between human beings and their brute forbears.
3994_11512_000007_000001	The increase and refinement of this ability to communicate is an index of the degree of civilization of a people.	The increase and refinement of this ability to communicate is an index of the degree of civilization of a people.
3994_11512_000009_000000	As usual, the observation burst harmlessly over the heads of most of the students in the class, who were preoccupied with more immediate things--with the evening's movies and the week-end's dance.	As usual, the observation burst harmlessly over the heads of most of the students in the class, who were preoccupied with more immediate things-with the evening's movies and the week end's dance.
3994_11512_000009_000001	But upon two young men in the class, it made a powerful impression.	But upon two young men in the class, it made a powerful impression.
3994_11512_000009_000002	It crystallized within them certain vague conceptions and brought them to a conscious focus, enabling the young men to turn formless dreams into concrete acts.	It crystallized within them certain vague conceptions and brought them to a conscious focus, enabling the young men to turn formless dreams into concrete acts.
3994_11512_000009_000003	That is why I take the position that the above enthusiastic words of this sociology professor, whose very name I have forgotten, were the prime moving influence which many years later succeeded in saving Occidental civilization from a catastrophe which would have been worse than death and destruction.	That is why I take the position that the above enthusiastic words of this sociology professor, whose very name I have forgotten, were the prime moving influence which many years later succeeded in saving Occidental civilization from a catastrophe which would have been worse than death and destruction.
3994_11512_000010_000000	One of these young men was myself, and the other was my lifelong friend and chum, Carl Benda, who saved his country by solving a tremendously difficult scientific puzzle in a simple way, by sheer reasoning power, and without apparatus.	One of these young men was myself, and the other was my lifelong friend and chum, Carl Benda, who saved his country by solving a tremendously difficult scientific puzzle in a simple way, by sheer reasoning power, and without apparatus.
3994_11512_000010_000001	The sociology professor struck a responsive chord in us: for since our earliest years we had wigwagged to each other as Boy Scouts, learned the finger alphabet of the deaf and dumb so that we might maintain communication during school hours, strung a telegraph wire between our two homes, admired Poe's "Gold Bug" together and devised boyish cipher codes in which to send each other postcards when chance separated us.	The sociology professor struck a responsive chord in us: for since our earliest years we had wigwagged to each other as Boy Scouts, learned the finger alphabet of the deaf and dumb so that we might maintain communication during school hours, strung a telegraph wire between our two homes, admired Poe's "Gold Bug" together and devised boyish cipher codes in which to send each other postcards when chance separated us.
3994_11512_000010_000002	But we had always felt a little foolish about what we considered our childish hobbies, until the professor's words suddenly roused us to the realization that we were a highly civilized pair of youngsters.	But we had always felt a little foolish about what we considered our childish hobbies, until the professor's words suddenly roused us to the realization that we were a highly civilized pair of youngsters.
3994_11512_000011_000000	Not only did we then and there cease feeling guilty about our secret ciphers and our dots and dashes, but the determination was born within us to make of communication our life's work.	Not only did we then and there cease feeling guilty about our secret ciphers and our dots and dashes, but the determination was born within us to make of communication our life's work.
3994_11512_000011_000001	It turned out that both of us actually did devote our lives to the cause of communication; but the passing years saw us engaged in widely and curiously divergent phases of the work.	It turned out that both of us actually did devote our lives to the cause of communication; but the passing years saw us engaged in widely and curiously divergent phases of the work.
3994_11512_000011_000002	Thirty years later, I was Professor of the Psychology of Language at Columbia University, and Benda was Maintenance Engineer of the Bell Telephone Company of New York City; and on his knowledge and skill depended the continuity and stability of that stupendously complex traffic, the telephone communication of Greater New York.	Thirty years later, I was Professor of the Psychology of Language at Columbia University, and Benda was Maintenance Engineer of the Bell Telephone Company of New York City; and on his knowledge and skill depended the continuity and stability of that stupendously complex traffic, the telephone communication of Greater New York.
3994_11512_000012_000001	But we still kept up our intimate friendship and our intense interest in our beloved subject.	But we still kept up our intimate friendship and our intense interest in our beloved subject.
3994_11512_000012_000002	We were just as close chums at the age of fifty as we had been at ten, and just as thrilled at new advances in communication: at television, at the international language, at the supposed signals from Mars.	We were just as close chums at the age of fifty as we had been at ten, and just as thrilled at new advances in communication: at television, at the international language, at the supposed signals from Mars.
3994_11512_000013_000000	That was the state of affairs between us up to a year ago.	That was the state of affairs between us up to a year ago.
3994_11512_000013_000001	At about that time Benda resigned his position with the New York Bell Telephone Company to accept a place as the Director of Communication in the Science Community.	At about that time Benda resigned his position with the New York Bell Telephone Company to accept a place as the Director of Communication in the Science Community.
3994_11512_000013_000002	This, for many reasons, was a most amazing piece of news to myself and to anyone who knew Benda.	This, for many reasons, was a most amazing piece of news to myself and to anyone who knew Benda.
3994_11512_000014_000000	Of course, it was commonly known that Benda was being sought by Universities and corporations: I know personally of several tempting offers he had received.	Of course, it was commonly known that Benda was being sought by Universities and corporations: I know personally of several tempting offers he had received.
3994_11512_000014_000001	But the New York Bell is a wealthy corporation and had thus far managed to hold Benda, both by the munificence of its salary and by the attractiveness of the work it offered him.	But the New York Bell is a wealthy corporation and had thus far managed to hold Benda, both by the munificence of its salary and by the attractiveness of the work it offered him.
3994_11512_000014_000002	That the Science Community would want Benda was easy to understand; but, that it could outbid the New York Bell, was, to say the least, a surprise.	That the Science Community would want Benda was easy to understand; but, that it could outbid the New York Bell, was, to say the least, a surprise.
3994_11512_000015_000000	Furthermore, that a man like Benda would want to have anything at all to do with the Science Community seemed strange enough in itself.	Furthermore, that a man like Benda would want to have anything at all to do with the Science Community seemed strange enough in itself.
