2238_121413_000006_000001	In which it is proved that first Impulses are oftentimes the best.	In which it is proved that first Impulses are oftentimes the best.
2238_121413_000007_000000	The three gentlemen took the road to Picardy, a road so well known to them and which recalled to Athos and Aramis some of the most picturesque adventures of their youth.	The three gentlemen took the road to Picardy, a road so well known to them and which recalled to Athos and Aramis some of the most picturesque adventures of their youth.
2238_121413_000008_000000	"If Mousqueton were with us," observed Athos, on reaching the spot where they had had a dispute with the paviers, "how he would tremble at passing this!	"If Mousqueton were with us," observed Athos, on reaching the spot where they had had a dispute with the paviers, "how he would tremble at passing this!
2238_121413_000010_000000	It was soon time for Grimaud to recall the past.	It was soon time for Grimaud to recall the past.
2238_121413_000013_000001	Boulogne was a strong position, then almost a deserted town, built entirely on the heights; what is now called the lower town did not then exist.	Boulogne was a strong position, then almost a deserted town, built entirely on the heights; what is now called the lower town did not then exist.
2238_121413_000016_000000	Athos and Aramis walked down toward the port.	Athos and Aramis walked down toward the port.
2238_121413_000016_000003	This man, whom they had noticed from the first for the same reason they had themselves been remarked by others, was walking in a listless way up and down the jetty. From the moment he perceived them he did not cease to look at them and seemed to burn with the wish to speak to them.	This man, whom they had noticed from the first for the same reason they had themselves been remarked by others, was walking in a listless way up and down the jetty. From the moment he perceived them he did not cease to look at them and seemed to burn with the wish to speak to them.
2238_121413_000017_000000	On reaching the jetty Athos and Aramis stopped to look at a little boat made fast to a pile and ready rigged as if waiting to start.	On reaching the jetty Athos and Aramis stopped to look at a little boat made fast to a pile and ready rigged as if waiting to start.
2238_121413_000020_000000	"Hush!" said Athos, "we are overheard."	"Hush!" said Athos, "we are overheard."
2238_121413_000021_000000	In truth, the walker, who, during the observations of the two friends, had passed and repassed behind them several times, stopped at the name of De Winter; but as his face betrayed no emotion at mention of this name, it might have been by chance he stood so still.	In truth, the walker, who, during the observations of the two friends, had passed and repassed behind them several times, stopped at the name of De Winter; but as his face betrayed no emotion at mention of this name, it might have been by chance he stood so still.
2238_121413_000026_000000	"He is and he is not," replied Athos; "that is to say, he is dismissed by one-half of France, but by intrigues and promises he makes the other half sustain him; you will perceive that this may last a long time."	"He is and he is not," replied Athos; "that is to say, he is dismissed by one half of France, but by intrigues and promises he makes the other half sustain him; you will perceive that this may last a long time."
2238_121413_000033_000000	"Nothing warranted me to answer him otherwise; he was polite to me and I was so to him."	"Nothing warranted me to answer him otherwise; he was polite to me and I was so to him."
2238_121413_000034_000000	"But if he be a spy----"	"But if he be a spy----"
2238_121413_000036_000000	"It matters not; you were wrong to reply to him as you did," continued Aramis, following with his eyes the young man, now vanishing behind the cliffs.	"It matters not; you were wrong to reply to him as you did," continued Aramis, following with his eyes the young man, now vanishing behind the cliffs.
2238_121413_000039_000000	"A quarrel?" asked Athos.	"A quarrel?" asked Athos.
2238_121413_000041_000000	"I am always afraid of a quarrel when I am expected at any place and when such a quarrel might possibly prevent my reaching it.	"I am always afraid of a quarrel when I am expected at any place and when such a quarrel might possibly prevent my reaching it.
2238_121413_000044_000000	"In beauty or on the contrary?" asked Aramis, laughing.	"In beauty or on the contrary?" asked Aramis, laughing.
2238_121413_000046_000000	"Ah! Egad!" cried Aramis, "you set me thinking.	"Ah! Egad!" cried Aramis, "you set me thinking.
2238_121413_000049_000000	"Ah! here is De Winter coming," said Athos.	"Ah! here is De Winter coming," said Athos.
2238_121413_000051_000001	"I see them about twenty paces behind my lord.	"I see them about twenty paces behind my lord.
2238_121413_000051_000003	Tony carries our muskets."	Tony carries our muskets."
2238_121413_000055_000000	Athos smiled sadly, for it was evident that he was thinking of other things as he listened to his friend and moved toward De Winter.	Athos smiled sadly, for it was evident that he was thinking of other things as he listened to his friend and moved toward De Winter.
2238_121413_000057_000000	When De Winter perceived them, in his turn he advanced toward them with surprising rapidity.	When De Winter perceived them, in his turn he advanced toward them with surprising rapidity.
2238_121413_000060_000000	Athos glanced at Aramis.	Athos glanced at Aramis.
2238_121413_000061_000000	"But let us go," continued De Winter; "let us be off; the boat must be waiting for us and there is our sloop at anchor--do you see it there?	"But let us go," continued De Winter; "let us be off; the boat must be waiting for us and there is our sloop at anchor-do you see it there?
2238_121413_000063_000000	They had reached the ladder which led to the boat.	They had reached the ladder which led to the boat.
2238_121413_000064_000000	At this moment Athos perceived a man walking on the seashore parallel to the jetty, and hastening his steps, as if to reach the other side of the port, scarcely twenty steps from the place of embarking.	At this moment Athos perceived a man walking on the seashore parallel to the jetty, and hastening his steps, as if to reach the other side of the port, scarcely twenty steps from the place of embarking.
2238_121413_000064_000002	The latter, to make a short cut, had appeared on a sluice.	The latter, to make a short cut, had appeared on a sluice.
2238_121413_000065_000000	"He certainly bodes us no good," said Athos; "but let us embark; once out at sea, let him come."	"He certainly bodes us no good," said Athos; "but let us embark; once out at sea, let him come."
2238_121413_000066_000000	And Athos sprang into the boat, which was immediately pushed off and which soon sped seawards under the efforts of four stalwart rowers.	And Athos sprang into the boat, which was immediately pushed off and which soon sped seawards under the efforts of four stalwart rowers.
2238_121413_000067_000001	She was obliged to pass between the point of the jetty, surmounted by a beacon just lighted, and a rock which jutted out.	She was obliged to pass between the point of the jetty, surmounted by a beacon just lighted, and a rock which jutted out.
2238_121413_000070_000000	"He who followed us and spoke to us awaits us there; behold!"	"He who followed us and spoke to us awaits us there; behold!"
2238_121413_000071_000001	The beacon bathed with light the little strait through which they were about to pass and the rock where the young man stood with bare head and crossed arms.	The beacon bathed with light the little strait through which they were about to pass and the rock where the young man stood with bare head and crossed arms.
2238_121413_000075_000000	"The monk!" exclaimed Grimaud.	"The monk!" exclaimed Grimaud.
2238_121413_000082_000000	"Fire!" cried Grimaud, unconsciously.	"Fire!" cried Grimaud, unconsciously.
2238_121413_000087_000000	"Yes, but the son has done us no harm."	"Yes, but the son has done us no harm."
2238_121413_000089_000000	The young man burst into a laugh.	The young man burst into a laugh.
2238_121413_000090_000000	"Ah, it is certainly you!" he cried.	"Ah, it is certainly you!" he cried.
2238_121413_000098_000000	"Hold, Athos," said Aramis, "perhaps there is yet time.	"Hold, Athos," said Aramis, "perhaps there is yet time.
2238_121413_000098_000001	See if he is still in the same place."	See if he is still in the same place."
2238_121413_000101_000000	"Hold your tongue," replied Aramis; "you would make me weep, if such a thing were possible."	"Hold your tongue," replied Aramis; "you would make me weep, if such a thing were possible."
2238_121413_000102_000002	At this instant the three friends turned, in spite of themselves, a last look on the rock, upon the menacing figure which pursued them and now stood out with a distinctness still.	At this instant the three friends turned, in spite of themselves, a last look on the rock, upon the menacing figure which pursued them and now stood out with a distinctness still.
