246_224_000000_000000	CHAPTER 27	CHAPTER twenty seven
246_224_000001_000000	The next morning brought the following very unexpected letter from Isabella:	The next morning brought the following very unexpected letter from Isabella:
246_224_000002_000000	Bath, April	Bath, April
246_224_000003_000000	My dearest Catherine, I received your two kind letters with the greatest delight, and have a thousand apologies to make for not answering them sooner.	My dearest Catherine, I received your two kind letters with the greatest delight, and have a thousand apologies to make for not answering them sooner.
246_224_000003_000001	I really am quite ashamed of my idleness; but in this horrid place one can find time for nothing.	I really am quite ashamed of my idleness; but in this horrid place one can find time for nothing.
246_224_000003_000002	I have had my pen in my hand to begin a letter to you almost every day since you left Bath, but have always been prevented by some silly trifler or other.	I have had my pen in my hand to begin a letter to you almost every day since you left Bath, but have always been prevented by some silly trifler or other.
246_224_000003_000003	Pray write to me soon, and direct to my own home.	Pray write to me soon, and direct to my own home.
246_224_000003_000004	Thank God, we leave this vile place tomorrow.	Thank God, we leave this vile place tomorrow.
246_224_000003_000005	Since you went away, I have had no pleasure in it--the dust is beyond anything; and everybody one cares for is gone.	Since you went away, I have had no pleasure in it-the dust is beyond anything; and everybody one cares for is gone.
246_224_000003_000006	I believe if I could see you I should not mind the rest, for you are dearer to me than anybody can conceive.	I believe if I could see you I should not mind the rest, for you are dearer to me than anybody can conceive.
246_224_000003_000008	Your kind offices will set all right: he is the only man I ever did or could love, and I trust you will convince him of it. The spring fashions are partly down; and the hats the most frightful you can imagine.	Your kind offices will set all right: he is the only man I ever did or could love, and I trust you will convince him of it. The spring fashions are partly down; and the hats the most frightful you can imagine.
246_224_000003_000009	I hope you spend your time pleasantly, but am afraid you never think of me.	I hope you spend your time pleasantly, but am afraid you never think of me.
246_224_000003_000010	I will not say all that I could of the family you are with, because I would not be ungenerous, or set you against those you esteem; but it is very difficult to know whom to trust, and young men never know their minds two days together.	I will not say all that I could of the family you are with, because I would not be ungenerous, or set you against those you esteem; but it is very difficult to know whom to trust, and young men never know their minds two days together.
246_224_000003_000011	I rejoice to say that the young man whom, of all others, I particularly abhor, has left Bath.	I rejoice to say that the young man whom, of all others, I particularly abhor, has left Bath.
246_224_000003_000013	Afterwards he got worse, and became quite my shadow.	Afterwards he got worse, and became quite my shadow.
246_224_000003_000014	Many girls might have been taken in, for never were such attentions; but I knew the fickle sex too well.	Many girls might have been taken in, for never were such attentions; but I knew the fickle sex too well.
246_224_000003_000015	He went away to his regiment two days ago, and I trust I shall never be plagued with him again.	He went away to his regiment two days ago, and I trust I shall never be plagued with him again.
246_224_000003_000016	He is the greatest coxcomb I ever saw, and amazingly disagreeable.	He is the greatest coxcomb I ever saw, and amazingly disagreeable.
246_224_000003_000017	The last two days he was always by the side of Charlotte Davis: I pitied his taste, but took no notice of him.	The last two days he was always by the side of Charlotte Davis: I pitied his taste, but took no notice of him.
246_224_000003_000018	The last time we met was in Bath Street, and I turned directly into a shop that he might not speak to me; I would not even look at him.	The last time we met was in Bath Street, and I turned directly into a shop that he might not speak to me; I would not even look at him.
246_224_000003_000019	He went into the pump-room afterwards; but I would not have followed him for all the world.	He went into the pump room afterwards; but I would not have followed him for all the world.
246_224_000003_000020	Such a contrast between him and your brother!	Such a contrast between him and your brother!
246_224_000003_000022	I would write to him myself, but have mislaid his direction; and, as I hinted above, am afraid he took something in my conduct amiss.	I would write to him myself, but have mislaid his direction; and, as I hinted above, am afraid he took something in my conduct amiss.
246_224_000003_000024	We happened to sit by the Mitchells, and they pretended to be quite surprised to see me out.	We happened to sit by the Mitchells, and they pretended to be quite surprised to see me out.
246_224_000003_000025	I knew their spite: at one time they could not be civil to me, but now they are all friendship; but I am not such a fool as to be taken in by them.	I knew their spite: at one time they could not be civil to me, but now they are all friendship; but I am not such a fool as to be taken in by them.
246_224_000003_000026	You know I have a pretty good spirit of my own.	You know I have a pretty good spirit of my own.
246_224_000003_000028	I wear nothing but purple now: I know I look hideous in it, but no matter--it is your dear brother's favourite colour.	I wear nothing but purple now: I know I look hideous in it, but no matter-it is your dear brother's favourite colour.
246_224_000003_000029	Lose no time, my dearest, sweetest Catherine, in writing to him and to me, Who ever am, etc.	Lose no time, my dearest, sweetest Catherine, in writing to him and to me, Who ever am, etc
246_224_000004_000000	Such a strain of shallow artifice could not impose even upon Catherine. Its inconsistencies, contradictions, and falsehood struck her from the very first.	Such a strain of shallow artifice could not impose even upon Catherine. Its inconsistencies, contradictions, and falsehood struck her from the very first.
246_224_000004_000001	She was ashamed of Isabella, and ashamed of having ever loved her.	She was ashamed of Isabella, and ashamed of having ever loved her.
246_224_000004_000002	Her professions of attachment were now as disgusting as her excuses were empty, and her demands impudent.	Her professions of attachment were now as disgusting as her excuses were empty, and her demands impudent.
246_224_000004_000003	"Write to James on her behalf!	"Write to james on her behalf!
246_224_000004_000004	No, James should never hear Isabella's name mentioned by her again."	No, james should never hear Isabella's name mentioned by her again."
246_224_000005_000000	On Henry's arrival from Woodston, she made known to him and Eleanor their brother's safety, congratulating them with sincerity on it, and reading aloud the most material passages of her letter with strong indignation.	On Henry's arrival from Woodston, she made known to him and Eleanor their brother's safety, congratulating them with sincerity on it, and reading aloud the most material passages of her letter with strong indignation.
246_224_000005_000001	When she had finished it--"So much for Isabella," she cried, "and for all our intimacy!	When she had finished it-"So much for Isabella," she cried, "and for all our intimacy!
246_224_000005_000002	She must think me an idiot, or she could not have written so; but perhaps this has served to make her character better known to me than mine is to her.	She must think me an idiot, or she could not have written so; but perhaps this has served to make her character better known to me than mine is to her.
246_224_000005_000003	I see what she has been about.	I see what she has been about.
246_224_000005_000004	She is a vain coquette, and her tricks have not answered.	She is a vain coquette, and her tricks have not answered.
