246_224_000000_000000	CHAPTER 27	CHAPTER twenty seven	true	21.72	23.23	29.722088
246_224_000001_000000	The next morning brought the following very unexpected letter from Isabella:	The next morning brought the following very unexpected letter from Isabella:	true	25.82	30.55	24.350351
246_224_000002_000000	Bath, April	Bath, April	true	31.61	33.31	24.007689
246_224_000003_000000	My dearest Catherine, I received your two kind letters with the greatest delight, and have a thousand apologies to make for not answering them sooner.	My dearest Catherine, I received your two kind letters with the greatest delight, and have a thousand apologies to make for not answering them sooner.	true	34.19	43.39	24.03339
246_224_000003_000001	I really am quite ashamed of my idleness; but in this horrid place one can find time for nothing.	I really am quite ashamed of my idleness; but in this horrid place one can find time for nothing.	true	43.73	50.35	21.542135
246_224_000003_000002	I have had my pen in my hand to begin a letter to you almost every day since you left Bath, but have always been prevented by some silly trifler or other.	I have had my pen in my hand to begin a letter to you almost every day since you left Bath, but have always been prevented by some silly trifler or other.	true	50.78	60.79	23
246_224_000003_000003	Pray write to me soon, and direct to my own home.	Pray write to me soon, and direct to my own home.	true	61.49	64.93	22.205513
246_224_000003_000004	Thank God, we leave this vile place tomorrow.	Thank God, we leave this vile place tomorrow.	true	65.18	68.26	27.391905
246_224_000003_000005	Since you went away, I have had no pleasure in it--the dust is beyond anything; and everybody one cares for is gone.	Since you went away, I have had no pleasure in it-the dust is beyond anything; and everybody one cares for is gone.	true	68.42	76.75	21.431246
246_224_000003_000006	I believe if I could see you I should not mind the rest, for you are dearer to me than anybody can conceive.	I believe if I could see you I should not mind the rest, for you are dearer to me than anybody can conceive.	true	77.15	84.07	24.578224
246_224_000003_000007	I am quite uneasy about your dear brother, not having heard from him since he went to Oxford; and am fearful of some misunderstanding.	I am quite uneasy about your dear brother, not having heard from him since he went to Oxford; and am fearful of some misunderstanding.	false	84.38	93.25	21.916681
246_224_000003_000008	Your kind offices will set all right: he is the only man I ever did or could love, and I trust you will convince him of it. The spring fashions are partly down; and the hats the most frightful you can imagine.	Your kind offices will set all right: he is the only man I ever did or could love, and I trust you will convince him of it. The spring fashions are partly down; and the hats the most frightful you can imagine.	true	93.71	108.07	23.727827
246_224_000003_000009	I hope you spend your time pleasantly, but am afraid you never think of me.	I hope you spend your time pleasantly, but am afraid you never think of me.	true	109.16	113.86	26.949524
246_224_000003_000010	I will not say all that I could of the family you are with, because I would not be ungenerous, or set you against those you esteem; but it is very difficult to know whom to trust, and young men never know their minds two days together.	I will not say all that I could of the family you are with, because I would not be ungenerous, or set you against those you esteem; but it is very difficult to know whom to trust, and young men never know their minds two days together.	true	114.17	128.74	21.871344
246_224_000003_000011	I rejoice to say that the young man whom, of all others, I particularly abhor, has left Bath.	I rejoice to say that the young man whom, of all others, I particularly abhor, has left Bath.	true	129.05	136.09	23.589144
246_224_000003_000012	You will know, from this description, I must mean Captain Tilney, who, as you may remember, was amazingly disposed to follow and tease me, before you went away.	You will know, from this description, I must mean Captain Tilney, who, as you may remember, was amazingly disposed to follow and tease me, before you went away.	true	136.37	146.41	19
246_224_000003_000013	Afterwards he got worse, and became quite my shadow.	Afterwards he got worse, and became quite my shadow.	true	147.02	151.09	25.837196
246_224_000003_000014	Many girls might have been taken in, for never were such attentions; but I knew the fickle sex too well.	Many girls might have been taken in, for never were such attentions; but I knew the fickle sex too well.	true	151.31	158.29	25.770037
246_224_000003_000015	He went away to his regiment two days ago, and I trust I shall never be plagued with him again.	He went away to his regiment two days ago, and I trust I shall never be plagued with him again.	true	158.33	164.44	22
246_224_000003_000016	He is the greatest coxcomb I ever saw, and amazingly disagreeable.	He is the greatest coxcomb I ever saw, and amazingly disagreeable.	true	164.69	169.57	26.119638
246_224_000003_000017	The last two days he was always by the side of Charlotte Davis: I pitied his taste, but took no notice of him.	The last two days he was always by the side of Charlotte Davis: I pitied his taste, but took no notice of him.	true	169.94	177.61	26.033937
246_224_000003_000018	The last time we met was in Bath Street, and I turned directly into a shop that he might not speak to me; I would not even look at him.	The last time we met was in Bath Street, and I turned directly into a shop that he might not speak to me; I would not even look at him.	true	178.01	186.46	26.206255
246_224_000003_000019	He went into the pump-room afterwards; but I would not have followed him for all the world.	He went into the pump room afterwards; but I would not have followed him for all the world.	true	186.71	191.98	24.793291
246_224_000003_000020	Such a contrast between him and your brother!	Such a contrast between him and your brother!	true	192.14	194.98	26
246_224_000003_000021	Pray send me some news of the latter--I am quite unhappy about him; he seemed so uncomfortable when he went away, with a cold, or something that affected his spirits.	Pray send me some news of the latter-I am quite unhappy about him; he seemed so uncomfortable when he went away, with a cold, or something that affected his spirits.	false	195.38	205.63	20.94365
246_224_000003_000022	I would write to him myself, but have mislaid his direction; and, as I hinted above, am afraid he took something in my conduct amiss.	I would write to him myself, but have mislaid his direction; and, as I hinted above, am afraid he took something in my conduct amiss.	true	206.6	214.57	22
246_224_000003_000023	Pray explain everything to his satisfaction; or, if he still harbours any doubt, a line from himself to me, or a call at Putney when next in town, might set all to rights. I have not been to the rooms this age, nor to the play, except going in last night with the Hodges, for a frolic, at half price: they teased me into it; and I was determined they should not say I shut myself up because Tilney was gone.	Pray explain everything to his satisfaction; or, if he still harbours any doubt, a line from himself to me, or a call at Putney when next in town, might set all to rights. I have not been to the rooms this age, nor to the play, except going in last night with the Hodges, for a frolic, at half price: they teased me into it; and I was determined they should not say I shut myself up because Tilney was gone.	true	215.03	241.45	25.535639
246_224_000003_000024	We happened to sit by the Mitchells, and they pretended to be quite surprised to see me out.	We happened to sit by the Mitchells, and they pretended to be quite surprised to see me out.	true	241.97	247.3	28.13457
246_224_000003_000025	I knew their spite: at one time they could not be civil to me, but now they are all friendship; but I am not such a fool as to be taken in by them.	I knew their spite: at one time they could not be civil to me, but now they are all friendship; but I am not such a fool as to be taken in by them.	true	247.64	257.02	26.313396
246_224_000003_000026	You know I have a pretty good spirit of my own.	You know I have a pretty good spirit of my own.	true	257.39	260.13	24
246_224_000003_000027	Anne Mitchell had tried to put on a turban like mine, as I wore it the week before at the concert, but made wretched work of it--it happened to become my odd face, I believe, at least Tilney told me so at the time, and said every eye was upon me; but he is the last man whose word I would take.	Anne Mitchell had tried to put on a turban like mine, as I wore it the week before at the concert, but made wretched work of it-it happened to become my odd face, I believe, at least Tilney told me so at the time, and said every eye was upon me; but he is the last man whose word I would take.	false	260.13	279.25	26.04476
246_224_000003_000028	I wear nothing but purple now: I know I look hideous in it, but no matter--it is your dear brother's favourite colour.	I wear nothing but purple now: I know I look hideous in it, but no matter-it is your dear brother's favourite colour.	true	279.38	286.45	24.669949
246_224_000003_000029	Lose no time, my dearest, sweetest Catherine, in writing to him and to me, Who ever am, etc.	Lose no time, my dearest, sweetest Catherine, in writing to him and to me, Who ever am, etc	true	286.88	294.61	23.650688
246_224_000004_000000	Such a strain of shallow artifice could not impose even upon Catherine. Its inconsistencies, contradictions, and falsehood struck her from the very first.	Such a strain of shallow artifice could not impose even upon Catherine. Its inconsistencies, contradictions, and falsehood struck her from the very first.	true	295.34	305.59	24.370476
246_224_000004_000001	She was ashamed of Isabella, and ashamed of having ever loved her.	She was ashamed of Isabella, and ashamed of having ever loved her.	true	305.72	309.73	21.176699
246_224_000004_000002	Her professions of attachment were now as disgusting as her excuses were empty, and her demands impudent.	Her professions of attachment were now as disgusting as her excuses were empty, and her demands impudent.	true	310.13	316.9	25.467289
246_224_000004_000003	"Write to James on her behalf!	"Write to james on her behalf!	true	317.66	319.9	22.72273
246_224_000004_000004	No, James should never hear Isabella's name mentioned by her again."	No, james should never hear Isabella's name mentioned by her again."	true	320.09	324.58	20.37208
246_224_000005_000000	On Henry's arrival from Woodston, she made known to him and Eleanor their brother's safety, congratulating them with sincerity on it, and reading aloud the most material passages of her letter with strong indignation.	On Henry's arrival from Woodston, she made known to him and Eleanor their brother's safety, congratulating them with sincerity on it, and reading aloud the most material passages of her letter with strong indignation.	true	326.09	339.4	22.839926
246_224_000005_000001	When she had finished it--"So much for Isabella," she cried, "and for all our intimacy!	When she had finished it-"So much for Isabella," she cried, "and for all our intimacy!	true	339.62	346.45	23.14946
246_224_000005_000002	She must think me an idiot, or she could not have written so; but perhaps this has served to make her character better known to me than mine is to her.	She must think me an idiot, or she could not have written so; but perhaps this has served to make her character better known to me than mine is to her.	true	346.46	355.15	24.513184
246_224_000005_000003	I see what she has been about.	I see what she has been about.	true	355.46	357.51	25.550627
246_224_000005_000004	She is a vain coquette, and her tricks have not answered.	She is a vain coquette, and her tricks have not answered.	true	357.51	361.48	25.455381
246_224_000005_000005	I do not believe she had ever any regard either for James or for me, and I wish I had never known her."	I do not believe she had ever any regard either for james or for me, and I wish I had never known her."	true	361.82	368.11	23
246_224_000006_000000	"It will soon be as if you never had," said Henry.	"It will soon be as if you never had," said Henry.	true	368.78	372.43	21.225082
246_224_000007_000000	"There is but one thing that I cannot understand.	"There is but one thing that I cannot understand.	true	373.28	376.24	26.43382
246_224_000007_000001	I see that she has had designs on Captain Tilney, which have not succeeded; but I do not understand what Captain Tilney has been about all this time.	I see that she has had designs on Captain Tilney, which have not succeeded; but I do not understand what Captain Tilney has been about all this time.	true	376.43	385.39	25.624136
246_224_000007_000002	Why should he pay her such attentions as to make her quarrel with my brother, and then fly off himself?"	Why should he pay her such attentions as to make her quarrel with my brother, and then fly off himself?"	true	385.64	391.57	23
246_224_000008_000000	"I have very little to say for Frederick's motives, such as I believe them to have been.	"I have very little to say for Frederick's motives, such as I believe them to have been.	true	392.03	397.15	24.233212
246_224_000008_000001	He has his vanities as well as Miss Thorpe, and the chief difference is, that, having a stronger head, they have not yet injured himself.	He has his vanities as well as Miss Thorpe, and the chief difference is, that, having a stronger head, they have not yet injured himself.	true	397.31	406.03	24.076796
246_224_000008_000002	If the effect of his behaviour does not justify him with you, we had better not seek after the cause."	If the effect of his behaviour does not justify him with you, we had better not seek after the cause."	true	406.37	412.33	24.611788
246_224_000009_000000	"Then you do not suppose he ever really cared about her?"	"Then you do not suppose he ever really cared about her?"	true	413.12	416.32	21
246_224_000010_000000	"I am persuaded that he never did."	"I am persuaded that he never did."	true	417.11	419.47	24.171
246_224_000011_000000	"And only made believe to do so for mischief's sake?"	"And only made believe to do so for mischief's sake?"	true	419.87	423.34	25.5374
246_224_000012_000000	Henry bowed his assent.	Henry bowed his assent.	true	424.04	425.8	25.609024
246_224_000013_000000	"Well, then, I must say that I do not like him at all.	"Well, then, I must say that I do not like him at all.	true	426.65	430.21	20.606665
246_224_000013_000001	Though it has turned out so well for us, I do not like him at all.	Though it has turned out so well for us, I do not like him at all.	true	430.4	434.56	21.88591
246_224_000013_000002	As it happens, there is no great harm done, because I do not think Isabella has any heart to lose.	As it happens, there is no great harm done, because I do not think Isabella has any heart to lose.	true	434.81	440.35	20
246_224_000013_000003	But, suppose he had made her very much in love with him?"	But, suppose he had made her very much in love with him?"	true	440.63	443.59	22.290861
246_224_000014_000000	"But we must first suppose Isabella to have had a heart to lose--consequently to have been a very different creature; and, in that case, she would have met with very different treatment."	"But we must first suppose Isabella to have had a heart to lose-consequently to have been a very different creature; and, in that case, she would have met with very different treatment."	true	444.26	454.45	24.563652
246_224_000015_000000	"It is very right that you should stand by your brother."	"It is very right that you should stand by your brother."	true	454.94	457.87	26.218607
246_224_000016_000000	"And if you would stand by yours, you would not be much distressed by the disappointment of Miss Thorpe.	"And if you would stand by yours, you would not be much distressed by the disappointment of Miss Thorpe.	false	459.26	464.56	25.668343
246_224_000016_000001	But your mind is warped by an innate principle of general integrity, and therefore not accessible to the cool reasonings of family partiality, or a desire of revenge."	But your mind is warped by an innate principle of general integrity, and therefore not accessible to the cool reasonings of family partiality, or a desire of revenge."	true	464.66	474.79	21
246_224_000017_000000	Catherine was complimented out of further bitterness.	Catherine was complimented out of further bitterness.	true	475.58	478.63	22
246_224_000017_000001	Frederick could not be unpardonably guilty, while Henry made himself so agreeable.	Frederick could not be unpardonably guilty, while Henry made himself so agreeable.	true	479.03	484.09	25.671743
246_224_000017_000002	She resolved on not answering Isabella's letter, and tried to think no more of it.	She resolved on not answering Isabella's letter, and tried to think no more of it.	true	484.37	489.66	23
246_224_000018_000000	CHAPTER 28	CHAPTER twenty eight	false	489.66	489.84	-20
246_224_000019_000000	Soon after this, the general found himself obliged to go to London for a week; and he left Northanger earnestly regretting that any necessity should rob him even for an hour of Miss Morland's company, and anxiously recommending the study of her comfort and amusement to his children as their chief object in his absence.	Soon after this, the general found himself obliged to go to London for a week; and he left Northanger earnestly regretting that any necessity should rob him even for an hour of Miss Morland's company, and anxiously recommending the study of her comfort and amusement to his children as their chief object in his absence.	false	489.84	491.49	25.602852
246_224_000019_000001	His departure gave Catherine the first experimental conviction that a loss may be sometimes a gain.	His departure gave Catherine the first experimental conviction that a loss may be sometimes a gain.	false	491.49	491.76	22
246_224_000019_000002	The happiness with which their time now passed, every employment voluntary, every laugh indulged, every meal a scene of ease and good humour, walking where they liked and when they liked, their hours, pleasures, and fatigues at their own command, made her thoroughly sensible of the restraint which the general's presence had imposed, and most thankfully feel their present release from it.	The happiness with which their time now passed, every employment voluntary, every laugh indulged, every meal a scene of ease and good humour, walking where they liked and when they liked, their hours, pleasures, and fatigues at their own command, made her thoroughly sensible of the restraint which the general's presence had imposed, and most thankfully feel their present release from it.	false	491.76	492.81	22.026812
