6519_69411_000000_000000	This was shown by his first question:	This was shown by his first question:	false	2.19	5.07	21.275908
6519_69411_000001_000000	"WHERE IS THE WOMAN?"	"WHERE IS THE WOMAN?"	false	5.07	6.03	15
6519_69411_000002_000000	It was a cry of fear; not of mastery.	It was a cry of fear; not of mastery.	false	6.03	13.53	23.03739
6519_69411_000003_000000	IV	i v	false	13.53	18.3	25.430412
6519_69411_000004_000000	"AND WHERE WAS I WHEN ALL THIS HAPPENED?"	"AND WHERE WAS I WHEN ALL THIS HAPPENED?"	true	18.3	20.5	20.75931
6519_69411_000005_000000	The intensity of the question, the compelling, self-forgetful passion of the man, had a startling effect upon the crowd of people huddled before him.	The intensity of the question, the compelling, self forgetful passion of the man, had a startling effect upon the crowd of people huddled before him.	false	20.9	28.9	21.992386
6519_69411_000005_000001	With one accord, and without stopping to pick their way, they made for the open doorway, knocking the smaller pieces of furniture about and creating havoc generally.	With one accord, and without stopping to pick their way, they made for the open doorway, knocking the smaller pieces of furniture about and creating havoc generally.	true	29.21	38.53	23.298119
6519_69411_000005_000002	Some fled the house; others stopped to peer in again from behind the folds of the curtain which had been only partially torn from its fastenings.	Some fled the house; others stopped to peer in again from behind the folds of the curtain which had been only partially torn from its fastenings.	false	38.75	46.89	20
6519_69411_000005_000003	Miss Weeks was the only one to stand her ground.	Miss Weeks was the only one to stand her ground.	false	46.89	50.5	23.987041
6519_69411_000006_000000	When the room was quite cleared and the noise abated (it was a frightful experience to see how little the judge had been affected by all this hubbub of combined movement and sound), she stepped within the line of his vision and lifted her feeble and ineffectual hand in an effort to attract his attention to herself.	When the room was quite cleared and the noise abated (it was a frightful experience to see how little the judge had been affected by all this hubbub of combined movement and sound), she stepped within the line of his vision and lifted her feeble and ineffectual hand in an effort to attract his attention to herself.	false	51.08	69.43	21.76887
6519_69411_000007_000000	But he did not notice her, any more than he had noticed the others. Still looking in the one direction, he cried aloud in troubled tones:	But he did not notice her, any more than he had noticed the others. Still looking in the one direction, he cried aloud in troubled tones:	false	70.31	79.09	21.144442
6519_69411_000008_000000	"She stood there! the woman stood there and I saw her!	"She stood there! the woman stood there and I saw her!	true	79.4	83.055	22.202785
6519_69411_000008_000001	Where is she now?"	Where is she now?"	true	83.055	84.34	23.873375
6519_69411_000009_000000	"She is no longer in the house," came in gentle reply from the only one in or out of the room courageous enough to speak.	"She is no longer in the house," came in gentle reply from the only one in or out of the room courageous enough to speak.	false	85.34	92.98	21.731548
6519_69411_000009_000001	"She went out when she saw us coming.	"She went out when she saw us coming.	false	93.35	95.8	24.909307
6519_69411_000009_000002	We knew that she had no right to be here.	We knew that she had no right to be here.	false	95.96	98.91	21.452549
6519_69411_000009_000003	That is why we intruded ourselves, sir.	That is why we intruded ourselves, sir.	true	98.91	101.41	17.570267
6519_69411_000009_000004	We did not like the looks of her, and so followed her in to prevent mischief."	We did not like the looks of her, and so followed her in to prevent mischief."	true	101.57	106.47	22.797953
6519_69411_000010_000000	"Ah!"	"Ah!"	false	106.47	107.49	18.004025
6519_69411_000011_000000	The expletive fell unconsciously.	The expletive fell unconsciously.	false	107.49	111.1	20.356106
6519_69411_000011_000001	He seemed to be trying to adjust himself to some mental experience he could neither share with others nor explain to himself.	He seemed to be trying to adjust himself to some mental experience he could neither share with others nor explain to himself.	true	111.32	118.24	21
6519_69411_000012_000000	"She was here, then?--a woman with a little child?	"She was here, then?--a woman with a little child?	true	118.58	122.23	24.343077
6519_69411_000012_000001	It wasn't an illusion, a--." Memory was coming back and with it a realisation of his position.	It wasn't an illusion, a-." Memory was coming back and with it a realisation of his position.	false	122.42	129.43	20.02866
6519_69411_000012_000002	Stopping short, he gazed down from his great height upon the trembling little body of whose identity he had but a vague idea, and thundered out in great indignation:	Stopping short, he gazed down from his great height upon the trembling little body of whose identity he had but a vague idea, and thundered out in great indignation:	true	129.83	140.62	22.134594
6519_69411_000013_000000	"How dared you!	"How dared you!	true	140.93	142.485	20.49105
6519_69411_000013_000001	How dared she!" Then as his mind regained its full poise, "And how, even if you had the temerity to venture an entrance here, did you manage to pass my gates?	How dared she!" Then as his mind regained its full poise, "And how, even if you had the temerity to venture an entrance here, did you manage to pass my gates?	false	142.485	153.63	21.810778
