7932_278228_000001_000000	CHAPTER XXXVII.	CHAPTER thirty seven.
7932_278228_000002_000000	MARGARET'S LETTER.	MARGARET'S LETTER.
7932_278228_000003_000001	He told his mother that he and his betrothed had parted; but he would tell no more.	He told his mother that he and his betrothed had parted; but he would tell no more.
7932_278228_000004_000000	"I have been cruelly disappointed, mother, and the subject is very bitter to me," he said; and Mrs. Austin had not the courage to ask any further questions.	"I have been cruelly disappointed, mother, and the subject is very bitter to me," he said; and mrs Austin had not the courage to ask any further questions.
7932_278228_000005_000002	But I can afford to be contented, Clement, so long as I have you with me."	But I can afford to be contented, Clement, so long as I have you with me."
7932_278228_000006_000000	Clement went back to London.	Clement went back to London.
7932_278228_000006_000001	His life seemed to have altogether slipped away from him, and he felt like an old man who has lost all the bright chances of existence; the hope of domestic happiness and a pleasant home; the opportunity of a useful career and an honoured name; and who has nothing more to do but to wait patiently till the slow current of his empty life drops into the sea of death.	His life seemed to have altogether slipped away from him, and he felt like an old man who has lost all the bright chances of existence; the hope of domestic happiness and a pleasant home; the opportunity of a useful career and an honoured name; and who has nothing more to do but to wait patiently till the slow current of his empty life drops into the sea of death.
7932_278228_000007_000000	"I feel so old, mother," he said, sometimes; "I feel so old."	"I feel so old, mother," he said, sometimes; "I feel so old."
7932_278228_000009_000000	Clement Austin felt this, and yet he had no heart to begin life again, though tempting offers came to him from great commercial houses, whose chiefs were eager to secure the well-known cashier of Messrs.	Clement Austin felt this, and yet he had no heart to begin life again, though tempting offers came to him from great commercial houses, whose chiefs were eager to secure the well-known cashier of Messrs.
7932_278228_000009_000001	Dunbar, Dunbar, and Balderby's establishment.	Dunbar, Dunbar, and Balderby's establishment.
7932_278228_000010_000000	Poor Clement could not go into the world yet.	Poor Clement could not go into the world yet.
7932_278228_000010_000002	He wasted hour after hour, and day after day, in gloomy thoughts about the past.	He wasted hour after hour, and day after day, in gloomy thoughts about the past.
7932_278228_000012_000001	This girl, who seemed the very incarnation of purity and candour, had her price, perhaps, as well as other people, and Henry Dunbar had bought the silence of his victim's daughter.	This girl, who seemed the very incarnation of purity and candour, had her price, perhaps, as well as other people, and Henry Dunbar had bought the silence of his victim's daughter.
7932_278228_000013_000000	"It was the knowledge of this business that made her shrink away from me that night when she told me that she was a contaminated creature, unfit to be the associate of an honest man Oh, Margaret, Margaret!	"It was the knowledge of this business that made her shrink away from me that night when she told me that she was a contaminated creature, unfit to be the associate of an honest man Oh, Margaret, Margaret!
7932_278228_000013_000001	poverty must indeed be a bitter school if it has prepared you for such degradation as this!"	poverty must indeed be a bitter school if it has prepared you for such degradation as this!"
7932_278228_000014_000000	The longer Clement thought of the subject, the more certainly he arrived at the conclusion that Margaret Wilmot had been, either bribed or frightened into silence by Henry Dunbar.	The longer Clement thought of the subject, the more certainly he arrived at the conclusion that Margaret Wilmot had been, either bribed or frightened into silence by Henry Dunbar.
7932_278228_000014_000001	It might be that the banker had terrified this unhappy girl by some awful threat that had preyed upon her mind, and driven her from the man who loved her, whom she loved perhaps, in spite of those heartless words which she had spoken in the bitter hour of their parting.	It might be that the banker had terrified this unhappy girl by some awful threat that had preyed upon her mind, and driven her from the man who loved her, whom she loved perhaps, in spite of those heartless words which she had spoken in the bitter hour of their parting.
