7285_72207_000000_000000	CHAPTER TWENTY-SECOND.	CHAPTER TWENTY SECOND.	false	0.96	26.28	18.903849
7285_72207_000001_000000	"Calm me, my God, and keep me calm While these hot breezes blow; Be like the night-dew's cooling balm Upon earth's fevered brow." --H.	"Calm me, my God, and keep me calm While these hot breezes blow; Be like the night dew's cooling balm Upon earth's fevered brow." --H.	true	26.28	38.175	20
7285_72207_000001_000001	BONAR.	BONAR.	true	38.175	38.98	16
7285_72207_000002_000000	"Fear not; I will help thee." --ISAIAH xiii.	"Fear not; I will help thee." --isaiah x i i i.	false	39.77	44.55	21.457403
7285_72207_000002_000001	13.	thirteen.	true	44.55	45.52	17
7285_72207_000003_000000	"Dear old auntie! to think how hard at work for her country she is, while I sit idle here," sighed Elsie, closing the letter after reading it aloud to the assembled family.	"Dear old auntie! to think how hard at work for her country she is, while I sit idle here," sighed Elsie, closing the letter after reading it aloud to the assembled family.	true	47.54	60.85	20.128782
7285_72207_000003_000001	"Mamma, papa, Edward, is there nothing we can do?"	"Mamma, papa, Edward, is there nothing we can do?"	true	61.37	65.59	22.31533
7285_72207_000004_000000	"We can do just what they are doing," replied Rose with energy, "I wonder I had not thought of it before; shirts, stockings, lint, bandages, we can prepare them all; and send with them such fruits and delicacies as will carry from this far-off place.	"We can do just what they are doing," replied Rose with energy, "I wonder I had not thought of it before; shirts, stockings, lint, bandages, we can prepare them all; and send with them such fruits and delicacies as will carry from this far off place.	false	66.23	83.55	20.350498
7285_72207_000004_000001	What say you, gentlemen?"	What say you, gentlemen?"	false	83.55	85.27	18
7285_72207_000005_000000	"I think you can," was the simultaneous reply; Mr. Travilla adding, "and we can help with the lint, and by running the sewing-machines.	"I think you can," was the simultaneous reply; mr Travilla adding, "and we can help with the lint, and by running the sewing machines.	true	85.79	95.38	20.041252
7285_72207_000005_000001	I'd be glad to add to the comfort of the poor fellows on both sides."	I'd be glad to add to the comfort of the poor fellows on both sides."	true	95.42	100	21
7285_72207_000006_000000	"And money is needed by their aid societies," added Mr. Dinsmore.	"And money is needed by their aid societies," added mr Dinsmore.	true	100.43	105.1	17
7285_72207_000007_000000	"And I can send that!" Elsie exclaimed joyously	"And I can send that!" Elsie exclaimed joyously	true	105.44	109.24	21
7285_72207_000008_000000	"Yes, we all can," said her father.	"Yes, we all can," said her father.	true	109.58	112.54	19.976257
7285_72207_000009_000000	Several busy weeks followed, and a large box was packed and sent off.	Several busy weeks followed, and a large box was packed and sent off.	true	112.97	117.82	21.323372
7285_72207_000010_000000	"If that arrives safely we will send another," they said; for news had reached them that such supplies were sorely needed.	"If that arrives safely we will send another," they said; for news had reached them that such supplies were sorely needed.	false	118.19	126.55	21
7285_72207_000011_000000	"What! at it again, little wife?" queried Mr. Travilla, entering Elsie's boudoir the next morning, to find her delicate fingers busy with knitting-needles and coarse blue yarn.	"What! at it again, little wife?" queried mr Travilla, entering Elsie's boudoir the next morning, to find her delicate fingers busy with knitting needles and coarse blue yarn.	false	127.64	139.84	20
7285_72207_000012_000000	"Yes, sir," she said, smiling up at him, "it seems a slight relief to my anxiety about my country, to be doing something, if it is only _this_."	"Yes, sir," she said, smiling up at him, "it seems a slight relief to my anxiety about my country, to be doing something, if it is only underscore this underscore."	false	140.18	151.71	19.165092
7285_72207_000013_000000	"Ah! then I'll take lessons, if you, or Aunt Chloe there will teach me," he returned, laughingly drawing up a chair and taking a seat by her side. "Mammy, can you supply another set of needles, and more yarn?"	"Ah! then I'll take lessons, if you, or Aunt Chloe there will teach me," he returned, laughingly drawing up a chair and taking a seat by her side. "Mammy, can you supply another set of needles, and more yarn?"	true	151.71	165.46	18
7285_72207_000014_000000	"Yes, massa;" and laying down the stocking she was at work upon, away she went in search of them.	"Yes, massa;" and laying down the stocking she was at work upon, away she went in search of them.	false	165.71	172.89	19.466911
7285_72207_000015_000000	"Papa, see! so pitty!" cried a little voice; and "wee Elsie" was at his knee, with a diamond necklace in her hand.	"Papa, see! so pitty!" cried a little voice; and "wee Elsie" was at his knee, with a diamond necklace in her hand.	false	172.89	182.14	20
7285_72207_000016_000000	"Yes," he said, gently taking it from her, "but rather too valuable a plaything for my little pet.	"Yes," he said, gently taking it from her, "but rather too valuable a plaything for my little pet.	true	182.6	189.43	21.253428
7285_72207_000016_000001	How did she get hold of it, dearest?" he asked, turning to his wife.	How did she get hold of it, dearest?" he asked, turning to his wife.	true	189.53	193.81	18.971075
7285_72207_000017_000000	"Mamma say Elsie may.	"Mamma say Elsie may.	true	194.42	196.54	16
7285_72207_000017_000001	Please, papa, let Elsie have it," pleaded the little one with quivering lip and fast-filling eyes.	Please, papa, let Elsie have it," pleaded the little one with quivering lip and fast filling eyes.	false	196.61	203.95	18
