4013_11734_000004_000000	CHAPTER XII	CHAPTER twelve
4013_11734_000008_000002	This did not hinder Caesar from seizing in the space of a few days Severeto, Scarlino, the isle of Elba, and La Pianosa; but he was obliged to stop short at the castle, which opposed a serious resistance.	This did not hinder Caesar from seizing in the space of a few days Severeto, Scarlino, the isle of Elba, and La Pianosa; but he was obliged to stop short at the castle, which opposed a serious resistance.
4013_11734_000008_000003	As Louis XII's army was continuing its way towards Rome, and he received a fresh order to join it, he took his departure the next day, leaving behind him, Vitellozzo and Gian Paolo Bagliani to prosecute the siege in his absence.	As Louis the twelfth's army was continuing its way towards Rome, and he received a fresh order to join it, he took his departure the next day, leaving behind him, Vitellozzo and Gian Paolo Bagliani to prosecute the siege in his absence.
4013_11734_000009_000000	Louis XII was this time advancing upon Naples, not with the incautious ardour of Charles VIII, but, on the contrary, with that prudence and circumspection which characterised him.	Louis the twelfth was this time advancing upon Naples, not with the incautious ardour of Charles the eighth, but, on the contrary, with that prudence and circumspection which characterised him.
4013_11734_000009_000003	This partition was all the more likely to be made, in fact, because Frederic, supposing all the time that Ferdinand was his good and faithful friend, would open the gates of his towns, only to receive into his fortresses conquerors and masters instead of allies.	This partition was all the more likely to be made, in fact, because Frederic, supposing all the time that Ferdinand was his good and faithful friend, would open the gates of his towns, only to receive into his fortresses conquerors and masters instead of allies.
4013_11734_000009_000004	All this perhaps was not very loyal conduct on the part of a king who had so long desired and had just now received the surname of Catholic, but it mattered little to Louis, who profited by treasonable acts he did not have to share.	All this perhaps was not very loyal conduct on the part of a king who had so long desired and had just now received the surname of Catholic, but it mattered little to Louis, who profited by treasonable acts he did not have to share.
4013_11734_000012_000000	But the feeling of safety inspired by Frederic's faithless ally was not destined to endure long: on their arrival at Rome, the French and Spanish ambassadors presented to the pope the treaty signed at Grenada on the 11th of November, 1500, between Louis XII and Ferdinand the Catholic, a treaty which up, to that time had been secret.	But the feeling of safety inspired by Frederic's faithless ally was not destined to endure long: on their arrival at Rome, the French and Spanish ambassadors presented to the pope the treaty signed at Grenada on the eleventh of November, fifteen hundred, between Louis the twelfth and Ferdinand the Catholic, a treaty which up, to that time had been secret.
4013_11734_000012_000002	It was demonstrated that the arrangement had only been undertaken to provide the Christian princes with another weapon for attacking the Ottoman Empire, and before this consideration, one may readily suppose, all the pope's scruples vanished; on the 25th of June, therefore, it was decided to call a consistory which was to declare Frederic deposed from the throne of Naples.	It was demonstrated that the arrangement had only been undertaken to provide the Christian princes with another weapon for attacking the Ottoman Empire, and before this consideration, one may readily suppose, all the pope's scruples vanished; on the twenty fifth of June, therefore, it was decided to call a consistory which was to declare Frederic deposed from the throne of Naples.
4013_11734_000013_000000	These dispositions were scarcely made when d'Aubigny, having passed the Volturno, approached to lay siege to Capua, and invested the town on both sides of the river.	These dispositions were scarcely made when d'Aubigny, having passed the Volturno, approached to lay siege to Capua, and invested the town on both sides of the river.
4013_11734_000014_000002	Such negotiations, made with cunning supported by bribery, proved as usual more prompt and efficacious than any others.	Such negotiations, made with cunning supported by bribery, proved as usual more prompt and efficacious than any others.
4013_11734_000014_000003	At the very moment when Fabrizio Colonna in a fortified outpost was discussing the conditions of capitulation with the French captains, suddenly great cries of distress were heard.	At the very moment when Fabrizio Colonna in a fortified outpost was discussing the conditions of capitulation with the French captains, suddenly great cries of distress were heard.
