8225_274375_000000_000000	* Whitlocke, p. 69.	asterisk Whitlocke, p. sixty nine.	false	6.21	8.55	9
8225_274375_000000_000001	May, book iii.	May, book iii.	false	8.55	16.47	21.884214
8225_274375_000000_000002	p. 91.	p. ninety one.	false	16.47	22.38	21.092272
8225_274375_000001_000000	* Rush. vol. vi.	asterisk Rush. vol vi.	false	22.38	23.64	10
8225_274375_000001_000001	p. 287.	p. two hundred eighty seven.	false	23.64	28.05	17
8225_274375_000001_000002	Clarendon, vol. iii.	Clarendon, vol iii.	false	28.05	29.25	100
8225_274375_000001_000003	p. 315.	p. three hundred fifteen.	false	29.25	30.45	31.480404
8225_274375_000001_000004	May, book iii.	May, book iii.	false	30.45	31.35	36
8225_274375_000001_000005	p. 96.	p. ninety six.	false	31.35	33.9	21.371992
8225_274375_000002_000000	When intelligence of the siege of Gloucester arrived in London, the consternation among the inhabitants was as great as if the enemy were already at their gates.	When intelligence of the siege of Gloucester arrived in London, the consternation among the inhabitants was as great as if the enemy were already at their gates.	true	33.9	42.61	18
8225_274375_000002_000001	The rapid progress of the royalists threatened the parliament with immediate subjection: the factions and discontents among themselves in the city, and throughout the neighboring counties, prognosticated some dangerous division or insurrection.	The rapid progress of the royalists threatened the parliament with immediate subjection: the factions and discontents among themselves in the city, and throughout the neighboring counties, prognosticated some dangerous division or insurrection.	true	42.98	56.17	21.632896
8225_274375_000002_000002	Those parliamentary leaders, it must be owned, who had introduced such mighty innovations into the English constitution, and who had projected so much greater, had not engaged in an enterprise which exceeded their courage and capacity.	Those parliamentary leaders, it must be owned, who had introduced such mighty innovations into the English constitution, and who had projected so much greater, had not engaged in an enterprise which exceeded their courage and capacity.	true	56.66	70.18	21.430483
8225_274375_000002_000003	Great vigor, from the beginning, as well as wisdom, they had displayed in all their counsels; and a furious, headstrong body, broken loose from the restraint of law, had hitherto been retained in subjection under their authority, and firmly united by zeal and passion, as by the most legal and established government.	Great vigor, from the beginning, as well as wisdom, they had displayed in all their counsels; and a furious, headstrong body, broken loose from the restraint of law, had hitherto been retained in subjection under their authority, and firmly united by zeal and passion, as by the most legal and established government.	true	70.73	89.05	22.565868
8225_274375_000002_000004	A small committee, on whom the two houses devolved their power, had directed all their military operations, and had preserved a secrecy in deliberation, and a promptitude in execution, beyond what the king, notwithstanding the advantages possessed by a single leader, had ever been able to attain. Sensible that no jealousy was by their partisans entertained against them, they had on all occasions exerted an authority much more despotic than the royalists, even during the pressing exigencies of war, could with patience endure in their sovereign.	A small committee, on whom the two houses devolved their power, had directed all their military operations, and had preserved a secrecy in deliberation, and a promptitude in execution, beyond what the king, notwithstanding the advantages possessed by a single leader, had ever been able to attain. Sensible that no jealousy was by their partisans entertained against them, they had on all occasions exerted an authority much more despotic than the royalists, even during the pressing exigencies of war, could with patience endure in their sovereign.	false	89.66	121.36	21.469357
8225_274375_000002_000005	Whoever incurred their displeasure, or was exposed to their suspicions, was committed to prison, and prosecuted under the notion of delinquency: after all the old jails were full, many new ones were erected; and even the ships were crowded with the royalists, both gentry and clergy, who anguished below decks, and perished in those unhealthy confinements: they imposed taxes, the heaviest and of the most unusual nature, by an ordinance of the two houses; they voted a commission for sequestrations; and they seized, wherever they had power, the revenues of all the king's party;[*] and knowing that themselves, and all their adherents, were, by resisting the prince, exposed to the penalties of law, they resolved, by a severe administration, to overcome those terrors, and to retain the people in obedience by penalties of a more immediate execution.	Whoever incurred their displeasure, or was exposed to their suspicions, was committed to prison, and prosecuted under the notion of delinquency: after all the old jails were full, many new ones were erected; and even the ships were crowded with the royalists, both gentry and clergy, who anguished below decks, and perished in those unhealthy confinements: they imposed taxes, the heaviest and of the most unusual nature, by an ordinance of the two houses; they voted a commission for sequestrations; and they seized, wherever they had power, the revenues of all the king's party;[asterisk] and knowing that themselves, and all their adherents, were, by resisting the prince, exposed to the penalties of law, they resolved, by a severe administration, to overcome those terrors, and to retain the people in obedience by penalties of a more immediate execution.	false	122	173.92	21.627016
8225_274375_000002_000006	In the beginning of this summer, a combination, formed against them in London, had obliged them to exert the plenitude of their authority.	In the beginning of this summer, a combination, formed against them in London, had obliged them to exert the plenitude of their authority.	true	174.5	181.95	20.299694
8225_274375_000003_000000	* The king afterwards copied from this example; but, as the far greater part of the nobility and landed gentry were his friends, he reaped much less profit from this measure.	asterisk The king afterwards copied from this example; but, as the far greater part of the nobility and landed gentry were his friends, he reaped much less profit from this measure.	false	181.95	182.76	-20
8225_274375_000004_000000	Edward Waller, the first refiner of English versification, was a member of the lower house; a man of considerable fortune, and not more distinguished by his poetical genius than by his parliamentary talents, and by the politeness and elegance of his manners.	Edward Waller, the first refiner of English versification, was a member of the lower house; a man of considerable fortune, and not more distinguished by his poetical genius than by his parliamentary talents, and by the politeness and elegance of his manners.	true	182.76	197.56	20.070389
8225_274375_000004_000001	As full of keen satire and invective in his eloquence, as of tenderness and panegyric in his poetry, he caught the attention of his hearers, and exerted the utmost boldness in blaming those violent counsels by which the commons were governed.	As full of keen satire and invective in his eloquence, as of tenderness and panegyric in his poetry, he caught the attention of his hearers, and exerted the utmost boldness in blaming those violent counsels by which the commons were governed.	true	197.9	211.12	21.239338
8225_274375_000004_000002	Finding all opposition within doors to be fruitless, he endeavored to form a party without, which might oblige the parliament to accept of reasonable conditions, and restore peace to the nation. The charms of his conversation, joined to his character of courage and integrity, had procured him the entire confidence of Northumberland, Conway, and every eminent person of either sex who resided in London. They opened their breasts to him without reserve, and expressed their disapprobation of the furious measures pursued by the commons, and their wishes that some expedient could be found for stopping so impetuous a career.	Finding all opposition within doors to be fruitless, he endeavored to form a party without, which might oblige the parliament to accept of reasonable conditions, and restore peace to the nation. The charms of his conversation, joined to his character of courage and integrity, had procured him the entire confidence of Northumberland, Conway, and every eminent person of either sex who resided in London. They opened their breasts to him without reserve, and expressed their disapprobation of the furious measures pursued by the commons, and their wishes that some expedient could be found for stopping so impetuous a career.	false	211.7	247.15	22.340172
8225_274375_000004_000003	Tomkins, Waller's brother-in-law, and Chaloner, the intimate friend of Tomkins, had entertained like sentiments: and as the connections of these two gentlemen lay chiefly in the city, they informed Waller that the same abhorrence of war prevailed there among all men of reason and moderation.	Tomkins, Waller's brother in law, and Chaloner, the intimate friend of Tomkins, had entertained like sentiments: and as the connections of these two gentlemen lay chiefly in the city, they informed Waller that the same abhorrence of war prevailed there among all men of reason and moderation.	false	247.94	265.56	20.717884
8225_274375_000004_000004	Upon reflection, it seemed not impracticable that a combination might be formed between the lords and citizens; and, by mutual concert, the illegal taxes be refused, which the parliament, without the royal assent, imposed on the people.	Upon reflection, it seemed not impracticable that a combination might be formed between the lords and citizens; and, by mutual concert, the illegal taxes be refused, which the parliament, without the royal assent, imposed on the people.	false	265.56	279.61	21.795511
8225_274375_000004_000005	While this affair was in agitation, and lists were making of such as they conceived to be well affected to their design, a servant of Tomkins, who had overheard their discourse, immediately carried intelligence to Pym.	While this affair was in agitation, and lists were making of such as they conceived to be well affected to their design, a servant of Tomkins, who had overheard their discourse, immediately carried intelligence to Pym.	true	280.07	292.48	21.9001
8225_274375_000004_000006	Waller, Tomkins, and Chaloner were seized, and tried by a court martial.[*]	Waller, Tomkins, and Chaloner were seized, and tried by a court martial.[asterisk]	false	292.88	297.03	21
8225_274375_000005_000000	* Rush. vol. vi.	asterisk Rush. vol vi.	false	297.03	297.15	-20
8225_274375_000005_000001	p. 326.	p. three hundred twenty six.	false	297.15	297.27	-20
8225_274375_000005_000002	Clarendon, vol. iii.	Clarendon, vol iii.	false	297.27	297.33	-20
8225_274375_000005_000003	p. 249, 250, etc.	p. two hundred forty nine, two hundred fifty, etc	false	297.33	297.57	3
8225_274375_000006_000000	They were all three condemned, and the two latter executed on gibbets erected before their own doors.	They were all three condemned, and the two latter executed on gibbets erected before their own doors.	true	297.57	303.25	21.611362
8225_274375_000006_000001	A covenant, as a test, was taken by the lords and commons, and imposed on their army, and on all who lived within their quarters.	A covenant, as a test, was taken by the lords and commons, and imposed on their army, and on all who lived within their quarters.	true	303.68	311.53	22.454126
8225_274375_000006_000002	Besides resolving to amend and reform their lives, the covenanters their vow, that they will never lay down their arms so long as the Papists, now in open war against the parliament, shall by force of arms be protected from justice; they express their abhorrence of the late conspiracy; and they promise to assist to the utmost the forces raised by both houses, against the forces levied by the king.[*]	Besides resolving to amend and reform their lives, the covenanters their vow, that they will never lay down their arms so long as the Papists, now in open war against the parliament, shall by force of arms be protected from justice; they express their abhorrence of the late conspiracy; and they promise to assist to the utmost the forces raised by both houses, against the forces levied by the king.[asterisk]	false	312.08	335.22	21.90138
