783_126739_000000_000000	CHAPTER X	CHAPTER ten	true	5.295	6.28	8
783_126739_000001_000000	The Assistant Commissioner, driven rapidly in a hansom from the neighbourhood of Soho in the direction of Westminster, got out at the very centre of the Empire on which the sun never sets.	The Assistant Commissioner, driven rapidly in a hansom from the neighbourhood of Soho in the direction of Westminster, got out at the very centre of the Empire on which the sun never sets.	true	7.94	18.4	10
783_126739_000001_000001	Some stalwart constables, who did not seem particularly impressed by the duty of watching the august spot, saluted him.	Some stalwart constables, who did not seem particularly impressed by the duty of watching the august spot, saluted him.	true	19.1	26.53	11
783_126739_000001_000002	Penetrating through a portal by no means lofty into the precincts of the House which is _the_ House, _par excellence_ in the minds of many millions of men, he was met at last by the volatile and revolutionary Toodles.	Penetrating through a portal by no means lofty into the precincts of the House which is underscore the underscore House, underscore par excellence underscore in the minds of many millions of men, he was met at last by the volatile and revolutionary Toodles.	false	27.35	40.87	10
783_126739_000002_000000	That neat and nice young man concealed his astonishment at the early appearance of the Assistant Commissioner, whom he had been told to look out for some time about midnight.	That neat and nice young man concealed his astonishment at the early appearance of the Assistant Commissioner, whom he had been told to look out for some time about midnight.	true	41.78	51.76	12
783_126739_000002_000001	His turning up so early he concluded to be the sign that things, whatever they were, had gone wrong.	His turning up so early he concluded to be the sign that things, whatever they were, had gone wrong.	true	52.31	58.72	11
783_126739_000002_000002	With an extremely ready sympathy, which in nice youngsters goes often with a joyous temperament, he felt sorry for the great Presence he called "The Chief," and also for the Assistant Commissioner, whose face appeared to him more ominously wooden than ever before, and quite wonderfully long. "What a queer, foreign-looking chap he is," he thought to himself, smiling from a distance with friendly buoyancy.	With an extremely ready sympathy, which in nice youngsters goes often with a joyous temperament, he felt sorry for the great Presence he called "The Chief," and also for the Assistant Commissioner, whose face appeared to him more ominously wooden than ever before, and quite wonderfully long. "What a queer, foreign looking chap he is," he thought to himself, smiling from a distance with friendly buoyancy.	false	59.78	84.34	12
783_126739_000002_000003	And directly they came together he began to talk with the kind intention of burying the awkwardness of failure under a heap of words.	And directly they came together he began to talk with the kind intention of burying the awkwardness of failure under a heap of words.	false	85.52	92.95	10
783_126739_000002_000004	It looked as if the great assault threatened for that night were going to fizzle out.	It looked as if the great assault threatened for that night were going to fizzle out.	false	94.07	97.96	10
783_126739_000002_000005	An inferior henchman of "that brute Cheeseman" was up boring mercilessly a very thin House with some shamelessly cooked statistics.	An inferior henchman of "that brute Cheeseman" was up boring mercilessly a very thin House with some shamelessly cooked statistics.	true	99.32	107.98	12
783_126739_000002_000006	He, Toodles, hoped he would bore them into a count out every minute.	He, Toodles, hoped he would bore them into a count out every minute.	false	108.62	112.78	8
783_126739_000002_000007	But then he might be only marking time to let that guzzling Cheeseman dine at his leisure.	But then he might be only marking time to let that guzzling Cheeseman dine at his leisure.	false	113.12	118.15	10
783_126739_000002_000008	Anyway, the Chief could not be persuaded to go home.	Anyway, the Chief could not be persuaded to go home.	true	118.91	123.51	13
783_126739_000003_000000	"He will see you at once, I think.	"He will see you at once, I think.	true	123.51	125.41	11
783_126739_000003_000001	He's sitting all alone in his room thinking of all the fishes of the sea," concluded Toodles airily.	He's sitting all alone in his room thinking of all the fishes of the sea," concluded Toodles airily.	true	125.51	131.14	10
783_126739_000003_000002	"Come along."	"Come along."	true	131.42	132.37	17.040497
783_126739_000004_000000	Notwithstanding the kindness of his disposition, the young private secretary (unpaid) was accessible to the common failings of humanity.	Notwithstanding the kindness of his disposition, the young private secretary (unpaid) was accessible to the common failings of humanity.	true	133.19	142.09	10
783_126739_000004_000001	He did not wish to harrow the feelings of the Assistant Commissioner, who looked to him uncommonly like a man who has made a mess of his job.	He did not wish to harrow the feelings of the Assistant Commissioner, who looked to him uncommonly like a man who has made a mess of his job.	true	142.79	150.61	9
783_126739_000004_000002	But his curiosity was too strong to be restrained by mere compassion.	But his curiosity was too strong to be restrained by mere compassion.	true	151.07	155.02	9
783_126739_000004_000003	He could not help, as they went along, to throw over his shoulder lightly:	He could not help, as they went along, to throw over his shoulder lightly:	false	155.42	159.63	9
783_126739_000005_000000	"And your sprat?"	"And your sprat?"	false	159.63	161.56	13
783_126739_000006_000000	"Got him," answered the Assistant Commissioner with a concision which did not mean to be repellent in the least.	"Got him," answered the Assistant Commissioner with a concision which did not mean to be repellent in the least.	true	162.59	168.46	8
783_126739_000007_000000	"Good.	"Good.	true	169.55	170.37	16.694996
783_126739_000007_000001	You've no idea how these great men dislike to be disappointed in small things."	You've no idea how these great men dislike to be disappointed in small things."	true	170.37	174.64	10
783_126739_000008_000000	After this profound observation the experienced Toodles seemed to reflect.	After this profound observation the experienced Toodles seemed to reflect.	true	175.4	179.77	11
783_126739_000008_000001	At any rate he said nothing for quite two seconds.	At any rate he said nothing for quite two seconds.	true	180.23	183.16	13
783_126739_000008_000002	Then:	Then:	true	183.5	184.27	10
783_126739_000009_000000	"I'm glad.	"I'm glad.	true	184.85	185.955	16
783_126739_000009_000001	But--I say--is it really such a very small thing as you make it out?"	But-I say-is it really such a very small thing as you make it out?"	false	185.955	189.76	10
783_126739_000010_000000	"Do you know what may be done with a sprat?" the Assistant Commissioner asked in his turn.	"Do you know what may be done with a sprat?" the Assistant Commissioner asked in his turn.	false	190.13	194.79	9
783_126739_000011_000000	"He's sometimes put into a sardine box," chuckled Toodles, whose erudition on the subject of the fishing industry was fresh and, in comparison with his ignorance of all other industrial matters, immense. "There are sardine canneries on the Spanish coast which--"	"He's sometimes put into a sardine box," chuckled Toodles, whose erudition on the subject of the fishing industry was fresh and, in comparison with his ignorance of all other industrial matters, immense. "There are sardine canneries on the Spanish coast which-"	false	194.79	211.27	11
783_126739_000012_000000	The Assistant Commissioner interrupted the apprentice statesman.	The Assistant Commissioner interrupted the apprentice statesman.	true	211.37	214.57	10
783_126739_000013_000000	"Yes.	"Yes.	true	215.57	216.105	10
783_126739_000013_000001	Yes.	Yes.	true	216.105	216.795	11
783_126739_000013_000002	But a sprat is also thrown away sometimes in order to catch a whale."	But a sprat is also thrown away sometimes in order to catch a whale."	true	216.795	220.42	9
783_126739_000014_000000	"A whale.	"A whale.	true	221.06	221.97	13
783_126739_000014_000001	Phew!" exclaimed Toodles, with bated breath.	Phew!" exclaimed Toodles, with bated breath.	false	221.97	225.19	9
783_126739_000014_000002	"You're after a whale, then?"	"You're after a whale, then?"	true	225.29	226.93	12
783_126739_000015_000000	"Not exactly.	"Not exactly.	true	227.63	228.85	15
783_126739_000015_000001	What I am after is more like a dog-fish.	What I am after is more like a dog fish.	true	229.04	231.52	13
783_126739_000015_000002	You don't know perhaps what a dog-fish is like."	You don't know perhaps what a dog fish is like."	true	231.77	234.4	11
783_126739_000016_000000	"Yes; I do.	"Yes; I do.	true	234.95	236.04	10
783_126739_000016_000001	We're buried in special books up to our necks--whole shelves full of them--with plates. . . .	We're buried in special books up to our necks-whole shelves full of them-with plates. . . .	false	236.04	241.42	16
783_126739_000016_000002	It's a noxious, rascally-looking, altogether detestable beast, with a sort of smooth face and moustaches."	It's a noxious, rascally looking, altogether detestable beast, with a sort of smooth face and moustaches."	false	241.73	248.59	11
783_126739_000017_000000	"Described to a T," commended the Assistant Commissioner.	"Described to a T," commended the Assistant Commissioner.	true	249.29	252.88	10
783_126739_000017_000001	"Only mine is clean-shaven altogether.	"Only mine is clean shaven altogether.	true	253.04	255.4	12
783_126739_000017_000002	You've seen him.	You've seen him.	true	255.68	256.9	14.628586
783_126739_000017_000003	It's a witty fish."	It's a witty fish."	true	256.91	258.43	7
783_126739_000018_000000	"I have seen him!" said Toodles incredulously.	"I have seen him!" said Toodles incredulously.	true	258.83	262.09	9
783_126739_000018_000001	"I can't conceive where I could have seen him."	"I can't conceive where I could have seen him."	true	262.37	264.88	11
783_126739_000019_000000	"At the Explorers, I should say," dropped the Assistant Commissioner calmly.	"At the Explorers, I should say," dropped the Assistant Commissioner calmly.	true	265.31	269.83	11
783_126739_000019_000001	At the name of that extremely exclusive club Toodles looked scared, and stopped short.	At the name of that extremely exclusive club Toodles looked scared, and stopped short.	true	270.41	275.74	12
783_126739_000020_000000	"Nonsense," he protested, but in an awe-struck tone.	"Nonsense," he protested, but in an awe struck tone.	true	276.56	280.15	12
783_126739_000020_000001	"What do you mean? A member?"	"What do you mean? A member?"	true	280.43	282.16	14
783_126739_000021_000000	"Honorary," muttered the Assistant Commissioner through his teeth.	"Honorary," muttered the Assistant Commissioner through his teeth.	true	282.83	286.39	8
783_126739_000022_000000	"Heavens!"	"Heavens!"	true	286.82	287.83	9
783_126739_000023_000000	Toodles looked so thunderstruck that the Assistant Commissioner smiled faintly.	Toodles looked so thunderstruck that the Assistant Commissioner smiled faintly.	true	288.11	292.06	11
783_126739_000024_000000	"That's between ourselves strictly," he said.	"That's between ourselves strictly," he said.	true	292.79	295.54	11
783_126739_000025_000000	"That's the beastliest thing I've ever heard in my life," declared Toodles feebly, as if astonishment had robbed him of all his buoyant strength in a second.	"That's the beastliest thing I've ever heard in my life," declared Toodles feebly, as if astonishment had robbed him of all his buoyant strength in a second.	false	296.54	304.93	7
783_126739_000026_000000	The Assistant Commissioner gave him an unsmiling glance.	The Assistant Commissioner gave him an unsmiling glance.	true	306.41	309.49	9
783_126739_000026_000001	Till they came to the door of the great man's room, Toodles preserved a scandalised and solemn silence, as though he were offended with the Assistant Commissioner for exposing such an unsavoury and disturbing fact.	Till they came to the door of the great man's room, Toodles preserved a scandalised and solemn silence, as though he were offended with the Assistant Commissioner for exposing such an unsavoury and disturbing fact.	true	310.13	321.91	10
783_126739_000026_000002	It revolutionised his idea of the Explorers' Club's extreme selectness, of its social purity.	It revolutionised his idea of the Explorers' Club's extreme selectness, of its social purity.	true	322.52	328.81	10
783_126739_000026_000003	Toodles was revolutionary only in politics; his social beliefs and personal feelings he wished to preserve unchanged through all the years allotted to him on this earth which, upon the whole, he believed to be a nice place to live on.	Toodles was revolutionary only in politics; his social beliefs and personal feelings he wished to preserve unchanged through all the years allotted to him on this earth which, upon the whole, he believed to be a nice place to live on.	false	329.45	343.51	10
783_126739_000027_000000	He stood aside.	He stood aside.	true	344.48	345.82	8
783_126739_000028_000000	"Go in without knocking," he said.	"Go in without knocking," he said.	true	346.85	349.09	13
783_126739_000029_000000	Shades of green silk fitted low over all the lights imparted to the room something of a forest's deep gloom.	Shades of green silk fitted low over all the lights imparted to the room something of a forest's deep gloom.	true	350.15	356.65	11
783_126739_000029_000001	The haughty eyes were physically the great man's weak point.	The haughty eyes were physically the great man's weak point.	true	357.47	360.79	12
783_126739_000029_000002	This point was wrapped up in secrecy.	This point was wrapped up in secrecy.	true	361.49	364.9	10
783_126739_000029_000003	When an opportunity offered, he rested them conscientiously.	When an opportunity offered, he rested them conscientiously.	true	365.24	369.04	9
783_126739_000030_000000	The Assistant Commissioner entering saw at first only a big pale hand supporting a big head, and concealing the upper part of a big pale face. An open despatch-box stood on the writing-table near a few oblong sheets of paper and a scattered handful of quill pens.	The Assistant Commissioner entering saw at first only a big pale hand supporting a big head, and concealing the upper part of a big pale face. An open despatch box stood on the writing table near a few oblong sheets of paper and a scattered handful of quill pens.	true	369.77	386.71	9
