8396_120282_000000_000000	STORY XXVIII	STORY twenty eight	true	14.76	16.05	24.589705
8396_120282_000001_000000	UNCLE WIGGILY AND THE PINE CONES	UNCLE WIGGILY AND THE PINE CONES	false	16.05	17.89	25.293053
8396_120282_000002_000000	Uncle Wiggily Longears, the nice rabbit gentleman, was out walking in the woods one day when he felt rather tired.	Uncle Wiggily Longears, the nice rabbit gentleman, was out walking in the woods one day when he felt rather tired.	false	18.5	24.25	20.85238
8396_120282_000002_000001	He had been looking all around for an adventure, which was something he liked to have happen to him, but he had seen nothing like one so far.	He had been looking all around for an adventure, which was something he liked to have happen to him, but he had seen nothing like one so far.	true	24.38	30.45	22.464218
8396_120282_000003_000000	"And I don't want to go back to my hollow stump bungalow without having had an adventure to tell Nurse Jane Fuzzy Wuzzy about," said Mr. Longears.	"And I don't want to go back to my hollow stump bungalow without having had an adventure to tell Nurse Jane Fuzzy Wuzzy about," said mr Longears.	false	30.45	38.17	20.432535
8396_120282_000004_000000	But, as I said, the rabbit gentleman was feeling rather tired, and, seeing a nice log covered with a cushion of green moss, he sat down on that to rest.	But, as I said, the rabbit gentleman was feeling rather tired, and, seeing a nice log covered with a cushion of green moss, he sat down on that to rest.	false	38.57	46.48	20.365713
8396_120282_000005_000000	"Perhaps an adventure will happen to me here," thought the bunny uncle as he leaned back against a pine tree to rest.	"Perhaps an adventure will happen to me here," thought the bunny uncle as he leaned back against a pine tree to rest.	false	46.82	52.09	17
8396_120282_000006_000000	It was nice and warm in the woods, and, with the sun shining down upon him, Uncle Wiggily soon dozed off in a little sleep.	It was nice and warm in the woods, and, with the sun shining down upon him, Uncle Wiggily soon dozed off in a little sleep.	true	52.52	58.99	21.188654
8396_120282_000006_000001	But when he awakened still no adventure had happened to him.	But when he awakened still no adventure had happened to him.	true	59.12	61.96	21.225037
8396_120282_000007_000000	"Well, I guess I must travel on," he said, and he started to get up, but he could not.	"Well, I guess I must travel on," he said, and he started to get up, but he could not.	true	62.36	67.27	19.485195
8396_120282_000007_000001	He could not move his back away from the pine tree against which he had leaned to rest.	He could not move his back away from the pine tree against which he had leaned to rest.	true	67.43	71.02	20.522133
8396_120282_000008_000000	"Oh, dear! what has happened," cried the bunny uncle.	"Oh, dear! what has happened," cried the bunny uncle.	true	71.33	74.26	20.45724
8396_120282_000008_000001	"I am stuck fast!	"I am stuck fast!	false	74.3	75.51	20.43701
8396_120282_000008_000002	I can't get away!	I can't get away!	true	75.51	76.725	8
8396_120282_000008_000003	Oh, dear!"	Oh, dear!"	true	76.725	77.86	25.186785
8396_120282_000009_000000	At first he thought perhaps the skillery-scalery alligator with the humps on his tail had come softly up behind him as he slept and had him in his claws.	At first he thought perhaps the skillery scalery alligator with the humps on his tail had come softly up behind him as he slept and had him in his claws.	true	78.35	85.725	18
8396_120282_000009_000001	But, by sort of looking around backward, Mr. Longears could see no one--not even a fox.	But, by sort of looking around backward, mr Longears could see no one-not even a fox.	false	85.725	89.7	15
8396_120282_000010_000000	"But what is it holding me?" he cried, as he tried again and again to get loose, but could not.	"But what is it holding me?" he cried, as he tried again and again to get loose, but could not.	false	89.7	94.84	18.995035
8396_120282_000011_000000	"I am sorry to say I am holding you!" spoke a voice up over Uncle Wiggily's head.	"I am sorry to say I am holding you!" spoke a voice up over Uncle Wiggily's head.	false	95.09	100.69	16.386404
8396_120282_000011_000001	"I am holding you fast!"	"I am holding you fast!"	true	100.88	103.33	22.362753
8396_120282_000012_000000	"Who are you, if you please?" asked the rabbit gentleman.	"Who are you, if you please?" asked the rabbit gentleman.	true	103.91	107.17	22.959755
8396_120282_000013_000000	"I am the pine tree against which you leaned your back.	"I am the pine tree against which you leaned your back.	true	107.72	111.225	21.395084
8396_120282_000013_000001	And on my bark was a lot of sticky pine gum.	And on my bark was a lot of sticky pine gum.	true	111.225	114.01	19
