3825_134148_000000_000000	CHAPTER 11.	CHAPTER eleven.	false	0.99	21.42	21.606506
3825_134148_000000_000001	PETER AND PAUL.	peter AND PAUL.	true	21.42	22.48	22.944729
3825_134148_000001_000000	"As I was saying," the other Professor resumed, "if you'll just think over any Poem, that contains the words--such as,	"As I was saying," the other Professor resumed, "if you'll just think over any Poem, that contains the words-such as,	true	23.81	31.39	20.312061
3825_134148_000002_000000	'Peter is poor,' said noble Paul, 'And I have always been his friend: And, though my means to give are small, At least I can afford to lend. How few, in this cold age of greed, Do good, except on selfish grounds! But I can feel for Peter's need, And I WILL LEND HIM FIFTY POUNDS!'	'peter is poor,' said noble Paul, 'And I have always been his friend: And, though my means to give are small, At least I can afford to lend. How few, in this cold age of greed, Do good, except on selfish grounds! But I can feel for Peter's need, And I WILL LEND HIM FIFTY POUNDS!'	true	32.03	49.42	21.250095
3825_134148_000003_000000	How great was Peter's joy to find His friend in such a genial vein! How cheerfully the bond he signed, To pay the money back again! 'We ca'n't,' said Paul, 'be too precise: 'Tis best to fix the very day: So, by a learned friend's advice, I've made it Noon, the Fourth of May.	How great was Peter's joy to find His friend in such a genial vein! How cheerfully the bond he signed, To pay the money back again! 'We ca'n't,' said Paul, 'be too precise: 'tis best to fix the very day: So, by a learned friend's advice, I've made it Noon, the Fourth of May.	false	49.85	66.54	22.412378
3825_134148_000004_000000	{Image...'How cheefully the bond he signed!'}	{Image...'How cheefully the bond he signed!'}	false	66.54	67.32	-20
3825_134148_000005_000000	But this is April!	But this is April!	true	67.32	68.13	19
3825_134148_000005_000001	Peter said. 'The First of April, as I think. Five little weeks will soon be fled: One scarcely will have time to wink! Give me a year to speculate-- To buy and sell--to drive a trade--' Said Paul 'I cannot change the date. On May the Fourth it must be paid.'	peter said. 'The First of April, as I think. Five little weeks will soon be fled: One scarcely will have time to wink! Give me a year to speculate- To buy and sell-to drive a trade-' Said Paul 'I cannot change the date. On May the Fourth it must be paid.'	true	68.13	84.85	24.010109
3825_134148_000006_000000	'Well, well!' said Peter, with a sigh. 'Hand me the cash, and I will go. I'll form a Joint-Stock Company, And turn an honest pound or so.' 'I'm grieved,' said Paul, 'to seem unkind: The money shalt of course be lent: But, for a week or two, I find It will not be convenient.'	'Well, well!' said peter, with a sigh. 'Hand me the cash, and I will go. I'll form a Joint Stock Company, And turn an honest pound or so.' 'I'm grieved,' said Paul, 'to seem unkind: The money shalt of course be lent: But, for a week or two, I find It will not be convenient.'	true	85.22	102.73	22.582478
3825_134148_000007_000000	So, week by week, poor Peter came And turned in heaviness away; For still the answer was the same, 'I cannot manage it to-day.' And now the April showers were dry-- The five short weeks were nearly spent-- Yet still he got the old reply, 'It is not quite convenient!'	So, week by week, poor peter came And turned in heaviness away; For still the answer was the same, 'I cannot manage it to day.' And now the April showers were dry- The five short weeks were nearly spent- Yet still he got the old reply, 'It is not quite convenient!'	true	103.25	120.79	21.672924
3825_134148_000008_000000	The Fourth arrived, and punctual Paul Came, with his legal friend, at noon. 'I thought it best,' said he, 'to call: One cannot settle things too soon.' Poor Peter shuddered in despair: His flowing locks he wildly tore: And very soon his yellow hair Was lying all about the floor.	The Fourth arrived, and punctual Paul Came, with his legal friend, at noon. 'I thought it best,' said he, 'to call: One cannot settle things too soon.' Poor peter shuddered in despair: His flowing locks he wildly tore: And very soon his yellow hair Was lying all about the floor.	true	121.46	138.64	20.89328
3825_134148_000009_000000	The legal friend was standing by, With sudden pity half unmanned: The tear-drop trembled in his eye, The signed agreement in his hand: But when at length the legal soul Resumed its customary force, 'The Law,' he said, 'we ca'n't control: Pay, or the Law must take its course!'	The legal friend was standing by, With sudden pity half unmanned: The tear drop trembled in his eye, The signed agreement in his hand: But when at length the legal soul Resumed its customary force, 'The Law,' he said, 'we ca'n't control: Pay, or the Law must take its course!'	false	138.68	156.04	22.060507
3825_134148_000010_000000	Said Paul 'How bitterly I rue That fatal morning when I called! Consider, Peter, what you do! You won't be richer when you're bald! Think you, by rending curls away, To make your difficulties less? Forbear this violence, I pray: You do but add to my distress!'	Said Paul 'How bitterly I rue That fatal morning when I called! Consider, peter, what you do! You won't be richer when you're bald! Think you, by rending curls away, To make your difficulties less? Forbear this violence, I pray: You do but add to my distress!'	true	156.23	172.47	22.865116
3825_134148_000011_000000	{Image...'Poor peter shuddered in despair'}	{Image...'Poor peter shuddered in despair'}	false	172.47	173.37	6
3825_134148_000012_000000	'Not willingly would I inflict,' Said Peter, 'on that noble heart One needless pang.	'Not willingly would I inflict,' Said peter, 'on that noble heart One needless pang.	true	173.37	178.17	15
3825_134148_000012_000001	Yet why so strict? Is this to act a friendly part? However legal it may be To pay what never has been lent, This style of business seems to me Extremely inconvenient!	Yet why so strict? Is this to act a friendly part? However legal it may be To pay what never has been lent, This style of business seems to me Extremely inconvenient!	true	178.17	189.7	23.376768
3825_134148_000013_000000	'No Nobleness of soul have I, Like some that in this Age are found!' (Paul blushed in sheer humility, And cast his eyes upon the ground) 'This debt will simply swallow all, And make my life a life of woe!' 'Nay, nay, nay Peter!' answered Paul. 'You must not rail on Fortune so!	'No Nobleness of soul have I, Like some that in this Age are found!' (Paul blushed in sheer humility, And cast his eyes upon the ground) 'This debt will simply swallow all, And make my life a life of woe!' 'Nay, nay, nay peter!' answered Paul. 'You must not rail on Fortune so!	false	190.43	208.54	20
3825_134148_000014_000000	'You have enough to eat and drink: You are respected in the world: And at the barber's, as I think, You often get your whiskers curled. Though Nobleness you ca'n't attain To any very great extent-- The path of Honesty is plain, However inconvenient!'	'You have enough to eat and drink: You are respected in the world: And at the barber's, as I think, You often get your whiskers curled. Though Nobleness you ca'n't attain To any very great extent- The path of Honesty is plain, However inconvenient!'	false	208.7	223.59	21.921377
3825_134148_000015_000000	"Tis true, 'said Peter,' I'm alive: I keep my station in the world: Once in the week I just contrive To get my whiskers oiled and curled. But my assets are very low: My little income's overspent: To trench on capital, you know, Is always inconvenient!'	"Tis true, 'said peter,' I'm alive: I keep my station in the world: Once in the week I just contrive To get my whiskers oiled and curled. But my assets are very low: My little income's overspent: To trench on capital, you know, Is always inconvenient!'	false	223.59	239.8	23.293648
3825_134148_000016_000000	'But pay your debts!' cried honest Paul. 'My gentle Peter, pay your debts! What matter if it swallows all That you describe as your "assets"? Already you're an hour behind: Yet Generosity is best. It pinches me--but never mind! I WILL NOT CHARGE YOU INTEREST!'	'But pay your debts!' cried honest Paul. 'My gentle peter, pay your debts! What matter if it swallows all That you describe as your "assets"? Already you're an hour behind: Yet Generosity is best. It pinches me-but never mind! I WILL NOT CHARGE YOU INTEREST!'	true	240.23	256.42	20.9695
3825_134148_000017_000000	'How good!	'How good!	true	256.67	257.46	17.138058
