2573_186232_000000_000000	CHAPTER XIX.	CHAPTER nineteen.	true	20.595	22.12	24.29591
2573_186232_000001_000000	DUPLICITY.	DUPLICITY.	true	22.28	23.35	22.420412
2573_186232_000002_000000	Aunt Jane had a bad night, as might have been expected after her trials of the previous day.	Aunt Jane had a bad night, as might have been expected after her trials of the previous day.	true	24.2	30.07	23.904629
2573_186232_000003_000000	She sent for Patricia early in the forenoon, and when the girl arrived she was almost shocked by the change in her aunt's appearance.	She sent for Patricia early in the forenoon, and when the girl arrived she was almost shocked by the change in her aunt's appearance.	true	30.29	37.39	21
2573_186232_000003_000001	The invalid's face seemed drawn and gray, and she lay upon her cushions breathing heavily and without any appearance of vitality or strength. Even the sharpness and piercing quality of her hard gray eyes was lacking and the glance she cast at her niece was rather pleading than defiant.	The invalid's face seemed drawn and gray, and she lay upon her cushions breathing heavily and without any appearance of vitality or strength. Even the sharpness and piercing quality of her hard gray eyes was lacking and the glance she cast at her niece was rather pleading than defiant.	false	37.61	55.96	23.396969
2573_186232_000004_000000	"I want you to reconsider your decision of yesterday, Patricia," she begun.	"I want you to reconsider your decision of yesterday, Patricia," she begun.	false	56.42	62.04	20.89619
2573_186232_000005_000000	"Don't ask me to do that, aunt," replied the girl, firmly.	"Don't ask me to do that, aunt," replied the girl, firmly.	true	62.04	65.74	29.23933
2573_186232_000005_000001	"My mind is fully made up."	"My mind is fully made up."	true	65.81	68.17	25.83988
2573_186232_000006_000000	"I have made mistakes, I know," continued the woman feebly; "but I want to do the right thing, at last."	"I have made mistakes, I know," continued the woman feebly; "but I want to do the right thing, at last."	true	68.45	75.25	23.086369
2573_186232_000007_000000	"Then I will show you how," said Patricia, quickly.	"Then I will show you how," said Patricia, quickly.	true	75.38	78.07	20.66293
2573_186232_000007_000001	"You mustn't think me impertinent, aunt, for I don't mean to be so at all.	"You mustn't think me impertinent, aunt, for I don't mean to be so at all.	true	78.14	82.51	24
2573_186232_000007_000002	But tell me; why did you wish to leave me your money?"	But tell me; why did you wish to leave me your money?"	true	82.58	86.11	21.549776
2573_186232_000008_000000	"Because your nature is quite like my own, child, and I admire your independence and spirit."	"Because your nature is quite like my own, child, and I admire your independence and spirit."	true	86.66	92.2	22.228804
2573_186232_000009_000000	"But my cousins are much more deserving," said she, thoughtfully. "Louise is very sweet and amiable, and loves you more than I do, while Beth is the most sensible and practical girl I have ever known."	"But my cousins are much more deserving," said she, thoughtfully. "Louise is very sweet and amiable, and loves you more than I do, while Beth is the most sensible and practical girl I have ever known."	true	92.66	104.5	22.605278
2573_186232_000010_000000	"It may be so," returned Aunt Jane, impatiently; "but I have left each a legacy, Patricia, and you alone are my choice for the mistress of Elmhurst.	"It may be so," returned Aunt Jane, impatiently; "but I have left each a legacy, Patricia, and you alone are my choice for the mistress of Elmhurst.	false	105.05	114.73	24.31754
2573_186232_000010_000001	I told you yesterday I should not try to be just.	I told you yesterday I should not try to be just.	true	114.98	118.185	24.920036
