5115_26951_000000_000000	CHAPTER TWENTY SIX.	CHAPTER TWENTY SIX.	false	1.62	15.165	21
5115_26951_000001_000000	THE GARMENT OF FEAR.	THE GARMENT OF FEAR.	true	15.165	16.42	20.24228
5115_26951_000002_000000	At six o'clock that evening most people in Florence were glad the entrance of the new Charlemagne was fairly over.	At six o'clock that evening most people in Florence were glad the entrance of the new Charlemagne was fairly over.	true	16.82	22.24	18
5115_26951_000002_000001	Doubtless when the roll of drums, the blast of trumpets, and the tramp of horses along the Pisan road began to mingle with the pealing of the excited bells, it was a grand moment for those who were stationed on turreted roofs, and could see the long-winding terrible pomp on the background of the green hills and valley.	Doubtless when the roll of drums, the blast of trumpets, and the tramp of horses along the Pisan road began to mingle with the pealing of the excited bells, it was a grand moment for those who were stationed on turreted roofs, and could see the long winding terrible pomp on the background of the green hills and valley.	true	22.4	37.93	19
5115_26951_000002_000002	There was no sunshine to light up the splendour of banners, and spears, and plumes, and silken surcoats, but there was no thick cloud of dust to hide it, and as the picked troops advanced into close view, they could be seen all the more distinctly for the absence of dancing glitter.	There was no sunshine to light up the splendour of banners, and spears, and plumes, and silken surcoats, but there was no thick cloud of dust to hide it, and as the picked troops advanced into close view, they could be seen all the more distinctly for the absence of dancing glitter.	true	38.15	52.63	20
5115_26951_000002_000003	Tall and tough Scotch archers, Swiss halberdiers fierce and ponderous, nimble Gascons ready to wheel and climb, cavalry in which each man looked like a knight-errant with his indomitable spear and charger--it was satisfactory to be assured that they would injure nobody but the enemies of God!	Tall and tough Scotch archers, Swiss halberdiers fierce and ponderous, nimble Gascons ready to wheel and climb, cavalry in which each man looked like a knight errant with his indomitable spear and charger-it was satisfactory to be assured that they would injure nobody but the enemies of God!	true	52.85	69.52	18
5115_26951_000002_000004	With that confidence at heart it was a less dubious pleasure to look at the array of strength and splendour in nobles and knights, and youthful pages of choice lineage--at the bossed and jewelled sword-hilts, at the satin scarfs embroidered with strange symbolical devices of pious or gallant meaning, at the gold chains and jewelled aigrettes, at the gorgeous horse-trappings and brocaded mantles, and at the transcendent canopy carried by select youths above the head of the Most Christian King.	With that confidence at heart it was a less dubious pleasure to look at the array of strength and splendour in nobles and knights, and youthful pages of choice lineage-at the bossed and jewelled sword hilts, at the satin scarfs embroidered with strange symbolical devices of pious or gallant meaning, at the gold chains and jewelled aigrettes, at the gorgeous horse trappings and brocaded mantles, and at the transcendent canopy carried by select youths above the head of the Most Christian King.	true	69.68	95.89	17
5115_26951_000002_000005	To sum up with an old diarist, whose spelling and diction halted a little behind the wonders of this royal visit,--"_fu gran magnificenza_."	To sum up with an old diarist, whose spelling and diction halted a little behind the wonders of this royal visit,--"underscore fu gran magnificenza underscore."	false	96.02	104.61	17.732563
5115_26951_000003_000000	But for the Signoria, who had been waiting on their platform against the gates, and had to march out at the right moment, with their orator in front of them, to meet the mighty guest, the grandeur of the scene had been somewhat screened by unpleasant sensations.	But for the Signoria, who had been waiting on their platform against the gates, and had to march out at the right moment, with their orator in front of them, to meet the mighty guest, the grandeur of the scene had been somewhat screened by unpleasant sensations.	false	104.61	116.92	16
5115_26951_000003_000001	If Messer Luca Corsini could have had a brief Latin welcome depending from his mouth in legible characters, it would have been less confusing when the rain came on, and created an impatience in men and horses that broke off the delivery of his well-studied periods, and reduced the representatives of the scholarly city to offer a makeshift welcome in impromptu French.	If Messer Luca Corsini could have had a brief Latin welcome depending from his mouth in legible characters, it would have been less confusing when the rain came on, and created an impatience in men and horses that broke off the delivery of his well studied periods, and reduced the representatives of the scholarly city to offer a makeshift welcome in impromptu French.	false	117.14	135.64	16
5115_26951_000003_000002	But that sudden confusion had created a great opportunity for Tito.	But that sudden confusion had created a great opportunity for Tito.	true	135.92	139.48	18
