1776_139035_000001_000000	1.	one.
1776_139035_000001_000001	The Public Magician	The Public Magician
1776_139035_000002_000000	THE READER may remember that we were led to plunge into the labyrinth of magic by a consideration of two different types of man-god.	THE READER may remember that we were led to plunge into the labyrinth of magic by a consideration of two different types of man god.
1776_139035_000002_000001	This is the clue which has guided our devious steps through the maze, and brought us out at last on higher ground, whence, resting a little by the way, we can look back over the path we have already traversed and forward to the longer and steeper road we have still to climb.	This is the clue which has guided our devious steps through the maze, and brought us out at last on higher ground, whence, resting a little by the way, we can look back over the path we have already traversed and forward to the longer and steeper road we have still to climb.
1776_139035_000003_000000	As a result of the foregoing discussion, the two types of human gods may conveniently be distinguished as the religious and the magical man-god respectively.	As a result of the foregoing discussion, the two types of human gods may conveniently be distinguished as the religious and the magical man god respectively.
1776_139035_000003_000002	This may also appropriately be called the inspired or incarnate type of man-god.	This may also appropriately be called the inspired or incarnate type of man god.
1776_139035_000003_000003	In it the human body is merely a frail earthly vessel filled with a divine and immortal spirit.	In it the human body is merely a frail earthly vessel filled with a divine and immortal spirit.
1776_139035_000003_000005	Thus, whereas a man-god of the former or inspired type derives his divinity from a deity who has stooped to hide his heavenly radiance behind a dull mask of earthly mould, a man-god of the latter type draws his extraordinary power from a certain physical sympathy with nature.	Thus, whereas a man god of the former or inspired type derives his divinity from a deity who has stooped to hide his heavenly radiance behind a dull mask of earthly mould, a man god of the latter type draws his extraordinary power from a certain physical sympathy with nature.
1776_139035_000003_000006	He is not merely the receptacle of a divine spirit.	He is not merely the receptacle of a divine spirit.
1776_139035_000003_000008	But the line between these two types of man-god, however sharply we may draw it in theory, is seldom to be traced with precision in practice, and in what follows I shall not insist on it.	But the line between these two types of man god, however sharply we may draw it in theory, is seldom to be traced with precision in practice, and in what follows I shall not insist on it.
1776_139035_000004_000000	We have seen that in practice the magic art may be employed for the benefit either of individuals or of the whole community, and that according as it is directed to one or other of these two objects it may be called private or public magic.	We have seen that in practice the magic art may be employed for the benefit either of individuals or of the whole community, and that according as it is directed to one or other of these two objects it may be called private or public magic.
1776_139035_000004_000001	Further, I pointed out that the public magician occupies a position of great influence, from which, if he is a prudent and able man, he may advance step by step to the rank of a chief or king.	Further, I pointed out that the public magician occupies a position of great influence, from which, if he is a prudent and able man, he may advance step by step to the rank of a chief or king.
1776_139035_000005_000000	Among the objects of public utility which magic may be employed to secure, the most essential is an adequate supply of food.	Among the objects of public utility which magic may be employed to secure, the most essential is an adequate supply of food.
1776_139035_000005_000001	The examples cited in preceding pages prove that the purveyors of food--the hunter, the fisher, the farmer--all resort to magical practices in the pursuit of their various callings; but they do so as private individuals for the benefit of themselves and their families, rather than as public functionaries acting in the interest of the whole people.	The examples cited in preceding pages prove that the purveyors of food-the hunter, the fisher, the farmer-all resort to magical practices in the pursuit of their various callings; but they do so as private individuals for the benefit of themselves and their families, rather than as public functionaries acting in the interest of the whole people.
