1776_139035_000000_000000	V.	V.	false	12.93	17.49	21.424795
1776_139035_000000_000001	The Magical Control of the Weather	The Magical Control of the Weather	false	17.49	24.36	21.262379
1776_139035_000001_000000	1.	one.	true	24.36	24.795	23.994879
1776_139035_000001_000001	The Public Magician	The Public Magician	true	24.795	26.2	24.307283
1776_139035_000002_000000	THE READER may remember that we were led to plunge into the labyrinth of magic by a consideration of two different types of man-god.	THE READER may remember that we were led to plunge into the labyrinth of magic by a consideration of two different types of man god.	true	26.66	34.27	21.12311
1776_139035_000002_000001	This is the clue which has guided our devious steps through the maze, and brought us out at last on higher ground, whence, resting a little by the way, we can look back over the path we have already traversed and forward to the longer and steeper road we have still to climb.	This is the clue which has guided our devious steps through the maze, and brought us out at last on higher ground, whence, resting a little by the way, we can look back over the path we have already traversed and forward to the longer and steeper road we have still to climb.	true	34.55	50.35	21.052307
1776_139035_000003_000000	As a result of the foregoing discussion, the two types of human gods may conveniently be distinguished as the religious and the magical man-god respectively.	As a result of the foregoing discussion, the two types of human gods may conveniently be distinguished as the religious and the magical man god respectively.	true	50.99	60.04	21.645174
1776_139035_000003_000001	In the former, a being of an order different from and superior to man is supposed to become incarnate, for a longer or a shorter time, in a human body, manifesting his super-human power and knowledge by miracles wrought and prophecies uttered through the medium of the fleshly tabernacle in which he has deigned to take up his abode.	In the former, a being of an order different from and superior to man is supposed to become incarnate, for a longer or a shorter time, in a human body, manifesting his super human power and knowledge by miracles wrought and prophecies uttered through the medium of the fleshly tabernacle in which he has deigned to take up his abode.	false	60.32	79.09	20.298742
1776_139035_000003_000002	This may also appropriately be called the inspired or incarnate type of man-god.	This may also appropriately be called the inspired or incarnate type of man god.	true	79.61	84.61	21.123005
1776_139035_000003_000003	In it the human body is merely a frail earthly vessel filled with a divine and immortal spirit.	In it the human body is merely a frail earthly vessel filled with a divine and immortal spirit.	true	85.01	91.81	21.379276
1776_139035_000003_000004	On the other hand, a man-god of the magical sort is nothing but a man who possesses in an unusually high degree powers which most of his fellows arrogate to themselves on a smaller scale; for in rude society there is hardly a person who does not dabble in magic.	On the other hand, a man god of the magical sort is nothing but a man who possesses in an unusually high degree powers which most of his fellows arrogate to themselves on a smaller scale; for in rude society there is hardly a person who does not dabble in magic.	true	92.03	107.5	19.166996
1776_139035_000003_000005	Thus, whereas a man-god of the former or inspired type derives his divinity from a deity who has stooped to hide his heavenly radiance behind a dull mask of earthly mould, a man-god of the latter type draws his extraordinary power from a certain physical sympathy with nature.	Thus, whereas a man god of the former or inspired type derives his divinity from a deity who has stooped to hide his heavenly radiance behind a dull mask of earthly mould, a man god of the latter type draws his extraordinary power from a certain physical sympathy with nature.	true	107.6	124.18	20.869581
1776_139035_000003_000006	He is not merely the receptacle of a divine spirit.	He is not merely the receptacle of a divine spirit.	true	124.43	127.18	20.390131
1776_139035_000003_000007	His whole being, body and soul, is so delicately attuned to the harmony of the world that a touch of his hand or a turn of his head may send a thrill vibrating through the universal framework of things; and conversely his divine organism is acutely sensitive to such slight changes of environment as would leave ordinary mortals wholly unaffected.	His whole being, body and soul, is so delicately attuned to the harmony of the world that a touch of his hand or a turn of his head may send a thrill vibrating through the universal framework of things; and conversely his divine organism is acutely sensitive to such slight changes of environment as would leave ordinary mortals wholly unaffected.	false	127.28	147.94	20.754362
1776_139035_000003_000008	But the line between these two types of man-god, however sharply we may draw it in theory, is seldom to be traced with precision in practice, and in what follows I shall not insist on it.	But the line between these two types of man god, however sharply we may draw it in theory, is seldom to be traced with precision in practice, and in what follows I shall not insist on it.	true	148.91	158.95	21.618048
1776_139035_000004_000000	We have seen that in practice the magic art may be employed for the benefit either of individuals or of the whole community, and that according as it is directed to one or other of these two objects it may be called private or public magic.	We have seen that in practice the magic art may be employed for the benefit either of individuals or of the whole community, and that according as it is directed to one or other of these two objects it may be called private or public magic.	true	160.94	174.13	21.856426
1776_139035_000004_000001	Further, I pointed out that the public magician occupies a position of great influence, from which, if he is a prudent and able man, he may advance step by step to the rank of a chief or king.	Further, I pointed out that the public magician occupies a position of great influence, from which, if he is a prudent and able man, he may advance step by step to the rank of a chief or king.	true	174.68	185.92	23.768959
1776_139035_000004_000002	Thus an examination of public magic conduces to an understanding of the early kingship, since in savage and barbarous society many chiefs and kings appear to owe their authority in great measure to their reputation as magicians.	Thus an examination of public magic conduces to an understanding of the early kingship, since in savage and barbarous society many chiefs and kings appear to owe their authority in great measure to their reputation as magicians.	false	186.29	199.33	19.917122
1776_139035_000005_000000	Among the objects of public utility which magic may be employed to secure, the most essential is an adequate supply of food.	Among the objects of public utility which magic may be employed to secure, the most essential is an adequate supply of food.	true	200.96	207.88	21.16909
1776_139035_000005_000001	The examples cited in preceding pages prove that the purveyors of food--the hunter, the fisher, the farmer--all resort to magical practices in the pursuit of their various callings; but they do so as private individuals for the benefit of themselves and their families, rather than as public functionaries acting in the interest of the whole people.	The examples cited in preceding pages prove that the purveyors of food-the hunter, the fisher, the farmer-all resort to magical practices in the pursuit of their various callings; but they do so as private individuals for the benefit of themselves and their families, rather than as public functionaries acting in the interest of the whole people.	true	208.82	227.59	22.0218
