8152_282985_000001_000000	CHAPTER IV	CHAPTER four
8152_282985_000003_000000	When the days grow cold and the nights are clear, There stalks abroad the spirit of fear.	When the days grow cold and the nights are clear, There stalks abroad the spirit of fear.
8152_282985_000005_000000	It is sad but true.	It is sad but true.
8152_282985_000005_000002	But it shouldn't be.	But it shouldn't be.
8152_282985_000005_000006	It is the season when food is plentiful, and every one is fat and is, or ought to be, care free.	It is the season when food is plentiful, and every one is fat and is, or ought to be, care free.
8152_282985_000006_000000	But instead of this, a grim, dark figure goes stalking over the Green Meadows and through the Green Forest, and it is called the Spirit of Fear.	But instead of this, a grim, dark figure goes stalking over the Green Meadows and through the Green Forest, and it is called the Spirit of Fear.
8152_282985_000006_000001	It peers into every hiding-place and wherever it finds one of the little people it sends little cold chills over him, little chills which jolly, round, bright Mr. Sun cannot chase away, though he shine his brightest.	It peers into every hiding place and wherever it finds one of the little people it sends little cold chills over him, little chills which jolly, round, bright mr Sun cannot chase away, though he shine his brightest.
8152_282985_000006_000003	It will not let them sleep.	It will not let them sleep.
8152_282985_000006_000004	It will not let them eat in peace.	It will not let them eat in peace.
8152_282985_000006_000006	It keeps them ever ready to fly or run at the slightest sound.	It keeps them ever ready to fly or run at the slightest sound.
8152_282985_000007_000000	Peter Rabbit was thinking of this as he sat at the edge of the dear Old Briar-patch, looking over to the Green Forest.	peter Rabbit was thinking of this as he sat at the edge of the dear Old Briar patch, looking over to the Green Forest.
8152_282985_000007_000003	The Purple Hills were more softly purple than at any other season of the year.	The Purple Hills were more softly purple than at any other season of the year.
8152_282985_000008_000000	But Peter had no thought for the beauty of it all, for the Spirit of Fear had visited even the dear Old Briar-patch, and Peter was afraid.	But peter had no thought for the beauty of it all, for the Spirit of Fear had visited even the dear Old Briar patch, and peter was afraid.
8152_282985_000008_000001	It wasn't fear of Reddy Fox, or Redtail the Hawk, or Hooty the Owl, or Old Man Coyote.	It wasn't fear of Reddy Fox, or Redtail the Hawk, or Hooty the Owl, or Old Man Coyote.
8152_282985_000008_000002	They were forever trying to catch him, but they did not strike terror to his heart because he felt quite smart enough to keep out of their clutches.	They were forever trying to catch him, but they did not strike terror to his heart because he felt quite smart enough to keep out of their clutches.
8152_282985_000008_000003	To be sure, they gave him sudden frights sometimes, when they happened to surprise him, but these frights lasted only until he reached the nearest bramble-tangle or hollow log where they could not get at him.	To be sure, they gave him sudden frights sometimes, when they happened to surprise him, but these frights lasted only until he reached the nearest bramble tangle or hollow log where they could not get at him.
8152_282985_000009_000001	It was even clutching at the hearts of Granny and Reddy Fox and of great, big Buster Bear.	It was even clutching at the hearts of Granny and Reddy Fox and of great, big Buster Bear.
8152_282985_000009_000002	It seemed to Peter that no one was so big or so small that this terrible Spirit of Fear had not searched him out.	It seemed to peter that no one was so big or so small that this terrible Spirit of Fear had not searched him out.
8152_282985_000010_000000	Far in the distance sounded a sudden bang.	Far in the distance sounded a sudden bang.
8152_282985_000010_000001	Peter jumped and shivered.	peter jumped and shivered.
8152_282985_000010_000002	He knew that every one else who had heard that bang had jumped and shivered just as he had.	He knew that every one else who had heard that bang had jumped and shivered just as he had.
8152_282985_000010_000003	It was the season of hunters with terrible guns.	It was the season of hunters with terrible guns.
8152_282985_000011_000000	"I don't understand these men creatures," said Peter to little Mrs. Peter, as they stared fearfully out from the dear Old Briar-patch.	"I don't understand these men creatures," said peter to little mrs peter, as they stared fearfully out from the dear Old Briar patch.
8152_282985_000011_000001	"They seem to find pleasure, actually find pleasure, in trying to kill us.	"They seem to find pleasure, actually find pleasure, in trying to kill us.
