112_121671_000000_000000	"You are wrong, sire," answered the young man; "Humpty Dumpty was an egg."	"You are wrong, sire," answered the young man; "Humpty Dumpty was an egg."	false	0	1.92	20
112_121671_000001_000000	"Why did I not think of that before!" exclaimed the King; but he gave the Princess to the young man to be his bride, and they lived happily together.	"Why did I not think of that before!" exclaimed the King; but he gave the Princess to the young man to be his bride, and they lived happily together.	false	1.92	8.52	23
112_121671_000002_000000	And thus did Humpty Dumpty, even in his death, repay the kindness of the fair girl who had shown him such sights as an egg seldom sees.	And thus did Humpty Dumpty, even in his death, repay the kindness of the fair girl who had shown him such sights as an egg seldom sees.	false	8.52	19.14	20.918116
112_121671_000003_000000	The Woman Who Lived in a Shoe	The Woman Who Lived in a Shoe	false	19.14	25.905	22.118015
112_121671_000004_000000	The Woman Who Lived in a Shoe	The Woman Who Lived in a Shoe	true	25.905	27.34	19.745317
112_121671_000005_000000	There was an old woman Who lived in a shoe, She had so many children She did n't know what to do; She gave them some broth Without any bread, And whipped them all soundly And sent them to bed.	There was an old woman Who lived in a shoe, She had so many children She did n't know what to do; She gave them some broth Without any bread, And whipped them all soundly And sent them to bed.	false	27.89	38.32	21
112_121671_000006_000000	A long time ago there lived a woman who had four daughters, and these in time grew up and married and went to live in different parts of the country.	A long time ago there lived a woman who had four daughters, and these in time grew up and married and went to live in different parts of the country.	true	39.53	46.72	18
112_121671_000006_000001	And the woman, after that, lived all alone, and said to herself, "I have done my duty to the world, and now shall rest quietly for the balance of my life.	And the woman, after that, lived all alone, and said to herself, "I have done my duty to the world, and now shall rest quietly for the balance of my life.	true	47.03	55.66	20.506168
112_121671_000006_000002	When one has raised a family of four children and has married them all happily, she is surely entitled to pass her remaining days in peace and comfort."	When one has raised a family of four children and has married them all happily, she is surely entitled to pass her remaining days in peace and comfort."	true	55.82	63.82	19
112_121671_000007_000000	She lived in a peculiar little house, that looked something like this picture.	She lived in a peculiar little house, that looked something like this picture.	true	64.73	68.8	20.416418
112_121671_000008_000000	It was not like most of the houses you see, but the old woman had it built herself, and liked it, and so it did not matter to her how odd it was.	It was not like most of the houses you see, but the old woman had it built herself, and liked it, and so it did not matter to her how odd it was.	true	69.23	77.89	21.873985
112_121671_000008_000001	It stood upon the top of a little hill, and there was a garden at the back and a pretty green lawn in front, with white gravel paths and many beds of bright colored flowers.	It stood upon the top of a little hill, and there was a garden at the back and a pretty green lawn in front, with white gravel paths and many beds of bright colored flowers.	false	78.17	87.64	22.834135
112_121671_000009_000000	The old woman was very happy and contented there until one day she received a letter saying that her daughter Hannah was dead and had sent her family of five children to their grandmother to be taken care of.	The old woman was very happy and contented there until one day she received a letter saying that her daughter Hannah was dead and had sent her family of five children to their grandmother to be taken care of.	true	88.25	99.49	18
112_121671_000010_000000	This misfortune ruined all the old woman's dreams of quiet; but the next day the children arrived--three boys and two girls--and she made the best of it and gave them the beds her own daughters had once occupied, and her own cot as well; and she made a bed for herself on the parlor sofa.	This misfortune ruined all the old woman's dreams of quiet; but the next day the children arrived-three boys and two girls-and she made the best of it and gave them the beds her own daughters had once occupied, and her own cot as well; and she made a bed for herself on the parlor sofa.	true	100.19	116.98	22.783562
112_121671_000011_000000	The youngsters were like all other children, and got into mischief once in awhile; but the old woman had much experience with children and managed to keep them in order very well, while they quickly learned to obey her, and generally did as they were bid.	The youngsters were like all other children, and got into mischief once in awhile; but the old woman had much experience with children and managed to keep them in order very well, while they quickly learned to obey her, and generally did as they were bid.	true	117.65	131.11	21.024374
112_121671_000012_000000	But scarcely had she succeeded in getting them settled in their new home when Margaret, another of her daughters, died, and sent four more children to her mother to be taken care of.	But scarcely had she succeeded in getting them settled in their new home when Margaret, another of her daughters, died, and sent four more children to her mother to be taken care of.	true	131.87	141.46	20
112_121671_000013_000000	The old woman scarcely knew where to keep this new flock that had come to her fold, for the house was already full; but she thought the matter over and finally decided she must build an addition to her house.	The old woman scarcely knew where to keep this new flock that had come to her fold, for the house was already full; but she thought the matter over and finally decided she must build an addition to her house.	true	141.86	153.49	21.188583
112_121671_000014_000000	So she hired a carpenter and built what is called a "lean-to" at the right of her cottage, making it just big enough to accommodate the four new members of her family.	So she hired a carpenter and built what is called a "lean to" at the right of her cottage, making it just big enough to accommodate the four new members of her family.	true	154.07	163	21
112_121671_000014_000001	When it was completed her house looked very much as it does in this picture.	When it was completed her house looked very much as it does in this picture.	false	163.73	167.56	19.00425
112_121671_000015_000000	She put four little cots in her new part of the house, and then she sighed contentedly, and said, "Now all the babies are taken care of and will be comfortable until they grow up." Of course it was much more difficult to manage nine small children than five; and they often led each other into mischief, so that the flower beds began to be trampled upon and the green grass to be worn under the constant tread of little feet, and the furniture to show a good many scratches and bruises.	She put four little cots in her new part of the house, and then she sighed contentedly, and said, "Now all the babies are taken care of and will be comfortable until they grow up." Of course it was much more difficult to manage nine small children than five; and they often led each other into mischief, so that the flower beds began to be trampled upon and the green grass to be worn under the constant tread of little feet, and the furniture to show a good many scratches and bruises.	true	168.08	196.45	21.130806
112_121671_000016_000000	But the old woman continued to look after them, as well as she was able, until Sarah, her third daughter, also died, and three more children were sent to their grandmother to be brought up.	But the old woman continued to look after them, as well as she was able, until Sarah, her third daughter, also died, and three more children were sent to their grandmother to be brought up.	true	197.3	207.1	22.397074
112_121671_000017_000000	The old woman was nearly distracted when she heard of this new addition to her family, but she did not give way to despair.	The old woman was nearly distracted when she heard of this new addition to her family, but she did not give way to despair.	true	207.98	214.3	18
112_121671_000017_000001	She sent for the carpenter again, and had him build another addition to her house, as the picture shows.	She sent for the carpenter again, and had him build another addition to her house, as the picture shows.	true	214.64	220.33	20
112_121671_000018_000000	Then she put three new cots in the new part for the babies to sleep in, and when they arrived they were just as cozy and comfortable as peas in a pod.	Then she put three new cots in the new part for the babies to sleep in, and when they arrived they were just as cozy and comfortable as peas in a pod.	true	221.24	229.75	20.102224
112_121671_000019_000000	The grandmother was a lively old woman for one of her years, but she found her time now fully occupied in cooking the meals for her twelve small grandchildren, and mending their clothes, and washing their faces, and undressing them at night and dressing them in the morning. There was just a dozen of babies now, and when you consider they were about the same age you will realize what a large family the old woman had, and how fully her time was occupied in caring for them all.	The grandmother was a lively old woman for one of her years, but she found her time now fully occupied in cooking the meals for her twelve small grandchildren, and mending their clothes, and washing their faces, and undressing them at night and dressing them in the morning. There was just a dozen of babies now, and when you consider they were about the same age you will realize what a large family the old woman had, and how fully her time was occupied in caring for them all.	false	230.72	256.78	19
112_121671_000020_000000	And now, to make the matter worse, her fourth daughter, who had been named Abigail, suddenly took sick and died, and she also had four small children that must be cared for in some way.	And now, to make the matter worse, her fourth daughter, who had been named Abigail, suddenly took sick and died, and she also had four small children that must be cared for in some way.	true	257.93	268.45	21
112_121671_000021_000000	The old woman, having taken the other twelve, could not well refuse to adopt these little orphans also.	The old woman, having taken the other twelve, could not well refuse to adopt these little orphans also.	true	269.63	275.83	23
112_121671_000022_000000	"I may as well have sixteen as a dozen," she said, with a sigh; "they will drive me crazy some day, anyhow, so a few more will not matter at all!"	"I may as well have sixteen as a dozen," she said, with a sigh; "they will drive me crazy some day, anyhow, so a few more will not matter at all!"	true	277.01	284.77	19
112_121671_000023_000000	Once more she sent for the carpenter, and bade him build a third addition to the house; and when it was completed she added four more cots to the dozen that were already in use.	Once more she sent for the carpenter, and bade him build a third addition to the house; and when it was completed she added four more cots to the dozen that were already in use.	true	285.98	295.66	21.425781
112_121671_000023_000001	The house presented a very queer appearance now, but she did not mind that so long as the babies were comfortable.	The house presented a very queer appearance now, but she did not mind that so long as the babies were comfortable.	true	296.06	302.35	20
112_121671_000024_000000	"I shall not have to build again," she said; "and that is one satisfaction.	"I shall not have to build again," she said; "and that is one satisfaction.	true	303.35	307.42	21.141636
112_121671_000024_000001	I have now no more daughters to die and leave me their children, and therefore I must make up my mind to do the best I can with the sixteen that have already been inflicted upon me in my old age."	I have now no more daughters to die and leave me their children, and therefore I must make up my mind to do the best I can with the sixteen that have already been inflicted upon me in my old age."	true	307.49	318.16	18
112_121671_000025_000000	It was not long before all the grass about the house was trodden down, and the white gravel of the walks all thrown at the birds, and the flower beds trampled into shapeless masses by thirty-two little feet that ran about from morn till night.	It was not long before all the grass about the house was trodden down, and the white gravel of the walks all thrown at the birds, and the flower beds trampled into shapeless masses by thirty two little feet that ran about from morn till night.	false	319.85	333.4	21
112_121671_000025_000001	But the old woman did not complain at this; her time was too much taken up with the babies for her to miss the grass and the flowers.	But the old woman did not complain at this; her time was too much taken up with the babies for her to miss the grass and the flowers.	true	334.28	341.29	20
112_121671_000026_000000	It cost so much money to clothe them that she decided to dress them all alike, so that they looked like the children of a regular orphan asylum.	It cost so much money to clothe them that she decided to dress them all alike, so that they looked like the children of a regular orphan asylum.	true	341.75	349.32	21
112_121671_000026_000001	And it cost so much to feed them that she was obliged to give them the plainest food; so there was bread-and-milk for breakfast and milk-and-bread for dinner and bread-and-broth for supper.	And it cost so much to feed them that she was obliged to give them the plainest food; so there was bread and milk for breakfast and milk and bread for dinner and bread and broth for supper.	false	349.32	359.77	22.016525
112_121671_000026_000002	But it was a good and wholesome diet, and the children thrived and grew fat upon it.	But it was a good and wholesome diet, and the children thrived and grew fat upon it.	true	360.17	364.66	21
112_121671_000027_000000	One day a stranger came along the road, and when he saw the old woman's house he began to laugh.	One day a stranger came along the road, and when he saw the old woman's house he began to laugh.	true	366.29	372.04	19.923916
112_121671_000028_000000	"What are you laughing at, sir?" asked the grandmother, who was sitting upon her doorsteps engaged in mending sixteen pairs of stockings.	"What are you laughing at, sir?" asked the grandmother, who was sitting upon her doorsteps engaged in mending sixteen pairs of stockings.	true	372.68	380.02	19
112_121671_000029_000000	"At your house," the stranger replied; "it looks for all the world like a big shoe!"	"At your house," the stranger replied; "it looks for all the world like a big shoe!"	true	380.75	386.5	22.341705
112_121671_000030_000000	"A shoe!" she said, in surprise.	"A shoe!" she said, in surprise.	true	387.65	389.86	18.64414
112_121671_000031_000000	"Why, yes.	"Why, yes.	true	390.11	391	25.42773
112_121671_000031_000001	The chimneys are shoe-straps, and the steps are the heel, and all those additions make the foot of the shoe."	The chimneys are shoe straps, and the steps are the heel, and all those additions make the foot of the shoe."	false	391.1	397.36	22.93182
112_121671_000032_000000	"Never mind," said the woman; "it may be a shoe, but it is full of babies, and that makes it differ from most other shoes."	"Never mind," said the woman; "it may be a shoe, but it is full of babies, and that makes it differ from most other shoes."	true	398.15	405.49	21.24983
112_121671_000033_000000	But the Stranger went on to the village and told all he met that he had seen an old woman who lived in a shoe; and soon people came from all parts of the country to look at the queer house, and they usually went away laughing.	But the Stranger went on to the village and told all he met that he had seen an old woman who lived in a shoe; and soon people came from all parts of the country to look at the queer house, and they usually went away laughing.	true	406.16	418.15	19
112_121671_000034_000000	The old woman did not mind this at all; she was too busy to be angry. Some of the children were always getting bumped heads or bruised shins, or falling down and hurting themselves, and these had to be comforted.	The old woman did not mind this at all; she was too busy to be angry. Some of the children were always getting bumped heads or bruised shins, or falling down and hurting themselves, and these had to be comforted.	true	418.82	429.7	19.625866
112_121671_000034_000001	And some were naughty and had to be whipped; and some were dirty and had to be washed; and some were good and had to be kissed. It was "Gran'ma, do this!" and "Gran'ma, do that!" from morning to night, so that the poor grandmother was nearly distracted.	And some were naughty and had to be whipped; and some were dirty and had to be washed; and some were good and had to be kissed. It was "Gran'ma, do this!" and "Gran'ma, do that!" from morning to night, so that the poor grandmother was nearly distracted.	true	429.86	443.8	22.424257
112_121671_000034_000002	The only peace she ever got was when they were all safely tucked in their little cots and were sound asleep; for then, at least, she was free from worry and had a chance to gather her scattered wits.	The only peace she ever got was when they were all safely tucked in their little cots and were sound asleep; for then, at least, she was free from worry and had a chance to gather her scattered wits.	true	444.38	457.39	22.596087
112_121671_000035_000000	"There are so many children," she said one day to the baker-man, "that I often really do n't know what to do!"	"There are so many children," she said one day to the baker man, "that I often really do n't know what to do!"	true	457.4	463.12	21
112_121671_000036_000000	"If they were mine, ma'am," he replied, "I 'd send them to the poor-house, or else they 'd send me to the madhouse."	"If they were mine, ma'am," he replied, "I 'd send them to the poor house, or else they 'd send me to the madhouse."	false	464.15	470.29	20.033712
112_121671_000037_000000	Some of the children heard him say this, and they resolved to play him a trick in return for his ill-natured speech.	Some of the children heard him say this, and they resolved to play him a trick in return for his ill natured speech.	true	471.5	477.61	18
112_121671_000038_000000	The baker-man came every day to the shoe-house, and brought two great baskets of bread in his arms for the children to eat with their milk and their broth.	The baker man came every day to the shoe house, and brought two great baskets of bread in his arms for the children to eat with their milk and their broth.	true	479.12	488.02	21
112_121671_000039_000000	So one day, when the old woman had gone to the town to buy shoes, the children all painted their faces, to look as Indians do when they are on the warpath; and they caught the roosters and the turkey-cock and pulled feathers from their tails to stick in their hair.	So one day, when the old woman had gone to the town to buy shoes, the children all painted their faces, to look as Indians do when they are on the warpath; and they caught the roosters and the turkey cock and pulled feathers from their tails to stick in their hair.	false	488.39	502.96	20.99434
112_121671_000039_000001	And then the boys made wooden tomahawks for the girls and bows-and-arrows for their own use, and then all sixteen went out and hid in the bushes near the top of the hill.	And then the boys made wooden tomahawks for the girls and bows and arrows for their own use, and then all sixteen went out and hid in the bushes near the top of the hill.	false	503.75	512.92	21.273403
112_121671_000040_000000	By and by the baker-man came slowly up the path with a basket of bread on either arm; and just as he reached the bushes there sounded in his ears a most unearthly war-whoop.	By and by the baker man came slowly up the path with a basket of bread on either arm; and just as he reached the bushes there sounded in his ears a most unearthly war whoop.	false	513.92	524.265	22.55455
112_121671_000040_000001	Then a flight of arrows came from the bushes, and although they were blunt and could do him no harm they rattled all over his body; and one hit his nose, and another his chin, while several stuck fast in the loaves of bread.	Then a flight of arrows came from the bushes, and although they were blunt and could do him no harm they rattled all over his body; and one hit his nose, and another his chin, while several stuck fast in the loaves of bread.	true	524.265	537.25	21.36283
112_121671_000041_000000	Altogether, the baker-man was terribly frightened; and when all the sixteen small Indians rushed from the bushes and flourished their tomahawks, he took to his heels and ran down the hill as fast as he could go!	Altogether, the baker man was terribly frightened; and when all the sixteen small Indians rushed from the bushes and flourished their tomahawks, he took to his heels and ran down the hill as fast as he could go!	true	537.32	549.07	20
112_121671_000042_000000	When the grandmother returned she asked,	When the grandmother returned she asked,	true	550.4	552.4	21
112_121671_000043_000000	"Where is the bread for your supper?"	"Where is the bread for your supper?"	true	552.98	554.59	23.90087
112_121671_000044_000000	The children looked at one another in surprise, for they had forgotten all about the bread.	The children looked at one another in surprise, for they had forgotten all about the bread.	true	555.74	560.44	22.901953
112_121671_000044_000001	And then one of them confessed, and told her the whole story of how they had frightened the baker-man for saying he would send them to the poor-house.	And then one of them confessed, and told her the whole story of how they had frightened the baker man for saying he would send them to the poor house.	true	561.32	568.78	20
112_121671_000045_000000	"You are sixteen very naughty children!" exclaimed the old woman; "and for punishment you must eat your broth without any bread, and afterwards each one shall have a sound whipping and be sent to bed."	"You are sixteen very naughty children!" exclaimed the old woman; "and for punishment you must eat your broth without any bread, and afterwards each one shall have a sound whipping and be sent to bed."	true	569.75	580.51	22
112_121671_000046_000000	Then all the children began to cry at once, and there was such an uproar that their grandmother had to put cotton in her ears that she might not lose her hearing.	Then all the children began to cry at once, and there was such an uproar that their grandmother had to put cotton in her ears that she might not lose her hearing.	true	581.78	590.26	19
112_121671_000047_000000	But she kept her promise, and made them eat their broth without any bread; for, indeed, there was no bread to give them.	But she kept her promise, and made them eat their broth without any bread; for, indeed, there was no bread to give them.	true	591.23	597.16	23.891943
112_121671_000048_000000	Then she stood them in a row and undressed them, and as she put the nightdress on each one she gave it a sound whipping and sent it to bed.	Then she stood them in a row and undressed them, and as she put the nightdress on each one she gave it a sound whipping and sent it to bed.	true	597.53	604.87	19
112_121671_000049_000000	They cried some, of course, but they knew very well they deserved the punishment, and it was not long before all of them were sound asleep.	They cried some, of course, but they knew very well they deserved the punishment, and it was not long before all of them were sound asleep.	true	605.3	613.78	20.692371
112_121671_000050_000000	They took care not to play any more tricks on the baker-man, and as they grew older they were naturally much better behaved.	They took care not to play any more tricks on the baker man, and as they grew older they were naturally much better behaved.	true	614.03	620.74	21
112_121671_000051_000000	Before many years the boys were old enough to work for the neighboring farmers, and that made the woman's family a good deal smaller.	Before many years the boys were old enough to work for the neighboring farmers, and that made the woman's family a good deal smaller.	true	621.53	629.2	22
112_121671_000051_000001	And then the girls grew up and married, and found homes of their own, so that all the children were in time well provided for.	And then the girls grew up and married, and found homes of their own, so that all the children were in time well provided for.	true	629.48	637.33	23.03026
112_121671_000052_000000	But not one of them forgot the kind grandmother who had taken such good care of them, and often they tell their children of the days when they lived with the old woman in a shoe and frightened the baker-man almost into fits with their wooden tomahawks.	But not one of them forgot the kind grandmother who had taken such good care of them, and often they tell their children of the days when they lived with the old woman in a shoe and frightened the baker man almost into fits with their wooden tomahawks.	false	637.7	656.43	21.233421
