8176_115046_000001_000000	CHAPTER XXII	CHAPTER twenty two
8176_115046_000003_000000	After the first few minutes of watching Tom click out the messages, the little throng of castaways that had gathered about the shack, moved away.	After the first few minutes of watching Tom click out the messages, the little throng of castaways that had gathered about the shack, moved away.
8176_115046_000003_000001	The matter had lost its novelty for them, though, of course, they were vitally interested in the success of Tom's undertaking.	The matter had lost its novelty for them, though, of course, they were vitally interested in the success of Tom's undertaking.
8176_115046_000004_000000	"Any answer yet, Mr. Swift?" she would ask.	"Any answer yet, mr Swift?" she would ask.
8176_115046_000005_000001	"We can hardly expect any so soon," and Mrs. Nestor would depart, with a sigh.	"We can hardly expect any so soon," and mrs Nestor would depart, with a sigh.
8176_115046_000006_000001	He consulted with his two friends on the subject, and Mr. Damon said:	He consulted with his two friends on the subject, and mr Damon said:
8176_115046_000007_000000	"Well, the best plan, I think, would be only to send out the flashes over the wires at times when other wireless operators will be on the lookout, or, rather, listening.	"Well, the best plan, I think, would be only to send out the flashes over the wires at times when other wireless operators will be on the lookout, or, rather, listening.
8176_115046_000007_000002	We can't get any more here."	We can't get any more here."
8176_115046_000008_000000	"That's true," admitted Tom, "but how can we pick out any certain time, when we can be sure that wireless operators, within a zone of a thousand miles, will be listening to catch clicks which call for help from the unknown?"	"That's true," admitted Tom, "but how can we pick out any certain time, when we can be sure that wireless operators, within a zone of a thousand miles, will be listening to catch clicks which call for help from the unknown?"
8176_115046_000009_000000	"We can't," decided Mr. Fenwick.	"We can't," decided mr Fenwick.
8176_115046_000010_000000	Tom shook his head.	Tom shook his head.
8176_115046_000011_000000	"Have you any plan, then?" asked Mr. Damon.	"Have you any plan, then?" asked mr Damon.
8176_115046_000012_000000	"I thought of this," said Tom.	"I thought of this," said Tom.
8176_115046_000012_000001	"I'll send out our call for help from nine to ten in the morning.	"I'll send out our call for help from nine to ten in the morning.
8176_115046_000012_000002	Then I'll wait, and send out another call from two to three in the afternoon.	Then I'll wait, and send out another call from two to three in the afternoon.
