5039_1189_000000_000000	Chapter Eleven	Chapter Eleven	false	0.6	27.06	21.355265
5039_1189_000001_000000	A Good Friend	A Good Friend	true	27.06	28.18	19.130192
5039_1189_000002_000000	Soon the entire party was gathered on the road of yellow bricks, quite beyond the reach of the beautiful but treacherous plants.	Soon the entire party was gathered on the road of yellow bricks, quite beyond the reach of the beautiful but treacherous plants.	true	29.54	37.54	23
5039_1189_000002_000001	The Shaggy Man, staring first at one and then at the other, seemed greatly pleased and interested.	The Shaggy Man, staring first at one and then at the other, seemed greatly pleased and interested.	true	37.55	43.99	23
5039_1189_000003_000000	"I've seen queer things since I came to the Land of Oz," said he, "but never anything queerer than this band of adventurers.	"I've seen queer things since I came to the Land of Oz," said he, "but never anything queerer than this band of adventurers.	false	44.27	51.61	22.43396
5039_1189_000003_000001	Let us sit down a while, and have a talk and get acquainted."	Let us sit down a while, and have a talk and get acquainted."	true	51.74	55	22.664747
5039_1189_000004_000000	"Haven't you always lived in the Land of Oz?" asked the Munchkin boy.	"Haven't you always lived in the Land of Oz?" asked the Munchkin boy.	true	55.55	59.86	24.96356
5039_1189_000005_000000	"No; I used to live in the big, outside world.	"No; I used to live in the big, outside world.	true	60.68	63.735	19
5039_1189_000005_000001	But I came here once with Dorothy, and Ozma let me stay."	But I came here once with Dorothy, and Ozma let me stay."	true	63.735	67.63	25.253412
5039_1189_000006_000000	"How do you like Oz?" asked Scraps.	"How do you like Oz?" asked Scraps.	false	68.12	70.72	30.427065
5039_1189_000006_000001	"Isn't the country and the climate grand?"	"Isn't the country and the climate grand?"	false	70.91	73.51	23.53637
5039_1189_000007_000000	"It's the finest country in all the world, even if it is a fairyland, and I'm happy every minute I live in it," said the Shaggy Man.	"It's the finest country in all the world, even if it is a fairyland, and I'm happy every minute I live in it," said the Shaggy Man.	true	74.18	81.97	24.726706
5039_1189_000007_000001	"But tell me something about yourselves."	"But tell me something about yourselves."	true	82.31	84.43	22.522758
5039_1189_000008_000000	So Ojo related the story of his visit to the house of the Crooked Magician, and how he met there the Glass Cat, and how the Patchwork Girl was brought to life and of the terrible accident to Unc Nunkie and Margolotte.	So Ojo related the story of his visit to the house of the Crooked Magician, and how he met there the Glass Cat, and how the Patchwork Girl was brought to life and of the terrible accident to u n c Nunkie and Margolotte.	false	85.07	98.17	25
5039_1189_000008_000001	Then he told how he had set out to find the five different things which the Magician needed to make a charm that would restore the marble figures to life, one requirement being three hairs from a Woozy's tail.	Then he told how he had set out to find the five different things which the Magician needed to make a charm that would restore the marble figures to life, one requirement being three hairs from a Woozy's tail.	true	98.6	110.8	21
5039_1189_000009_000000	"We found the Woozy," explained the boy, "and he agreed to give us the three hairs; but we couldn't pull them out.	"We found the Woozy," explained the boy, "and he agreed to give us the three hairs; but we couldn't pull them out.	true	111.17	118.78	21.838007
5039_1189_000009_000001	So we had to bring the Woozy along with us."	So we had to bring the Woozy along with us."	true	118.82	121.36	14
5039_1189_000010_000000	"I see," returned the Shaggy Man, who had listened with interest to the story.	"I see," returned the Shaggy Man, who had listened with interest to the story.	true	121.97	127.36	22.778872
5039_1189_000010_000001	"But perhaps I, who am big and strong, can pull those three hairs from the Woozy's tail."	"But perhaps I, who am big and strong, can pull those three hairs from the Woozy's tail."	true	127.73	132.52	21.058786
5039_1189_000011_000000	"Try it, if you like," said the Woozy.	"Try it, if you like," said the Woozy.	true	132.83	135.76	21.16025
5039_1189_000012_000000	So the Shaggy Man tried it, but pull as hard as he could he failed to get the hairs out of the Woozy's tail.	So the Shaggy Man tried it, but pull as hard as he could he failed to get the hairs out of the Woozy's tail.	true	136.07	142.6	23.243729
5039_1189_000012_000001	So he sat down again and wiped his shaggy face with a shaggy silk handkerchief and said:	So he sat down again and wiped his shaggy face with a shaggy silk handkerchief and said:	true	142.76	148.27	27
5039_1189_000013_000000	"It doesn't matter.	"It doesn't matter.	true	148.49	149.77	26.206253
5039_1189_000013_000001	If you can keep the Woozy until you get the rest of the things you need, you can take the beast and his three hairs to the Crooked Magician and let him find a way to extract 'em.	If you can keep the Woozy until you get the rest of the things you need, you can take the beast and his three hairs to the Crooked Magician and let him find a way to extract 'em.	false	149.78	158.46	24.675417
5039_1189_000013_000002	What are the other things you are to find?"	What are the other things you are to find?"	true	158.46	160.36	24.605707
5039_1189_000014_000000	"One," said Ojo, "is a six-leaved clover."	"One," said Ojo, "is a six leaved clover."	true	160.37	164.07	21.259363
5039_1189_000015_000000	"You ought to find that in the fields around the Emerald City," said the Shaggy Man.	"You ought to find that in the fields around the Emerald City," said the Shaggy Man.	false	164.07	168.28	21.217735
5039_1189_000015_000001	"There is a Law against picking six-leaved clovers, but I think I can get Ozma to let you have one."	"There is a Law against picking six leaved clovers, but I think I can get Ozma to let you have one."	true	168.38	174.16	25
5039_1189_000016_000000	"Thank you," replied Ojo.	"Thank you," replied Ojo.	true	174.56	176.92	22.808022
5039_1189_000016_000001	"The next thing is the left wing of a yellow butterfly."	"The next thing is the left wing of a yellow butterfly."	true	177.32	180.91	20
5039_1189_000017_000000	"For that you must go to the Winkie Country," the Shaggy Man declared. "I've never noticed any butterflies there, but that is the yellow country of Oz and it's ruled by a good friend of mine, the Tin Woodman."	"For that you must go to the Winkie Country," the Shaggy Man declared. "I've never noticed any butterflies there, but that is the yellow country of Oz and it's ruled by a good friend of mine, the Tin Woodman."	true	181.79	195.16	24.411234
5039_1189_000018_000000	"Oh, I've heard of him!" exclaimed Ojo.	"Oh, I've heard of him!" exclaimed Ojo.	true	195.47	198.28	21.595493
5039_1189_000018_000001	"He must be a wonderful man."	"He must be a wonderful man."	true	198.32	200.14	21.576965
5039_1189_000019_000000	"So he is, and his heart is wonderfully kind.	"So he is, and his heart is wonderfully kind.	false	200.36	203.38	24.17195
5039_1189_000019_000001	I'm sure the Tin Woodman will do all in his power to help you to save your Unc Nunkie and poor Margolotte."	I'm sure the Tin Woodman will do all in his power to help you to save your u n c Nunkie and poor Margolotte."	false	203.42	208.93	24
5039_1189_000020_000000	"The next thing I must find," said the Munchkin boy, "is a gill of water from a dark well."	"The next thing I must find," said the Munchkin boy, "is a gill of water from a dark well."	true	209.75	215.77	22.763447
5039_1189_000021_000000	"Indeed!	"Indeed!	true	216.05	217.245	31.2938
5039_1189_000021_000001	Well, that is more difficult," said the Shaggy Man, scratching his left ear in a puzzled way.	Well, that is more difficult," said the Shaggy Man, scratching his left ear in a puzzled way.	true	217.245	222.7	25.400896
5039_1189_000021_000002	"I've never heard of a dark well; have you?"	"I've never heard of a dark well; have you?"	true	223.13	225.42	28
5039_1189_000022_000000	"No," said Ojo.	"No," said Ojo.	false	225.42	227.95	19.834644
5039_1189_000023_000000	"Do you know where one may be found?" inquired the Shaggy Man.	"Do you know where one may be found?" inquired the Shaggy Man.	true	228.89	233.05	21.341965
5039_1189_000024_000000	"I can't imagine," said Ojo.	"I can't imagine," said Ojo.	true	233.6	235.98	24.636904
5039_1189_000025_000000	"Then we must ask the Scarecrow."	"Then we must ask the Scarecrow."	false	235.98	238.78	20.39255
5039_1189_000026_000000	"The Scarecrow!	"The Scarecrow!	true	239.12	240.52	34.25519
5039_1189_000026_000001	But surely, sir, a scarecrow can't know anything."	But surely, sir, a scarecrow can't know anything."	true	240.77	244.15	22
5039_1189_000027_000000	"Most scarecrows don't, I admit," answered the Shaggy Man.	"Most scarecrows don't, I admit," answered the Shaggy Man.	true	244.25	248.5	27.564295
5039_1189_000027_000001	"But this Scarecrow of whom I speak is very intelligent.	"But this Scarecrow of whom I speak is very intelligent.	true	248.9	252.135	25.854778
5039_1189_000027_000002	He claims to possess the best brains in all Oz."	He claims to possess the best brains in all Oz."	false	252.135	255.48	22.476067
5039_1189_000028_000000	"Better than mine?" asked Scraps.	"Better than mine?" asked Scraps.	false	255.48	258.04	27.6134
5039_1189_000029_000000	"Better than mine?" echoed the Glass Cat.	"Better than mine?" echoed the Glass Cat.	true	258.65	262.57	19.844816
5039_1189_000029_000001	"Mine are pink, and you can see 'em work."	"Mine are pink, and you can see 'em work."	false	262.7	266.74	24.546581
