5740_39910_000001_000000	The Josephs' Christmas	The Josephs' Christmas
5740_39910_000002_000000	The month before Christmas was always the most exciting and mysterious time in the Joseph household.	The month before Christmas was always the most exciting and mysterious time in the Joseph household.
5740_39910_000004_000001	No questions were asked no matter what queer things were done.	No questions were asked no matter what queer things were done.
5740_39910_000004_000003	The air was simply charged with secrets.	The air was simply charged with secrets.
5740_39910_000005_000000	Sister Mollie was the grand repository of these; all the little Josephs came to her for advice and assistance.	Sister Mollie was the grand repository of these; all the little Josephs came to her for advice and assistance.
5740_39910_000005_000001	It was Mollie who for troubled small brothers and sisters did such sums in division as this: How can I get a ten-cent present for Emmy and a fifteen-cent one for Jimmy out of eighteen cents?	It was Mollie who for troubled small brothers and sisters did such sums in division as this: How can I get a ten cent present for Emmy and a fifteen cent one for Jimmy out of eighteen cents?
5740_39910_000005_000002	Or, how can seven sticks of candy be divided among eight people so that each shall have one?	Or, how can seven sticks of candy be divided among eight people so that each shall have one?
5740_39910_000005_000004	It was Mollie who put the finishing touches to most of the little gifts.	It was Mollie who put the finishing touches to most of the little gifts.
5740_39910_000005_000005	In short, all through December Mollie was weighed down under an avalanche of responsibility.	In short, all through December Mollie was weighed down under an avalanche of responsibility.
5740_39910_000005_000006	It speaks volumes for her sagacity and skill that she never got things mixed up or made any such terrible mistake as letting one little Joseph find out what another was going to give him.	It speaks volumes for her sagacity and skill that she never got things mixed up or made any such terrible mistake as letting one little Joseph find out what another was going to give him.
5740_39910_000005_000007	"Dead" secrecy was the keystone of all plans and confidences.	"Dead" secrecy was the keystone of all plans and confidences.
5740_39910_000006_000000	During this particular December the planning and contriving had been more difficult and the results less satisfactory than usual.	During this particular December the planning and contriving had been more difficult and the results less satisfactory than usual.
5740_39910_000006_000001	The Josephs were poor at any time, but this winter they were poorer than ever.	The Josephs were poor at any time, but this winter they were poorer than ever.
5740_39910_000008_000000	"I'm glad I'm not driving over the prairie tonight," said Mr. Joseph. "It's quite a storm.	"I'm glad I'm not driving over the prairie tonight," said mr Joseph. "It's quite a storm.
5740_39910_000008_000001	I hope it will be fine tomorrow, for the children's sake.	I hope it will be fine tomorrow, for the children's sake.
5740_39910_000009_000000	Mrs. Joseph sighed over Jimmy's worn jacket which she was mending. Then she smiled.	mrs Joseph sighed over Jimmy's worn jacket which she was mending. Then she smiled.
5740_39910_000010_000000	"Never mind, John.	"Never mind, john.
5740_39910_000010_000001	Things will be better next Christmas, we'll hope. The children will not mind, bless their hearts.	Things will be better next Christmas, we'll hope. The children will not mind, bless their hearts.
5740_39910_000010_000002	Look at all the little knick-knacks they've made for each other.	Look at all the little knick knacks they've made for each other.
5740_39910_000010_000004	I did feel that I'd ask nothing better than to go in and buy all the lovely things I wanted, just for once, and give them to the children tomorrow morning.	I did feel that I'd ask nothing better than to go in and buy all the lovely things I wanted, just for once, and give them to the children tomorrow morning.
5740_39910_000010_000005	They've never had anything really nice for Christmas.	They've never had anything really nice for Christmas.
5740_39910_000010_000006	But there!	But there!
5740_39910_000011_000000	Mr. Joseph nodded.	mr Joseph nodded.
5740_39910_000012_000000	"That's so.	"That's so.
