5802_66347_000000_000000	THE GENIAL IDIOT DISCUSSES THE MUSIC CURE	THE GENIAL IDIOT DISCUSSES THE MUSIC CURE	true	18.21	21.34	23.831436
5802_66347_000001_000000	BY JOHN KENDRICK BANGS	BY john KENDRICK BANGS	true	21.44	23.47	28.443703
5802_66347_000002_000000	"Good morning, Doctor," said the Idiot as Capsule, M.D., entered the dining-room.	"Good morning, Doctor," said the Idiot as Capsule, m d, entered the dining room.	false	24.71	29.08	20.28251
5802_66347_000002_000001	"I am mighty glad you've come.	"I am mighty glad you've come.	false	29.21	31.05	22.56338
5802_66347_000002_000002	I've wanted for a long time to ask you about this music cure that everybody is talking about and get you if possible to write me out a list of musical nostrums for every day use.	I've wanted for a long time to ask you about this music cure that everybody is talking about and get you if possible to write me out a list of musical nostrums for every day use.	true	31.05	40.6	15
5802_66347_000002_000003	I noticed last night before going to bed that my medicine chest was about run out.	I noticed last night before going to bed that my medicine chest was about run out.	true	40.7	44.8	19
5802_66347_000002_000004	There's nothing but one quinine pill and a soda-mint drop in it, and if there's anything in the music cure I don't think I'll have it filled again.	There's nothing but one quinine pill and a soda mint drop in it, and if there's anything in the music cure I don't think I'll have it filled again.	true	44.87	52.68	22
5802_66347_000002_000005	I prefer Wagner to squills, and compared to the delights of Mozart, Hayden and Offenbach those of paregoric are nit."	I prefer Wagner to squills, and compared to the delights of Mozart, Hayden and Offenbach those of paregoric are nit."	false	52.68	60.55	23.983826
5802_66347_000003_000000	"Still rambling, eh?" vouchsafed the Doctor.	"Still rambling, eh?" vouchsafed the Doctor.	true	61.7	64.69	19.52192
5802_66347_000003_000001	"You ought to submit your tongue to some scientific student of dynamics.	"You ought to submit your tongue to some scientific student of dynamics.	true	64.73	68.59	20
5802_66347_000003_000002	I am inclined to think, from my own observation of its ways, that it contains the germ of perpetual motion."	I am inclined to think, from my own observation of its ways, that it contains the germ of perpetual motion."	true	68.63	74.74	19
5802_66347_000004_000000	"I will consider your suggestion," replied the Idiot.	"I will consider your suggestion," replied the Idiot.	true	75.35	78.46	21.453999
5802_66347_000004_000001	"Meanwhile, let us consult harmoniously together on the original point.	"Meanwhile, let us consult harmoniously together on the original point.	true	78.47	82.3	19.171831
5802_66347_000004_000002	Is there anything in this music cure, and is it true that our Medical Schools are hereafter to have conservatories attached to them in which aspiring young M.D.'s are to be taught the _materia musica_ in addition to the _materia medica_?"	Is there anything in this music cure, and is it true that our Medical Schools are hereafter to have conservatories attached to them in which aspiring young m d's are to be taught the underscore materia musica underscore in addition to the underscore materia medica underscore?"	false	82.31	95.19	22
5802_66347_000005_000000	"I had heard of no such idiotic proposition," returned the Doctor.	"I had heard of no such idiotic proposition," returned the Doctor.	false	95.19	99.34	24.72588
5802_66347_000005_000001	"And as for the music cure I don't know anything about it.	"And as for the music cure I don't know anything about it.	true	99.56	102.55	22
5802_66347_000005_000002	Haven't heard everybody talking about it, and doubt the existence of any such thing outside of that mysterious realm which is bounded by the four corners of your own bright particular cerebellum.	Haven't heard everybody talking about it, and doubt the existence of any such thing outside of that mysterious realm which is bounded by the four corners of your own bright particular cerebellum.	false	102.83	112.81	20
5802_66347_000005_000003	What do you mean by the music cure?"	What do you mean by the music cure?"	true	113	115.39	22.507029
5802_66347_000006_000000	"Why, the papers have been full of it lately," explained the Idiot.	"Why, the papers have been full of it lately," explained the Idiot.	false	116.18	120.28	24.666023
5802_66347_000006_000001	"The claim is made that in music lies the panacea for all human ills.	"The claim is made that in music lies the panacea for all human ills.	true	120.44	124.65	18
5802_66347_000006_000002	It may not be able to perform a surgical operation like that which is required for the removal of a leg, and I don't believe even Wagner ever composed a measure that could be counted on successfully to eliminate one's vermiform appendix from its chief sphere of usefulness, but for other things, like measles, mumps, the snuffles, or indigestion, it is said to be wonderfully efficacious; What I wanted to find out from you was just what composers were best for which specific troubles."	It may not be able to perform a surgical operation like that which is required for the removal of a leg, and I don't believe even Wagner ever composed a measure that could be counted on successfully to eliminate one's vermiform appendix from its chief sphere of usefulness, but for other things, like measles, mumps, the snuffles, or indigestion, it is said to be wonderfully efficacious; What I wanted to find out from you was just what composers were best for which specific troubles."	false	124.65	152.56	20
5802_66347_000007_000000	"You'll have to go to somebody else for the information," said the Doctor.	"You'll have to go to somebody else for the information," said the Doctor.	true	153.26	156.9	20.582994
5802_66347_000007_000001	"I never heard of the theory and, as I said before, I don't believe anybody else has, barring your own sweet self."	"I never heard of the theory and, as I said before, I don't believe anybody else has, barring your own sweet self."	false	156.9	164.02	22.091703
5802_66347_000008_000000	"I have seen a reference to it somewhere," put in Mr. Whitechoker, coming to the Idiot's rescue.	"I have seen a reference to it somewhere," put in mr Whitechoker, coming to the Idiot's rescue.	true	164.78	169.63	21.633348
5802_66347_000008_000001	"As I recall the matter, some lady had been cured of a nervous affection by a scientific application of some musical poultice or other, and the general expectation seems to be that some day we shall find in music a cure for all our human ills, as the Idiot suggests."	"As I recall the matter, some lady had been cured of a nervous affection by a scientific application of some musical poultice or other, and the general expectation seems to be that some day we shall find in music a cure for all our human ills, as the Idiot suggests."	false	169.76	184.63	19
5802_66347_000009_000000	"Thank you, Mr. Whitechoker," said the Idiot gratefully.	"Thank you, mr Whitechoker," said the Idiot gratefully.	true	185.03	188.05	19
5802_66347_000009_000001	"I saw that same item and several others besides, and I have only told the truth when I say that a large number of people are considering the possibilities of music as a substitute for drugs.	"I saw that same item and several others besides, and I have only told the truth when I say that a large number of people are considering the possibilities of music as a substitute for drugs.	false	188.24	198.22	17
5802_66347_000009_000002	I am surprised that Doctor Capsule has neither heard nor thought about it, for I should think it would prove to be a pleasant and profitable field for speculation.	I am surprised that Doctor Capsule has neither heard nor thought about it, for I should think it would prove to be a pleasant and profitable field for speculation.	false	198.35	206.26	20
5802_66347_000009_000003	Even I who am only a dabbler in medicine, and know no more about it than the effects of certain remedies upon my own symptoms, have noticed that music of a certain sort is a sure emollient for nervous conditions."	Even I who am only a dabbler in medicine, and know no more about it than the effects of certain remedies upon my own symptoms, have noticed that music of a certain sort is a sure emollient for nervous conditions."	false	206.57	218.35	16
