8075_279229_000000_000000	OF ALL THINGS!	OF ALL THINGS!	false	0.84	7.32	26.380129
8075_279229_000001_000000	I	I	false	7.32	7.68	9
8075_279229_000002_000000	THE SOCIAL LIFE OF THE NEWT	THE SOCIAL LIFE OF THE NEWT	false	7.68	22.75	25.477993
8075_279229_000003_000000	It is not generally known that the newt, although one of the smallest of our North American animals, has an extremely happy home-life.	It is not generally known that the newt, although one of the smallest of our North American animals, has an extremely happy home life.	true	23.9	32.68	24.148476
8075_279229_000003_000001	It is just one of those facts which never get bruited about.	It is just one of those facts which never get bruited about.	true	32.75	36.48	25.455238
8075_279229_000004_000000	[Illustration: "Since that time I have practically lived among the newts."]	[Illustration: "Since that time I have practically lived among the newts."]	false	36.48	37.32	100
8075_279229_000005_000000	I first became interested in the social phenomena of newt life early in the spring of 1913, shortly after I had finished my researches in sexual differentiation among amœba.	I first became interested in the social phenomena of newt life early in the spring of nineteen thirteen, shortly after I had finished my researches in sexual differentiation among amœba.	false	37.32	50.56	24.399084
8075_279229_000005_000001	Since that time I have practically lived among newts, jotting down observations, making lantern-slides, watching them in their work and in their play (and you may rest assured that the little rogues have their play--as who does not?) until, from much lying in a research posture on my stomach, over the inclosure in which they were confined, I found myself developing what I feared might be rudimentary creepers.	Since that time I have practically lived among newts, jotting down observations, making lantern slides, watching them in their work and in their play (and you may rest assured that the little rogues have their play-as who does not?) until, from much lying in a research posture on my stomach, over the inclosure in which they were confined, I found myself developing what I feared might be rudimentary creepers.	true	50.99	81.64	24.27482
8075_279229_000005_000002	And so, late this autumn, I stood erect and walked into my house, where I immediately set about the compilation of the notes I had made.	And so, late this autumn, I stood erect and walked into my house, where I immediately set about the compilation of the notes I had made.	true	81.92	91.06	24.399704
8075_279229_000006_000000	So much for the non-technical introduction.	So much for the non technical introduction.	true	91.91	94.75	28.49552
8075_279229_000006_000001	The remainder of this article bids fair to be fairly scientific.	The remainder of this article bids fair to be fairly scientific.	true	94.94	99.19	23.533068
8075_279229_000007_000000	In studying the more intimate phases of newt life, one is chiefly impressed with the methods by means of which the males force their attentions upon the females, with matrimony as an object.	In studying the more intimate phases of newt life, one is chiefly impressed with the methods by means of which the males force their attentions upon the females, with matrimony as an object.	true	99.68	112.57	24.354776
8075_279229_000007_000001	For the newt is, after all, only a newt, and has his weaknesses just as any of the rest of us.	For the newt is, after all, only a newt, and has his weaknesses just as any of the rest of us.	true	112.76	119.68	25.105274
8075_279229_000007_000002	And I, for one, would not have it different.	And I, for one, would not have it different.	true	119.78	122.5	28.607672
8075_279229_000007_000003	There is little enough fun in the world as it is.	There is little enough fun in the world as it is.	true	122.6	125.32	22
8075_279229_000008_000000	The peculiar thing about a newt's courtship is its restraint.	The peculiar thing about a newt's courtship is its restraint.	true	126.35	130.75	32.119167
8075_279229_000008_000001	It is carried on, at all times, with a minimum distance of fifty paces (newt measure) between the male and the female.	It is carried on, at all times, with a minimum distance of fifty paces (newt measure) between the male and the female.	true	131.36	140.08	22.369469
8075_279229_000008_000002	Some of the bolder males may now and then attempt to overstep the bounds of good sportsmanship and crowd in to forty-five paces, but such tactics are frowned upon by the Rules Committee.	Some of the bolder males may now and then attempt to overstep the bounds of good sportsmanship and crowd in to forty five paces, but such tactics are frowned upon by the Rules Committee.	true	140.66	152.56	23.175987
8075_279229_000008_000003	To the eye of an uninitiated observer, the pair might be dancing a few of the more open figures of the minuet.	To the eye of an uninitiated observer, the pair might be dancing a few of the more open figures of the minuet.	true	153.35	161.05	23.403952
8075_279229_000009_000000	The means employed by the males to draw the attention and win the affection of those of the opposite sex (females) are varied and extremely strategic.	The means employed by the males to draw the attention and win the affection of those of the opposite sex (females) are varied and extremely strategic.	true	161.6	173.62	24.732101
8075_279229_000009_000001	Until the valuable researches by Strudlehoff in 1887 (in his "_Entwickelungsmechanik_") no one had been able to ascertain just what it was that the male newt did to make the female see anything in him worth throwing herself away on.	Until the valuable researches by Strudlehoff in eighteen eighty seven (in his "underscore Entwickelungsmechanik underscore") no one had been able to ascertain just what it was that the male newt did to make the female see anything in him worth throwing herself away on.	false	173.99	191.11	24.18263
8075_279229_000009_000002	It had been observed that the most personally unattractive newt could advance to within fifty paces of a female of his acquaintance and, by some _coup d'œil_, bring her to a point where she would, in no uncertain terms, indicate her willingness to go through with the marriage ceremony at an early date.	It had been observed that the most personally unattractive newt could advance to within fifty paces of a female of his acquaintance and, by some underscore coup d'œil underscore, bring her to a point where she would, in no uncertain terms, indicate her willingness to go through with the marriage ceremony at an early date.	false	191.84	212.05	23.050943
8075_279229_000010_000000	It was Strudlehoff who discovered, after watching several thousand courting newts under a magnifying lens (questionable taste on his part, without doubt, but all is fair in pathological love) that the male, during the courting season (the season opens on the tenth of March and extends through the following February, leaving about ten days for general overhauling and redecorating) gives forth a strange, phosphorescent glow from the center of his highly colored dorsal crest, somewhat similar in effect to the flash of a diamond scarfpin in a red necktie.	It was Strudlehoff who discovered, after watching several thousand courting newts under a magnifying lens (questionable taste on his part, without doubt, but all is fair in pathological love) that the male, during the courting season (the season opens on the tenth of March and extends through the following February, leaving about ten days for general overhauling and redecorating) gives forth a strange, phosphorescent glow from the center of his highly colored dorsal crest, somewhat similar in effect to the flash of a diamond scarfpin in a red necktie.	false	212.57	250.27	24.513931
8075_279229_000010_000001	This glow, according to Strudlehoff, so fascinates the female with its air of elegance and indication of wealth, that she immediately falls a victim to its lure.	This glow, according to Strudlehoff, so fascinates the female with its air of elegance and indication of wealth, that she immediately falls a victim to its lure.	false	250.88	263.22	25.110788
8075_279229_000011_000000	But the little creature, true to her sex-instinct, does not at once give evidence that her morale has been shattered.	But the little creature, true to her sex instinct, does not at once give evidence that her morale has been shattered.	true	263.22	270.43	21.400805
