6937_112761_000004_000000	There was once a king, who had lost his wife.	There was once a king, who had lost his wife.
6937_112761_000004_000001	They had a family of thirteen--twelve gallant sons, and one daughter, who was exquisitely beautiful.	They had a family of thirteen-twelve gallant sons, and one daughter, who was exquisitely beautiful.
6937_112761_000005_000000	For twelve years after his wife's death the king grieved very much; he used to go daily to her tomb, and there weep, and pray, and give away alms to the poor.	For twelve years after his wife's death the king grieved very much; he used to go daily to her tomb, and there weep, and pray, and give away alms to the poor.
6937_112761_000005_000001	He thought never to marry again; for he had promised his dying wife never to give her children a stepmother.	He thought never to marry again; for he had promised his dying wife never to give her children a stepmother.
6937_112761_000006_000001	But before long he found out that he had made a great mistake.	But before long he found out that he had made a great mistake.
6937_112761_000007_000000	One day, when the king was far away, at war against his enemies, the queen went into her stepchildren's apartments, and pronounced some magical words--on which every one of the twelve princes flew away in the shape of an eagle, and the princess was changed into a dove.	One day, when the king was far away, at war against his enemies, the queen went into her stepchildren's apartments, and pronounced some magical words-on which every one of the twelve princes flew away in the shape of an eagle, and the princess was changed into a dove.
6937_112761_000008_000000	The queen looked out of the window, to see in what direction they would fly, when she saw right under the window an old man, with a beard as white as snow.	The queen looked out of the window, to see in what direction they would fly, when she saw right under the window an old man, with a beard as white as snow.
6937_112761_000009_000000	"What are you here for, old man?" she asked.	"What are you here for, old man?" she asked.
6937_112761_000010_000000	"To be witness of your deed," he answered.	"To be witness of your deed," he answered.
6937_112761_000011_000000	"Then you saw it?"	"Then you saw it?"
6937_112761_000012_000000	"I saw it."	"I saw it."
6937_112761_000014_000000	She whispered some magical words.	She whispered some magical words.
6937_112761_000014_000001	The old man disappeared in a blaze of sunshine; and the queen, as she stood there, dumb with terror, was changed into a basilisk.	The old man disappeared in a blaze of sunshine; and the queen, as she stood there, dumb with terror, was changed into a basilisk.
6937_112761_000015_000000	The basilisk ran off in fright; trying to hide herself underground.	The basilisk ran off in fright; trying to hide herself underground.
6937_112761_000015_000001	But her glance was so deadly, that it killed every one she looked at; so that all the people in the palace were soon dead, including her own son, whom she slew by merely looking at him.	But her glance was so deadly, that it killed every one she looked at; so that all the people in the palace were soon dead, including her own son, whom she slew by merely looking at him.
6937_112761_000015_000002	And this once populous and happy royal residence quickly became an uninhabited ruin, which no one dared approach, for fear of the basilisk lurking in its underground vaults.	And this once populous and happy royal residence quickly became an uninhabited ruin, which no one dared approach, for fear of the basilisk lurking in its underground vaults.
6937_112761_000017_000000	Meanwhile the princess, who had been changed into a dove, flew after her brothers the eagles, but not being able to overtake them, she rested under a wayside cross, and began cooing mournfully.	Meanwhile the princess, who had been changed into a dove, flew after her brothers the eagles, but not being able to overtake them, she rested under a wayside cross, and began cooing mournfully.
6937_112761_000018_000000	"What are you grieving for, pretty dove?" asked an old man, with a snow-white beard, who just then came by.	"What are you grieving for, pretty dove?" asked an old man, with a snow white beard, who just then came by.
6937_112761_000019_000001	I am grieving also for myself.	I am grieving also for myself.
6937_112761_000021_000000	So saying he stroked the little dove, and she at once regained her natural shape.	So saying he stroked the little dove, and she at once regained her natural shape.
6937_112761_000022_000000	"How can I ever thank you enough!	"How can I ever thank you enough!
6937_112761_000023_000000	The old man gave her an ever-growing loaf, and said:	The old man gave her an ever growing loaf, and said:
6937_112761_000024_000001	Go towards the sunset, and weep your tears into this little bottle.	Go towards the sunset, and weep your tears into this little bottle.
6937_112761_000024_000002	And when it is full...."	And when it is full...."
6937_112761_000025_000000	And the old man told her what else to do, blessed her, and disappeared.	And the old man told her what else to do, blessed her, and disappeared.
6937_112761_000027_000000	"Stop, princess!" he said; "You can proceed no further, for you are not yet parted by death from your own world."	"Stop, princess!" he said; "You can proceed no further, for you are not yet parted by death from your own world."
6937_112761_000028_000000	"But what am I to do?" she asked.	"But what am I to do?" she asked.
6937_112761_000028_000001	"Must I go back without my poor brothers?"	"Must I go back without my poor brothers?"
6937_112761_000029_000000	"Your brothers," said Death, "fly here every day in the guise of eagles. They want to reach the other side of this door, which leads into the other world; for they hate the one they live in; nevertheless they, and you also, must remain there, until your time be come.	"Your brothers," said Death, "fly here every day in the guise of eagles. They want to reach the other side of this door, which leads into the other world; for they hate the one they live in; nevertheless they, and you also, must remain there, until your time be come.
6937_112761_000029_000001	Therefore every day I must compel them to go back, which they can do, because they are eagles.	Therefore every day I must compel them to go back, which they can do, because they are eagles.
6937_112761_000029_000002	But how are you going to get back yourself?--look there!"	But how are you going to get back yourself?--look there!"
6937_112761_000030_000000	The princess looked around her, and wept bitterly.	The princess looked around her, and wept bitterly.
6937_112761_000031_000000	But remembering what the mysterious old man had said she took courage, and began to pray and weep, till she had filled the little bottle with her tears.	But remembering what the mysterious old man had said she took courage, and began to pray and weep, till she had filled the little bottle with her tears.
6937_112761_000031_000001	Soon she heard the sound of wings over her head, and saw twelve eagles flying.	Soon she heard the sound of wings over her head, and saw twelve eagles flying.
6937_112761_000032_000000	The eagles dashed themselves against the iron portal, beating their wings upon it, and imploring Death to open it to them.	The eagles dashed themselves against the iron portal, beating their wings upon it, and imploring Death to open it to them.
6937_112761_000032_000001	But Death only threatened them with his scythe, saying:	But Death only threatened them with his scythe, saying:
6937_112761_000033_000000	"Hence! ye enchanted princes!	"Hence! ye enchanted princes!
6937_112761_000033_000001	you must fulfil your penance on earth, till I come for you myself."	you must fulfil your penance on earth, till I come for you myself."
6937_112761_000034_000000	The eagles were about to turn and fly, when all at once they perceived their sister.	The eagles were about to turn and fly, when all at once they perceived their sister.
6937_112761_000034_000001	They came round her, and caressed her hands lovingly with their beaks.	They came round her, and caressed her hands lovingly with their beaks.
6937_112761_000035_000000	She at once began to sprinkle them with her tears from the lachrymatory; and in one moment the twelve eagles were changed back into the twelve princes, and joyfully embraced their sister.	She at once began to sprinkle them with her tears from the lachrymatory; and in one moment the twelve eagles were changed back into the twelve princes, and joyfully embraced their sister.
6937_112761_000037_000000	But the princess knelt down and prayed:	But the princess knelt down and prayed:
6937_112761_000038_000000	"Bird of heavenly pity here, By each labour, prayer and tear, Come in thine unvanquished power, Come and aid us in this hour!"	"Bird of heavenly pity here, By each labour, prayer and tear, Come in thine unvanquished power, Come and aid us in this hour!"
6937_112761_000039_000000	And all at once there shot down from heaven to the depth of the abyss a ray of sunshine, on which descended a gigantic bird, with rainbow wings, a bright sparkling crest, and peacock's eyes all over his body, a golden tail, and silvery breast.	And all at once there shot down from heaven to the depth of the abyss a ray of sunshine, on which descended a gigantic bird, with rainbow wings, a bright sparkling crest, and peacock's eyes all over his body, a golden tail, and silvery breast.
6937_112761_000040_000000	"What are your commands, princess?" asked the bird.	"What are your commands, princess?" asked the bird.
6937_112761_000041_000000	"Carry us from this threshold of eternity to our own world."	"Carry us from this threshold of eternity to our own world."
6937_112761_000042_000000	"I will, but you must know, princess, that before I can reach the top of this precipice with you on my back, three days and nights must pass; and I must have food on the way, or my strength will fail me, and I shall fall down with you to the bottom, and we shall all perish."	"I will, but you must know, princess, that before I can reach the top of this precipice with you on my back, three days and nights must pass; and I must have food on the way, or my strength will fail me, and I shall fall down with you to the bottom, and we shall all perish."
6937_112761_000043_000000	"I have an ever-growing loaf, which will suffice both for you and ourselves," replied the princess.	"I have an ever growing loaf, which will suffice both for you and ourselves," replied the princess.
6937_112761_000044_000000	"Then climb upon my back, and whenever I look round, give me some bread to eat."	"Then climb upon my back, and whenever I look round, give me some bread to eat."
6937_112761_000045_000000	The bird was so large that all the princes, and the princess in the midst of them, could easily find place on his back, and he began to fly upwards.	The bird was so large that all the princes, and the princess in the midst of them, could easily find place on his back, and he began to fly upwards.
6937_112761_000046_000000	He flew higher and higher, and whenever he looked round at her, she gave him bits of the loaf, and he flew on, and upwards.	He flew higher and higher, and whenever he looked round at her, she gave him bits of the loaf, and he flew on, and upwards.
6937_112761_000047_000000	So they went on steadily for two nights and days; but upon the third day, when they were hoping in a short time to view the summit of the precipice, and to land upon the borders of this world, the bird looked round as usual for a piece of the loaf.	So they went on steadily for two nights and days; but upon the third day, when they were hoping in a short time to view the summit of the precipice, and to land upon the borders of this world, the bird looked round as usual for a piece of the loaf.
