4335_15082_000000_000000	CHAPTER XXXII.	CHAPTER thirty two.	true	2.79	4.47	18
4335_15082_000001_000000	1650-1866.	sixteen fifty to eighteen sixty six.	false	4.47	7.41	18.730291
4335_15082_000002_000000	THE LAST OF THE HURONS.	THE LAST OF THE HURONS.	false	7.41	9.72	12
4335_15082_000003_000000	FATE OF THE VANQUISHED.-- THE REFUGEES OF ST.	FATE OF THE VANQUISHED.-- THE REFUGEES OF st	false	9.72	12.6	21.381155
4335_15082_000003_000001	JEAN BAPTISTE AND ST.	JEAN BAPTISTE AND st	false	12.6	20.73	19.540936
4335_15082_000003_000002	MICHEL.-- THE TOBACCO NATION AND ITS WANDERINGS.--THE MODERN WYANDOTS.-- THE BITER BIT.--THE HURONS AT QUEBEC.--NOTRE-DAME DE LORETTE.	MICHEL.-- THE TOBACCO NATION AND ITS WANDERINGS.--THE MODERN w y a n d o t s.-- THE BITER BIT.--THE HURONS AT QUEBEC.--NOTRE DAME DE LORETTE.	false	20.73	36	19.417828
4335_15082_000004_000000	Iroquois bullets and tomahawks had killed the Hurons by hundreds, but famine and disease had killed incomparably more.	Iroquois bullets and tomahawks had killed the Hurons by hundreds, but famine and disease had killed incomparably more.	true	36	43.69	20.858461
4335_15082_000004_000001	The miseries of the starving crowd on Isle St. Joseph had been shared in an equal degree by smaller bands, who had wintered in remote and secret retreats of the wilderness.	The miseries of the starving crowd on Isle saint Joseph had been shared in an equal degree by smaller bands, who had wintered in remote and secret retreats of the wilderness.	false	44.15	54.49	18.569181
4335_15082_000004_000002	Of those who survived that season of death, many were so weakened that they could not endure the hardships of a wandering life, which was new to them.	Of those who survived that season of death, many were so weakened that they could not endure the hardships of a wandering life, which was new to them.	true	55.61	64.6	18.209122
4335_15082_000004_000003	The Hurons lived by agriculture; their fields and crops were destroyed, and they were so hunted from place to place that they could rarely till the soil.	The Hurons lived by agriculture; their fields and crops were destroyed, and they were so hunted from place to place that they could rarely till the soil.	true	65.51	74.92	19.028353
4335_15082_000004_000004	Game was very scarce; and, without agriculture, the country could support only a scanty and scattered population like that which maintained a struggling existence in the wilderness of the lower St. Lawrence.	Game was very scarce; and, without agriculture, the country could support only a scanty and scattered population like that which maintained a struggling existence in the wilderness of the lower saint Lawrence.	true	75.62	88.51	20
