6157_40556_000000_000000	And Shahrazad perceived the dawn of day and ceased to say her permitted say.	And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	0	5.49	19.999657
6157_40556_000001_000000	NOW WHEN IT WAS THE FIVE HUNDRED AND FORTY-SECOND NIGHT,	NOW WHEN IT WAS THE FIVE HUNDRED AND FORTY SECOND NIGHT,	false	5.49	8.97	20.618214
6157_40556_000002_000000	She continued, It hath reached me, O auspicious King, that when Sindbad the Seaman said to the captain, "These bales are mine, the goods which Allah hath given me," the other exclaimed, "There is no Majesty and there is no Might save in Allah, the Glorious, the Great!	She continued, It hath reached me, O auspicious King, that when Sindbad the Seaman said to the captain, "These bales are mine, the goods which Allah hath given me," the other exclaimed, "There is no Majesty and there is no Might save in Allah, the Glorious, the Great!	false	8.97	26.55	19.86064
6157_40556_000002_000001	Verily, there is neither conscience nor good faith left among men!" Said I, "O Rais, what mean these words, seeing that I have told thee my case?" And he answered, "Because thou heardest me say that I had with me goods whose owner was drowned, thou thinkest to take them without right; but this is forbidden by law to thee, for we saw him drown before our eyes, together with many other passengers, nor was one of them saved.	Verily, there is neither conscience nor good faith left among men!" Said I, "O Rais, what mean these words, seeing that I have told thee my case?" And he answered, "Because thou heardest me say that I had with me goods whose owner was drowned, thou thinkest to take them without right; but this is forbidden by law to thee, for we saw him drown before our eyes, together with many other passengers, nor was one of them saved.	false	26.55	69.3	20.377125
6157_40556_000002_000002	So how canst thou pretend that thou art the owner of the goods?" "O captain," said I, "listen to my story and give heed to my words, and my truth will be manifest to thee; for lying and leasing are the letter-marks of the hypocrites." Then I recounted to him all that had befallen me since I sailed from Baghdad with him to the time when we came to the fish-island where we were nearly drowned; and I reminded him of certain matters which had passed between us; whereupon both he and the merchants were certified of the truth of my story and recognized me and gave me joy of my deliverance, saying, "By Allah, we thought not that thou hadst escaped drowning!	So how canst thou pretend that thou art the owner of the goods?" "O captain," said I, "listen to my story and give heed to my words, and my truth will be manifest to thee; for lying and leasing are the letter marks of the hypocrites." Then I recounted to him all that had befallen me since I sailed from Baghdad with him to the time when we came to the fish island where we were nearly drowned; and I reminded him of certain matters which had passed between us; whereupon both he and the merchants were certified of the truth of my story and recognized me and gave me joy of my deliverance, saying, "By Allah, we thought not that thou hadst escaped drowning!	false	69.3	121.05	20.831915
6157_40556_000002_000003	But the Lord hath granted thee new life." Then they delivered my bales to me, and I found my name written thereon, nor was aught thereof lacking.	But the Lord hath granted thee new life." Then they delivered my bales to me, and I found my name written thereon, nor was aught thereof lacking.	false	121.05	129.93	21.274422
6157_40556_000002_000004	So I opened them, and making up a present for King Mihrjan of the finest and costliest of the contents, caused the sailors to carry it up to the palace, where I went in to the King and laid my present at his feet acquainting him with what had happened, especially concerning the ship and my goods; whereat he wondered with exceeding wonder and the truth of all that I had told him was made manifest to him.	So I opened them, and making up a present for King Mihrjan of the finest and costliest of the contents, caused the sailors to carry it up to the palace, where I went in to the King and laid my present at his feet acquainting him with what had happened, especially concerning the ship and my goods; whereat he wondered with exceeding wonder and the truth of all that I had told him was made manifest to him.	false	129.93	166.92	20.513056
6157_40556_000002_000005	His affection for me redoubled after that, and he showed me exceeding honor and bestowed on me a great present in return for mine.	His affection for me redoubled after that, and he showed me exceeding honor and bestowed on me a great present in return for mine.	false	166.92	175.47	19.833858
6157_40556_000002_000006	Then I sold my bales and what other matters I owned, making a great profit on them, and bought me other goods and gear of the growth and fashion of the island-city.	Then I sold my bales and what other matters I owned, making a great profit on them, and bought me other goods and gear of the growth and fashion of the island city.	false	175.47	191.52	21.032894
6157_40556_000002_000007	When the merchants were about to start on their homeward voyage, I embarked on board the ship all that I possessed, and going in to the King, thanked him for all his favors and friendship, and craved his leave to return to my own land and friends. He farewelled me and bestowed upon me great store of the country-stuffs and produce; and I took leave of him and embarked.	When the merchants were about to start on their homeward voyage, I embarked on board the ship all that I possessed, and going in to the King, thanked him for all his favors and friendship, and craved his leave to return to my own land and friends. He farewelled me and bestowed upon me great store of the country stuffs and produce; and I took leave of him and embarked.	false	191.52	224.13	20.660288
6157_40556_000002_000008	Then we set sail and fared on nights and days, by the permission of Allah Almighty; and Fortune served us and Fate favored us, so that we arrived in safety at Bassorah-city where I landed rejoiced at my safe return to my natal soil.	Then we set sail and fared on nights and days, by the permission of Allah Almighty; and Fortune served us and Fate favored us, so that we arrived in safety at Bassorah city where I landed rejoiced at my safe return to my natal soil.	false	224.13	242.64	20
