2074_149033_000002_000000	BY	BY
2074_149033_000004_000000	WITH A PREFACE BY J. M. BARRIE	WITH A PREFACE BY j m BARRIE
2074_149033_000009_000001	"Effort," however, is an absurd word to use, as you may see by studying the triumphant countenance of the child herself, which is here reproduced as frontispiece to her sublime work.	"Effort," however, is an absurd word to use, as you may see by studying the triumphant countenance of the child herself, which is here reproduced as frontispiece to her sublime work.
2074_149033_000009_000002	This is no portrait of a writer who had to burn the oil at midnight (indeed there is documentary evidence that she was hauled off to bed every evening at six): it has an air of careless power; there is a complacency about it that by the severe might perhaps be called smugness.	This is no portrait of a writer who had to burn the oil at midnight (indeed there is documentary evidence that she was hauled off to bed every evening at six): it has an air of careless power; there is a complacency about it that by the severe might perhaps be called smugness.
2074_149033_000009_000003	It needed no effort for that face to knock off a masterpiece.	It needed no effort for that face to knock off a masterpiece.
2074_149033_000009_000004	It probably represents precisely how she looked when she finished a chapter.	It probably represents precisely how she looked when she finished a chapter.
2074_149033_000009_000006	Fellow-craftsmen will see that she is looking forward to this chapter all the time.	Fellow craftsmen will see that she is looking forward to this chapter all the time.
2074_149033_000010_000000	The manuscript is in pencil in a stout little note book (twopence), and there it has lain for years, for though the authoress was nine when she wrote it she is now a grown woman.	The manuscript is in pencil in a stout little note book (twopence), and there it has lain for years, for though the authoress was nine when she wrote it she is now a grown woman.
2074_149033_000010_000005	Chaperon seems to be one of the very few good words of which our authoress had never heard.	Chaperon seems to be one of the very few good words of which our authoress had never heard.
2074_149033_000012_000001	She read everything that came her way, including, as the context amply proves, the grown-up novels of the period.	She read everything that came her way, including, as the context amply proves, the grown up novels of the period.
2074_149033_000012_000002	"I adored writing and used to pray for bad weather, so that I need not go out but could stay in and write." Her mother used to have early tea in bed; sometimes visitors came to the house, when there was talk of events in high society: there was mention of places called Hampton Court, the Gaiety Theatre and the "Crystale" Palace.	"I adored writing and used to pray for bad weather, so that I need not go out but could stay in and write." Her mother used to have early tea in bed; sometimes visitors came to the house, when there was talk of events in high society: there was mention of places called Hampton Court, the Gaiety Theatre and the "Crystale" Palace.
2074_149033_000012_000003	This is almost all that is now remembered, but it was enough for the blazing child.	This is almost all that is now remembered, but it was enough for the blazing child.
2074_149033_000012_000004	She sucked her thumb for a moment (this is guesswork), and sat down to her amazing tale.	She sucked her thumb for a moment (this is guesswork), and sat down to her amazing tale.
