7717_105405_000002_000000	CHAPTER XXVI THE JEW	CHAPTER twenty six THE JEW
7717_105405_000004_000000	When she realised what had happened, a curious mixture of joy and wonder filled her heart.	When she realised what had happened, a curious mixture of joy and wonder filled her heart.
7717_105405_000004_000002	Chauvelin was still absolutely helpless, far more so than he could even have been under a blow from the fist, for now he could neither see, nor hear, nor speak, whilst his cunning adversary had quietly slipped through his fingers.	Chauvelin was still absolutely helpless, far more so than he could even have been under a blow from the fist, for now he could neither see, nor hear, nor speak, whilst his cunning adversary had quietly slipped through his fingers.
7717_105405_000005_000000	Blakeney was gone, obviously to try and join the fugitives at the Pere Blanchard's hut.	Blakeney was gone, obviously to try and join the fugitives at the Pere Blanchard's hut.
7717_105405_000005_000003	Every place was watched, and every stranger kept in sight.	Every place was watched, and every stranger kept in sight.
7717_105405_000005_000004	How far could Percy go, thus arrayed in his gorgeous clothes, without being sighted and followed?	How far could Percy go, thus arrayed in his gorgeous clothes, without being sighted and followed?
7717_105405_000005_000005	Now she blamed herself terribly for not having gone down to him sooner, and given him that word of warning and of love which, perhaps, after all, he needed.	Now she blamed herself terribly for not having gone down to him sooner, and given him that word of warning and of love which, perhaps, after all, he needed.
7717_105405_000007_000000	Chauvelin had partially recovered; his sneezing had become less violent, and he had struggled to his feet.	Chauvelin had partially recovered; his sneezing had become less violent, and he had struggled to his feet.
7717_105405_000011_000000	"Here, man! through that door!	"Here, man! through that door!
7717_105405_000011_000001	not five minutes ago."	not five minutes ago."
7717_105405_000012_000000	"We saw nothing, citoyen!	"We saw nothing, citoyen!
7717_105405_000015_000000	"You did what I ordered you to do," said Chauvelin, with impatience. "I know that, but you were a precious long time about it.	"You did what I ordered you to do," said Chauvelin, with impatience. "I know that, but you were a precious long time about it.
7717_105405_000015_000001	Fortunately, there's not much harm done, or it had fared ill with you, Citoyen Desgas."	Fortunately, there's not much harm done, or it had fared ill with you, Citoyen Desgas."
7717_105405_000016_000001	There was so much rage and hatred in his superior's whole attitude.	There was so much rage and hatred in his superior's whole attitude.
7717_105405_000017_000000	"The tall stranger, citoyen--" he stammered.	"The tall stranger, citoyen-" he stammered.
7717_105405_000018_000001	For obvious reasons, I dared not tackle him alone. Brogard is too big a fool, and that cursed Englishman appears to have the strength of a bullock, and so he slipped away under your very nose."	For obvious reasons, I dared not tackle him alone. Brogard is too big a fool, and that cursed Englishman appears to have the strength of a bullock, and so he slipped away under your very nose."
7717_105405_000019_000000	"He cannot go far without being sighted, citoyen."	"He cannot go far without being sighted, citoyen."
7717_105405_000021_000001	He again assured me that the watch had been constant all day, and that no stranger could possibly get to the beach, or reach a boat, without being sighted."	He again assured me that the watch had been constant all day, and that no stranger could possibly get to the beach, or reach a boat, without being sighted."
7717_105405_000022_000000	"That's good.--Do the men know their work?" "They have had very clear orders, citoyen: and I myself spoke to those who were about to start. They are to shadow--as secretly as possible--any stranger they may see, especially if he be tall, or stoop as if he would disguise his height."	"That's good.--Do the men know their work?" "They have had very clear orders, citoyen: and I myself spoke to those who were about to start. They are to shadow-as secretly as possible-any stranger they may see, especially if he be tall, or stoop as if he would disguise his height."
7717_105405_000023_000001	"That impudent Scarlet Pimpernel would slip through clumsy fingers.	"That impudent Scarlet Pimpernel would slip through clumsy fingers.
7717_105405_000023_000002	We must let him get to the Pere Blanchard's hut now; there surround and capture him."	We must let him get to the Pere Blanchard's hut now; there surround and capture him."
7717_105405_000025_000000	"That is right," said Chauvelin, rubbing his hands, well pleased.	"That is right," said Chauvelin, rubbing his hands, well pleased.
7717_105405_000027_000000	"What is it?"	"What is it?"
7717_105405_000028_000000	"A tall Englishman had a long conversation about three-quarters of an hour ago with a Jew, Reuben by name, who lives not ten paces from here."	"A tall Englishman had a long conversation about three quarters of an hour ago with a Jew, Reuben by name, who lives not ten paces from here."
7717_105405_000029_000000	"Yes--and?" queried Chauvelin, impatiently.	"Yes-and?" queried Chauvelin, impatiently.
