8225_274376_000000_000000	* Rush, vol. vi.	asterisk Rush, vol vi.	false	0.45	2.7	19
8225_274376_000000_000001	p. 275.	p. two hundred seventy five.	false	2.7	4.05	24.032293
8225_274376_000001_000000	** Warwick, p. 261.	asterisk asterisk Warwick, p. two hundred sixty one.	false	4.05	6.21	5
8225_274376_000001_000001	Walker, p. 278.	Walker, p. two hundred seventy eight.	false	6.21	8.01	18
8225_274376_000001_000002	laudable.	laudable.	false	8.01	8.37	-20
8225_274376_000002_000000	While the military enterprises were carried on with vigor in England, and the event became every day more doubtful, both parties cast their eye towards the neighboring kingdoms, and sought assistance for the finishing of that enterprise in which their own forces experienced such furious opposition.	While the military enterprises were carried on with vigor in England, and the event became every day more doubtful, both parties cast their eye towards the neighboring kingdoms, and sought assistance for the finishing of that enterprise in which their own forces experienced such furious opposition.	false	8.37	29.19	22.6226
8225_274376_000002_000001	The parliament had recourse to Scotland; the king to Ireland.	The parliament had recourse to Scotland; the king to Ireland.	false	29.19	33.45	26.552963
8225_274376_000003_000000	When the Scottish Covenanters obtained that end for which they so earnestly contended, the establishment of Presbyterian discipline in their own country, they were not satisfied, but indulged still in an ardent passion for propagating, by all methods, that mode of religion in the neighboring kingdoms.	When the Scottish Covenanters obtained that end for which they so earnestly contended, the establishment of Presbyterian discipline in their own country, they were not satisfied, but indulged still in an ardent passion for propagating, by all methods, that mode of religion in the neighboring kingdoms.	true	33.45	50.62	20.458508
8225_274376_000003_000001	Having flattered themselves, in the fervor of their zeal, that by supernatural assistances they should be enabled to carry their triumphant covenant to the gates of Rome itself, it behoved them first to render it prevalent in England, which already showed so great a disposition to receive it.	Having flattered themselves, in the fervor of their zeal, that by supernatural assistances they should be enabled to carry their triumphant covenant to the gates of Rome itself, it behoved them first to render it prevalent in England, which already showed so great a disposition to receive it.	true	51.08	67.42	19.409597
8225_274376_000003_000002	Even in the articles of pacification, they expressed a desire of uniformity in worship with England; and the king, employing general expressions, had approved of this inclination as pious and no sooner was there an appearance of a rupture, than the English parliament, in order to allure that nation into a close confederacy, openly declared their wishes of ecclesiastical reformation, and of imitating the example of their northern brethren.[*] When war was actually commenced, the same artifices were used, and the Scots beheld, with the utmost impatience, a scene of action of which they could not deem themselves indifferent spectators.	Even in the articles of pacification, they expressed a desire of uniformity in worship with England; and the king, employing general expressions, had approved of this inclination as pious and no sooner was there an appearance of a rupture, than the English parliament, in order to allure that nation into a close confederacy, openly declared their wishes of ecclesiastical reformation, and of imitating the example of their northern brethren.[asterisk] When war was actually commenced, the same artifices were used, and the Scots beheld, with the utmost impatience, a scene of action of which they could not deem themselves indifferent spectators.	false	67.91	105.19	21.586653
8225_274376_000003_000003	Should the king, they said, be able by force of arms to prevail over the parliament of England, and reestablish his authority in that powerful kingdom, he will undoubtedly retract all those concessions which, with so many circumstances of violence and indignity, the Scots have extorted from him.	Should the king, they said, be able by force of arms to prevail over the parliament of England, and reestablish his authority in that powerful kingdom, he will undoubtedly retract all those concessions which, with so many circumstances of violence and indignity, the Scots have extorted from him.	true	105.92	121.63	22.909794
8225_274376_000003_000004	Besides a sense of his own interest, and a regard to royal power, which has been entirely annihilated in this country, his very passion for prelacy and for religious ceremonies must lead him to invade a church which he has ever been taught to regard as anti-Christian and unlawful.	Besides a sense of his own interest, and a regard to royal power, which has been entirely annihilated in this country, his very passion for prelacy and for religious ceremonies must lead him to invade a church which he has ever been taught to regard as anti Christian and unlawful.	false	122.27	138.1	20.666859
8225_274376_000003_000005	Let us but consider who the persons are that compose the factions now so furiously engaged in arms.	Let us but consider who the persons are that compose the factions now so furiously engaged in arms.	false	138.65	144.52	20.655014
8225_274376_000003_000006	Does not the parliament consist of those very men who have ever opposed all war with Scotland, who have punished the authors of our oppressions, who have obtained us the redress of every grievance, and who, with many honorable expressions, have conferred on us an ample reward for our brotherly assistance?	Does not the parliament consist of those very men who have ever opposed all war with Scotland, who have punished the authors of our oppressions, who have obtained us the redress of every grievance, and who, with many honorable expressions, have conferred on us an ample reward for our brotherly assistance?	true	144.71	161.89	21.262993
8225_274376_000003_000007	And is not the court full of Papists, prelates, malignants; all of them zealous enemies to our religious model, and resolute to sacrifice their lives for their idolatrous establishments?	And is not the court full of Papists, prelates, malignants; all of them zealous enemies to our religious model, and resolute to sacrifice their lives for their idolatrous establishments?	true	162.2	173.35	24.285234
8225_274376_000003_000008	Not to mention our own necessary security can we better express our gratitude to Heaven for that pure light with which we are, above all nations, so eminently distinguished, than by conveying the same divine knowledge to our unhappy neighbors, who are wading through a sea of blood in order to attain it?	Not to mention our own necessary security can we better express our gratitude to Heaven for that pure light with which we are, above all nations, so eminently distinguished, than by conveying the same divine knowledge to our unhappy neighbors, who are wading through a sea of blood in order to attain it?	true	173.63	190.03	21.436134
8225_274376_000003_000009	These were in Scotland the topics of every conversation: with these doctrines the pulpits echoed: and the famous curse of Meroz, that curse so solemnly denounced and reiterated against neutrality and moderation, resounded from all quarters.[**]	These were in Scotland the topics of every conversation: with these doctrines the pulpits echoed: and the famous curse of Meroz, that curse so solemnly denounced and reiterated against neutrality and moderation, resounded from all quarters.[asterisk asterisk]	false	190.67	204.78	21.726019
8225_274376_000004_000000	* Rush, vol. vi.	asterisk Rush, vol vi.	false	204.78	204.87	-20
8225_274376_000004_000001	p. 390.	p. three hundred ninety.	false	204.87	204.99	-20
8225_274376_000004_000002	Clarendon, vol. iii.	Clarendon, vol iii.	false	204.99	205.05	-20
8225_274376_000004_000003	p. 68.	p. sixty eight.	false	205.05	205.14	-20
8225_274376_000005_000000	** Curse ye Meroz, said the angel of the Lord; curse ye bitterly the inhabitants thereof: because they came not to the help of the Lord, to the help of the Lord against the mighty.	asterisk asterisk Curse ye Meroz, said the angel of the Lord; curse ye bitterly the inhabitants thereof: because they came not to the help of the Lord, to the help of the Lord against the mighty.	false	205.14	205.44	100
8225_274376_000005_000001	Judges, chap. v ver. 23.	judges, chap. v ver. twenty three.	false	205.44	205.44	
8225_274376_000006_000000	The parliament of England had ever invited the Scots, from the commencement of the civil dissensions, to interpose their mediation, which they knew would be so little favorable to the king: and the king for that very reason had ever endeavored, with the least offensive expressions, to decline it.[*] Early this spring, the earl of Loudon, the chancellor, with other commissioners, and attended by Henderson, a popular and intriguing preacher, was sent to the king at Oxford, and renewed the offer of mediation; but with the same success as before.	The parliament of England had ever invited the Scots, from the commencement of the civil dissensions, to interpose their mediation, which they knew would be so little favorable to the king: and the king for that very reason had ever endeavored, with the least offensive expressions, to decline it.[asterisk] Early this spring, the earl of Loudon, the chancellor, with other commissioners, and attended by Henderson, a popular and intriguing preacher, was sent to the king at Oxford, and renewed the offer of mediation; but with the same success as before.	false	205.44	237.04	20.997717
8225_274376_000006_000001	The commissioners were also empowered to press the king on the article of religion, and to recommend to him the Scottish model of ecclesiastic worship and discipline.	The commissioners were also empowered to press the king on the article of religion, and to recommend to him the Scottish model of ecclesiastic worship and discipline.	true	237.74	245.98	22
8225_274376_000006_000002	This was touching Charles in a very tender point: his honor his conscience, as well as his interest, he believed to be intimately concerned in supporting prelacy and the liturgy.[**] [14] He begged the commissioners, therefore, to remain satisfied with the concessions which he had made to Scotland; and having modelled their own church according to their own principles, to leave their neighbors in the like liberty, and not to intermeddle with affairs of which they could not be supposed competent judges.[***]	This was touching Charles in a very tender point: his honor his conscience, as well as his interest, he believed to be intimately concerned in supporting prelacy and the liturgy.[asterisk asterisk] [fourteen] He begged the commissioners, therefore, to remain satisfied with the concessions which he had made to Scotland; and having modelled their own church according to their own principles, to leave their neighbors in the like liberty, and not to intermeddle with affairs of which they could not be supposed competent judges.[asterisk asterisk asterisk]	false	246.41	272.7	21.901754
8225_274376_000007_000000	* Rush. vol. vi.	asterisk Rush. vol vi.	false	272.7	272.82	-20
8225_274376_000007_000001	p. 398.	p. three hundred ninety eight.	false	272.82	272.97	-20
8225_274376_000008_000000	** See note N, at the end of the volume.	asterisk asterisk See note N, at the end of the volume.	false	272.97	273.39	100
8225_274376_000009_000000	*** Bush. vol. vi.	asterisk asterisk asterisk Bush. vol vi.	false	273.39	273.39	
8225_274376_000009_000001	p. 462.	p. four hundred sixty two.	false	273.39	273.39	
8225_274376_000010_000000	The divines of Oxford, secure, as they imagined, of a victory, by means of their authorities from church history, their quotations from the fathers, and their spiritual arguments, desired a conference with Henderson, and undertook by dint of reasoning to convert that great apostle of the north: but Henderson, who had ever regarded as impious the least doubt with regard to his own principles, and who knew of a much better way to reduce opponents than by employing any theological topics, absolutely refused all disputation or controversy.	The divines of Oxford, secure, as they imagined, of a victory, by means of their authorities from church history, their quotations from the fathers, and their spiritual arguments, desired a conference with Henderson, and undertook by dint of reasoning to convert that great apostle of the north: but Henderson, who had ever regarded as impious the least doubt with regard to his own principles, and who knew of a much better way to reduce opponents than by employing any theological topics, absolutely refused all disputation or controversy.	false	273.39	303.16	21.276846
8225_274376_000010_000001	The English divines went away full of admiration at the blind assurance and bigoted prejudices of the man: he on his part was moved with equal wonder at their obstinate attachment to such palpable errors and delusions.	The English divines went away full of admiration at the blind assurance and bigoted prejudices of the man: he on his part was moved with equal wonder at their obstinate attachment to such palpable errors and delusions.	true	303.44	314.98	19.960814
