2774_131722_000000_000000	CHAPTER XIX	CHAPTER nineteen	false	0.33	22.965	22.667292
2774_131722_000001_000000	MAGNETIC ORE MILLING WORK	MAGNETIC ORE MILLING WORK	true	22.965	24.85	21.305696
2774_131722_000002_000000	DURING the Hudson-Fulton celebration of October, 1909, Burgomaster Van Leeuwen, of Amsterdam, member of the delegation sent officially from Holland to escort the Half Moon and participate in the functions of the anniversary, paid a visit to the Edison laboratory at Orange to see the inventor, who may be regarded as pre-eminent among those of Dutch descent in this country.	DURING the Hudson Fulton celebration of October, nineteen o nine, Burgomaster Van Leeuwen, of Amsterdam, member of the delegation sent officially from Holland to escort the Half Moon and participate in the functions of the anniversary, paid a visit to the Edison laboratory at Orange to see the inventor, who may be regarded as pre-eminent among those of Dutch descent in this country.	true	25.25	46.93	21.8235
2774_131722_000002_000001	Found, as usual, hard at work--this time on his cement house, of which he showed the iron molds--Edison took occasion to remark that if he had achieved anything worth while, it was due to the obstinacy and pertinacity he had inherited from his forefathers. To which it may be added that not less equally have the nature of inheritance and the quality of atavism been exhibited in his extraordinary predilection for the miller's art.	Found, as usual, hard at work-this time on his cement house, of which he showed the iron molds-Edison took occasion to remark that if he had achieved anything worth while, it was due to the obstinacy and pertinacity he had inherited from his forefathers. To which it may be added that not less equally have the nature of inheritance and the quality of atavism been exhibited in his extraordinary predilection for the miller's art.	true	47.15	69.76	21.411282
2774_131722_000002_000002	While those Batavian ancestors on the low shores of the Zuyder Zee devoted their energies to grinding grain, he has been not less assiduous than they in reducing the rocks of the earth itself to flour.	While those Batavian ancestors on the low shores of the Zuyder Zee devoted their energies to grinding grain, he has been not less assiduous than they in reducing the rocks of the earth itself to flour.	true	70.1	80.65	18
2774_131722_000003_000000	Although this phase of Mr. Edison's diverse activities is not as generally known to the world as many others of a more popular character, the milling of low-grade auriferous ores and the magnetic separation of iron ores have been subjects of engrossing interest and study to him for many years.	Although this phase of mr Edison's diverse activities is not as generally known to the world as many others of a more popular character, the milling of low grade auriferous ores and the magnetic separation of iron ores have been subjects of engrossing interest and study to him for many years.	true	80.9	96.7	18
2774_131722_000003_000001	Indeed, his comparatively unknown enterprise of separating magnetically and putting into commercial form low-grade iron ore, as carried on at Edison, New Jersey, proved to be the most colossal experiment that he has ever made.	Indeed, his comparatively unknown enterprise of separating magnetically and putting into commercial form low grade iron ore, as carried on at edison new jersey, proved to be the most colossal experiment that he has ever made.	false	97.01	109.99	21
2774_131722_000004_000000	If a person qualified to judge were asked to answer categorically as to whether or not that enterprise was a failure, he could truthfully answer both yes and no. Yes, in that circumstances over which Mr. Edison had no control compelled the shutting down of the plant at the very moment of success; and no, in that the mechanically successful and commercially practical results obtained, after the exercise of stupendous efforts and the expenditure of a fortune, are so conclusive that they must inevitably be the reliance of many future iron-masters.	If a person qualified to judge were asked to answer categorically as to whether or not that enterprise was a failure, he could truthfully answer both yes and no Yes, in that circumstances over which mr Edison had no control compelled the shutting down of the plant at the very moment of success; and no, in that the mechanically successful and commercially practical results obtained, after the exercise of stupendous efforts and the expenditure of a fortune, are so conclusive that they must inevitably be the reliance of many future iron masters.	false	110.09	140.26	22.357311
2774_131722_000004_000001	In other words, Mr. Edison was at least a quarter of a century ahead of the times in the work now to be considered.	In other words, mr Edison was at least a quarter of a century ahead of the times in the work now to be considered.	true	140.48	146.53	21
2774_131722_000005_000000	Before proceeding to a specific description of this remarkable enterprise, however, let us glance at an early experiment in separating magnetic iron sands on the Atlantic sea-shore: "Some years ago I heard one day that down at Quogue, Long Island, there were immense deposits of black magnetic sand.	Before proceeding to a specific description of this remarkable enterprise, however, let us glance at an early experiment in separating magnetic iron sands on the Atlantic sea shore: "Some years ago I heard one day that down at Quogue, Long Island, there were immense deposits of black magnetic sand.	false	146.72	162.46	19
2774_131722_000005_000001	This would be very valuable if the iron could be separated from the sand.	This would be very valuable if the iron could be separated from the sand.	true	162.83	166.185	19
2774_131722_000005_000002	So I went down to Quogue with one of my assistants and saw there for miles large beds of black sand on the beach in layers from one to six inches thick--hundreds of thousands of tons. My first thought was that it would be a very easy matter to concentrate this, and I found I could sell the stuff at a good price.	So I went down to Quogue with one of my assistants and saw there for miles large beds of black sand on the beach in layers from one to six inches thick-hundreds of thousands of tons. My first thought was that it would be a very easy matter to concentrate this, and I found I could sell the stuff at a good price.	false	166.185	182.29	21.932964
2774_131722_000005_000003	I put up a small plant, but just as I got it started a tremendous storm came up, and every bit of that black sand went out to sea.	I put up a small plant, but just as I got it started a tremendous storm came up, and every bit of that black sand went out to sea.	false	182.75	189.49	22
2774_131722_000005_000004	During the twenty-eight years that have intervened it has never come back." This incident was really the prelude to the development set forth in this chapter.	During the twenty eight years that have intervened it has never come back." This incident was really the prelude to the development set forth in this chapter.	true	189.92	197.86	22.937746
2774_131722_000006_000000	In the early eighties Edison became familiar with the fact that the Eastern steel trade was suffering a disastrous change, and that business was slowly drifting westward, chiefly by reason of the discovery and opening up of enormous deposits of high-grade iron ore in the upper peninsula of Michigan.	In the early eighties Edison became familiar with the fact that the Eastern steel trade was suffering a disastrous change, and that business was slowly drifting westward, chiefly by reason of the discovery and opening up of enormous deposits of high grade iron ore in the upper peninsula of Michigan.	false	198.32	214.15	22
2774_131722_000006_000001	This ore could be excavated very cheaply by means of improved mining facilities, and transported at low cost to lake ports.	This ore could be excavated very cheaply by means of improved mining facilities, and transported at low cost to lake ports.	true	214.73	221.38	21
2774_131722_000006_000002	Hence the iron and steel mills east of the Alleghanies--compelled to rely on limited local deposits of Bessemer ore, and upon foreign ores which were constantly rising in value--began to sustain a serious competition with Western mills, even in Eastern markets.	Hence the iron and steel mills east of the Alleghanies-compelled to rely on limited local deposits of Bessemer ore, and upon foreign ores which were constantly rising in value-began to sustain a serious competition with Western mills, even in Eastern markets.	true	221.66	237.46	23
2774_131722_000007_000000	Long before this situation arose, it had been recognized by Eastern iron-masters that sooner or later the deposits of high-grade ore would be exhausted, and, in consequence, there would ensue a compelling necessity to fall back on the low-grade magnetic ores.	Long before this situation arose, it had been recognized by Eastern iron masters that sooner or later the deposits of high grade ore would be exhausted, and, in consequence, there would ensue a compelling necessity to fall back on the low grade magnetic ores.	true	238.13	252.7	19
2774_131722_000007_000001	For many years it had been a much-discussed question how to make these ores available for transportation to distant furnaces.	For many years it had been a much discussed question how to make these ores available for transportation to distant furnaces.	true	253.19	259.48	19
2774_131722_000007_000002	To pay railroad charges on ores carrying perhaps 80 to 90 per cent. of useless material would be prohibitive.	To pay railroad charges on ores carrying perhaps eighty to ninety per cent. of useless material would be prohibitive.	true	259.76	265.9	23.289103
2774_131722_000007_000003	Hence the elimination of the worthless "gangue" by concentration of the iron particles associated with it, seemed to be the only solution of the problem.	Hence the elimination of the worthless "gangue" by concentration of the iron particles associated with it, seemed to be the only solution of the problem.	true	266.06	274.42	20.469118
2774_131722_000008_000000	Many attempts had been made in by-gone days to concentrate the iron in such ores by water processes, but with only a partial degree of success. The impossibility of obtaining a uniform concentrate was a most serious objection, had there not indeed been other difficulties which rendered this method commercially impracticable.	Many attempts had been made in by gone days to concentrate the iron in such ores by water processes, but with only a partial degree of success. The impossibility of obtaining a uniform concentrate was a most serious objection, had there not indeed been other difficulties which rendered this method commercially impracticable.	true	274.73	291.76	22.113377
2774_131722_000008_000001	It is quite natural, therefore, that the idea of magnetic separation should have occurred to many inventors.	It is quite natural, therefore, that the idea of magnetic separation should have occurred to many inventors.	true	292.82	297.78	18
2774_131722_000008_000002	Thus we find numerous instances throughout the last century of experiments along this line; and particularly in the last forty or fifty years, during which various attempts have been made by others than Edison to perfect magnetic separation and bring it up to something like commercial practice.	Thus we find numerous instances throughout the last century of experiments along this line; and particularly in the last forty or fifty years, during which various attempts have been made by others than Edison to perfect magnetic separation and bring it up to something like commercial practice.	false	297.78	312.94	22.542492
2774_131722_000008_000003	At the time he took up the matter, however, no one seems to have realized the full meaning of the tremendous problems involved.	At the time he took up the matter, however, no one seems to have realized the full meaning of the tremendous problems involved.	true	313.34	320.14	23.066061
2774_131722_000009_000000	From 1880 to 1885, while still very busy in the development of his electric-light system, Edison found opportunity to plan crushing and separating machinery.	From eighteen eighty to eighteen eighty five, while still very busy in the development of his electric light system, Edison found opportunity to plan crushing and separating machinery.	true	320.6	329.59	21.678188
2774_131722_000009_000001	His first patent on the subject was applied for and issued early in 1880.	His first patent on the subject was applied for and issued early in eighteen eighty.	true	329.78	333.7	23.87877
2774_131722_000009_000002	He decided, after mature deliberation, that the magnetic separation of low-grade ores on a colossal scale at a low cost was the only practical way of supplying the furnace-man with a high quality of iron ore.	He decided, after mature deliberation, that the magnetic separation of low grade ores on a colossal scale at a low cost was the only practical way of supplying the furnace man with a high quality of iron ore.	false	333.89	345.76	22
2774_131722_000009_000003	It was his opinion that it was cheaper to quarry and concentrate lean ore in a big way than to attempt to mine, under adverse circumstances, limited bodies of high-grade ore.	It was his opinion that it was cheaper to quarry and concentrate lean ore in a big way than to attempt to mine, under adverse circumstances, limited bodies of high grade ore.	true	346.49	355.36	20
2774_131722_000009_000004	He appreciated fully the serious nature of the gigantic questions involved; and his plans were laid with a view to exercising the utmost economy in the design and operation of the plant in which he contemplated the automatic handling of many thousands of tons of material daily.	He appreciated fully the serious nature of the gigantic questions involved; and his plans were laid with a view to exercising the utmost economy in the design and operation of the plant in which he contemplated the automatic handling of many thousands of tons of material daily.	false	355.82	370.3	21
2774_131722_000009_000005	It may be stated as broadly true that Edison engineered to handle immense masses of stuff automatically, while his predecessors aimed chiefly at close separation.	It may be stated as broadly true that Edison engineered to handle immense masses of stuff automatically, while his predecessors aimed chiefly at close separation.	true	370.61	379.39	24.349655
2774_131722_000010_000000	Reduced to its barest, crudest terms, the proposition of magnetic separation is simplicity itself.	Reduced to its barest, crudest terms, the proposition of magnetic separation is simplicity itself.	true	379.4	384.82	24.604053
2774_131722_000010_000001	A piece of the ore (magnetite) may be reduced to powder and the ore particles separated therefrom by the help of a simple hand magnet.	A piece of the ore (magnetite) may be reduced to powder and the ore particles separated therefrom by the help of a simple hand magnet.	false	384.86	392.07	22.988073
2774_131722_000010_000002	To elucidate the basic principle of Edison's method, let the crushed ore fall in a thin stream past such a magnet. The magnetic particles are attracted out of the straight line of the falling stream, and being heavy, gravitate inwardly and fall to one side of a partition placed below.	To elucidate the basic principle of Edison's method, let the crushed ore fall in a thin stream past such a magnet. The magnetic particles are attracted out of the straight line of the falling stream, and being heavy, gravitate inwardly and fall to one side of a partition placed below.	false	392.07	406.21	22.974588
2774_131722_000010_000003	The non-magnetic gangue descends in a straight line to the other side of the partition.	The non magnetic gangue descends in a straight line to the other side of the partition.	true	406.82	411.31	21
2774_131722_000010_000004	Thus a complete separation is effected.	Thus a complete separation is effected.	true	411.41	413.59	24.941912
2774_131722_000011_000000	Simple though the principle appears, it was in its application to vast masses of material and in the solving of great engineering problems connected therewith that Edison's originality made itself manifest in the concentrating works that he established in New Jersey, early in the nineties.	Simple though the principle appears, it was in its application to vast masses of material and in the solving of great engineering problems connected therewith that Edison's originality made itself manifest in the concentrating works that he established in New Jersey, early in the nineties.	true	414.17	428.29	23.05551
2774_131722_000011_000001	Not only did he develop thoroughly the refining of the crushed ore, so that after it had passed the four hundred and eighty magnets in the mill, the concentrates came out finally containing 91 to 93 per cent. of iron oxide, but he also devised collateral machinery, methods and processes all fundamental in their nature.	Not only did he develop thoroughly the refining of the crushed ore, so that after it had passed the four hundred and eighty magnets in the mill, the concentrates came out finally containing ninety one to ninety three per cent. of iron oxide, but he also devised collateral machinery, methods and processes all fundamental in their nature.	false	428.78	446.11	22.86316
2774_131722_000011_000002	These are too numerous to specify in detail, as they extended throughout the various ramifications of the plant, but the principal ones are worthy of mention, such as:	These are too numerous to specify in detail, as they extended throughout the various ramifications of the plant, but the principal ones are worthy of mention, such as:	true	446.21	454.75	22.79387
2774_131722_000012_000000	The giant rolls (for crushing). Intermediate rolls. Three-high rolls. Giant cranes (215 feet long span). Vertical dryer. Belt conveyors. Air separation. Mechanical separation of phosphorus. Briquetting.	The giant rolls (for crushing). Intermediate rolls. Three high rolls. Giant cranes (two hundred fifteen feet long span). Vertical dryer. Belt conveyors. Air separation. Mechanical separation of phosphorus. Briquetting.	false	455.24	469.54	23.766085
2774_131722_000013_000000	That Mr. Edison's work was appreciated at the time is made evident by the following extract from an article describing the Edison plant, published in The Iron Age of October 28, 1897; in which, after mentioning his struggle with adverse conditions, it says: "There is very little that is showy, from the popular point of view, in the gigantic work which Mr. Edison has done during these years, but to those who are capable of grasping the difficulties encountered, Mr. Edison appears in the new light of a brilliant constructing engineer grappling with technical and commercial problems of the highest order.	That mr Edison's work was appreciated at the time is made evident by the following extract from an article describing the Edison plant, published in The Iron Age of october twenty eighth eighteen ninety seven; in which, after mentioning his struggle with adverse conditions, it says: "There is very little that is showy, from the popular point of view, in the gigantic work which mr Edison has done during these years, but to those who are capable of grasping the difficulties encountered, mr Edison appears in the new light of a brilliant constructing engineer grappling with technical and commercial problems of the highest order.	true	470.21	501.55	22.250008
