4243_187024_000000_000000	CHAPTER 29	CHAPTER twenty nine
4243_187024_000001_000000	Chris put down his spyglass and the two boys, hidden on the piny knoll, watched the procession out of sight.	Chris put down his spyglass and the two boys, hidden on the piny knoll, watched the procession out of sight.
4243_187024_000002_000000	"I'm supposed to take something from her," Chris said with his eyes sparkling, "but I know now what I'm going to give her back in return. I feel sort of sorry for that girl," he added thoughtfully.	"I'm supposed to take something from her," Chris said with his eyes sparkling, "but I know now what I'm going to give her back in return. I feel sort of sorry for that girl," he added thoughtfully.
4243_187024_000003_000001	"What-all comes next, and have we some more of those dates?"	"What all comes next, and have we some more of those dates?"
4243_187024_000004_000000	Chris passed him some.	Chris passed him some.
4243_187024_000004_000001	"We have to wait until dusk anyway," he said, his voice abstracted, "and by the look of the light that won't be long."	"We have to wait until dusk anyway," he said, his voice abstracted, "and by the look of the light that won't be long."
4243_187024_000005_000001	Too precipitous on which to build houses, it rose far above the surrounding roofs of Peking.	Too precipitous on which to build houses, it rose far above the surrounding roofs of Peking.
4243_187024_000005_000002	The green and scarlet of curved tiles spread under the boys' sight like a curling sea.	The green and scarlet of curved tiles spread under the boys' sight like a curling sea.
4243_187024_000006_000000	Listening and watching, the boys gathered by the silver trumpet notes that the Princess and her retinue had re-entered the palace walls by another gate.	Listening and watching, the boys gathered by the silver trumpet notes that the Princess and her retinue had re-entered the palace walls by another gate.
4243_187024_000007_000000	Thinking about it Chris mused: I wonder if that first palanquin held someone she's to marry?	Thinking about it Chris mused: I wonder if that first palanquin held someone she's to marry?
4243_187024_000007_000001	It could be.	It could be.
4243_187024_000007_000003	I can't imagine a woman leaving a thing like that behind.	I can't imagine a woman leaving a thing like that behind.
4243_187024_000007_000004	He paused, remembering.	He paused, remembering.
4243_187024_000007_000005	She held a spray of jeweled flowers in her hand, maybe off the Tree, and I never saw anything like it.	She held a spray of jeweled flowers in her hand, maybe off the Tree, and I never saw anything like it.
4243_187024_000007_000006	Well, can't do a thing until dusk comes down.	Well, can't do a thing until dusk comes down.
4243_187024_000008_000000	The evening was not long in coming, and Chris, who had been sitting cross-legged under the little crooked pines, looked across with great concern to where Amos lay on his back, dozing.	The evening was not long in coming, and Chris, who had been sitting cross legged under the little crooked pines, looked across with great concern to where amos lay on his back, dozing.
4243_187024_000009_000000	I can't take him along, Chris thought, and I can't leave him alone, if I should get caught.	I can't take him along, Chris thought, and I can't leave him alone, if I should get caught.
4243_187024_000009_000001	What in the world do I do?	What in the world do I do?
4243_187024_000010_000000	Then, remembering the bag of magic "odds and ends," Chris put his hand inside it and drew out a small folded piece of silk and netting.	Then, remembering the bag of magic "odds and ends," Chris put his hand inside it and drew out a small folded piece of silk and netting.
4243_187024_000010_000001	On it a piece of paper, like a label, showed Mr. Wicker's fine script.	On it a piece of paper, like a label, showed mr Wicker's fine script.
4243_187024_000010_000002	Chris looked closer and read: "Strike 3."	Chris looked closer and read: "Strike three."
4243_187024_000011_000000	"Strike 3."	"Strike three."
4243_187024_000012_000000	Chris held the folded object in his hand, and then glanced at Amos. Amos slept.	Chris held the folded object in his hand, and then glanced at amos. amos slept.
4243_187024_000012_000001	Going softly out of the pine grove to a narrow ledge of rock where he was out of sight, Chris put the object down and said: "Strike three."	Going softly out of the pine grove to a narrow ledge of rock where he was out of sight, Chris put the object down and said: "Strike three."
4243_187024_000013_000000	Nothing happened.	Nothing happened.
4243_187024_000013_000001	The object remained an object.	The object remained an object.
4243_187024_000013_000002	Then, suddenly understanding, Chris struck the stone ledge three times.	Then, suddenly understanding, Chris struck the stone ledge three times.
4243_187024_000014_000000	At once the folded object began to unfold itself and to puff itself up like a little mushroom.	At once the folded object began to unfold itself and to puff itself up like a little mushroom.
4243_187024_000014_000001	In a matter of seconds, Chris could see what it was becoming, and before he could wink ten times, a balloon with a basket hanging from it, quite big enough for two boys, hung swaying in the air.	In a matter of seconds, Chris could see what it was becoming, and before he could wink ten times, a balloon with a basket hanging from it, quite big enough for two boys, hung swaying in the air.
4243_187024_000014_000002	Chris examined it with pleasure and then struck the ground three times again.	Chris examined it with pleasure and then struck the ground three times again.
4243_187024_000014_000003	The balloon gently collapsed and refolded itself, basket and all, into its original neat shape.	The balloon gently collapsed and refolded itself, basket and all, into its original neat shape.
4243_187024_000016_000000	"Now, if that isn't handy!" Chris exclaimed.	"Now, if that isn't handy!" Chris exclaimed.
4243_187024_000017_000000	"Amos!" he said, shaking his friend's shoulder, "it's time for me to go.	"amos!" he said, shaking his friend's shoulder, "it's time for me to go.
4243_187024_000017_000001	Are you awake?"	Are you awake?"
4243_187024_000018_000000	Amos blinked a few times and said he thought so.	amos blinked a few times and said he thought so.
4243_187024_000019_000000	"Then listen to me," Chris told him earnestly, "and listen hard!" Amos sat up more alertly.	"Then listen to me," Chris told him earnestly, "and listen hard!" amos sat up more alertly.
4243_187024_000023_000001	"Well, I don't know how you could, myself.	"Well, I don't know how you could, myself.
4243_187024_000023_000002	But don't you cross any bridges until you come to them.	But don't you cross any bridges until you come to them.
4243_187024_000023_000003	Look." He held out the folded balloon.	Look." He held out the folded balloon.
4243_187024_000023_000004	"If I'm not back by two sunups from now--I may have to hide all during tomorrow--if I'm not back by then, put this package out beyond the trees in the clearing.	"If I'm not back by two sunups from now-I may have to hide all during tomorrow-if I'm not back by then, put this package out beyond the trees in the clearing.
4243_187024_000023_000005	That's very important.	That's very important.
4243_187024_000023_000006	You've got that?"	You've got that?"
4243_187024_000024_000000	"I haven't got anything but a few old dried-up fruits," Amos pouted. "That's all."	"I haven't got anything but a few old dried up fruits," amos pouted. "That's all."
4243_187024_000025_000001	"I mean, do you understand that much?"	"I mean, do you understand that much?"
4243_187024_000026_000000	Amos brightened at once and broke into a broad grin.	amos brightened at once and broke into a broad grin.
4243_187024_000027_000000	"Oh yes, of course.	"Oh yes, of course.
4243_187024_000027_000001	Why didn't you say so in the first place?	Why didn't you say so in the first place?
4243_187024_000027_000002	You said, put the package out in the clear.	You said, put the package out in the clear.
