225_131256_000000_000000	IV.	i v.	false	3.66	5.49	25.044266
225_131256_000001_000000	In the course of the next day the first of the usual betrothal visits were exchanged.	In the course of the next day the first of the usual betrothal visits were exchanged.	false	5.49	32.53	24.221037
225_131256_000001_000001	The New York ritual was precise and inflexible in such matters; and in conformity with it Newland Archer first went with his mother and sister to call on Mrs. Welland, after which he and Mrs. Welland and May drove out to old Mrs. Manson Mingott's to receive that venerable ancestress's blessing.	The New York ritual was precise and inflexible in such matters; and in conformity with it Newland Archer first went with his mother and sister to call on mrs Welland, after which he and mrs Welland and May drove out to old mrs Manson Mingott's to receive that venerable ancestress's blessing.	false	33.14	54.25	23.082504
225_131256_000002_000000	A visit to Mrs. Manson Mingott was always an amusing episode to the young man.	A visit to mrs Manson Mingott was always an amusing episode to the young man.	true	56.12	61.69	21.219927
225_131256_000002_000001	The house in itself was already an historic document, though not, of course, as venerable as certain other old family houses in University Place and lower Fifth Avenue.	The house in itself was already an historic document, though not, of course, as venerable as certain other old family houses in University Place and lower Fifth Avenue.	true	62.66	74.38	23.368021
225_131256_000002_000002	Those were of the purest 1830, with a grim harmony of cabbage-rose-garlanded carpets, rosewood consoles, round-arched fire-places with black marble mantels, and immense glazed book-cases of mahogany; whereas old Mrs. Mingott, who had built her house later, had bodily cast out the massive furniture of her prime, and mingled with the Mingott heirlooms the frivolous upholstery of the Second Empire.	Those were of the purest eighteen thirty, with a grim harmony of cabbage rose garlanded carpets, rosewood consoles, round arched fire places with black marble mantels, and immense glazed book cases of mahogany; whereas old mrs Mingott, who had built her house later, had bodily cast out the massive furniture of her prime, and mingled with the Mingott heirlooms the frivolous upholstery of the Second Empire.	false	75.56	106.45	22.772148
225_131256_000002_000003	It was her habit to sit in a window of her sitting-room on the ground floor, as if watching calmly for life and fashion to flow northward to her solitary doors.	It was her habit to sit in a window of her sitting room on the ground floor, as if watching calmly for life and fashion to flow northward to her solitary doors.	false	108.53	120.1	21.897373
225_131256_000002_000004	She seemed in no hurry to have them come, for her patience was equalled by her confidence.	She seemed in no hurry to have them come, for her patience was equalled by her confidence.	true	121.46	126.4	22.431423
225_131256_000002_000005	She was sure that presently the hoardings, the quarries, the one-story saloons, the wooden green-houses in ragged gardens, and the rocks from which goats surveyed the scene, would vanish before the advance of residences as stately as her own--perhaps (for she was an impartial woman) even statelier; and that the cobble-stones over which the old clattering omnibuses bumped would be replaced by smooth asphalt, such as people reported having seen in Paris.	She was sure that presently the hoardings, the quarries, the one story saloons, the wooden green houses in ragged gardens, and the rocks from which goats surveyed the scene, would vanish before the advance of residences as stately as her own-perhaps (for she was an impartial woman) even statelier; and that the cobble stones over which the old clattering omnibuses bumped would be replaced by smooth asphalt, such as people reported having seen in Paris.	false	126.95	159.25	23.33794
225_131256_000002_000006	Meanwhile, as every one she cared to see came to HER (and she could fill her rooms as easily as the Beauforts, and without adding a single item to the menu of her suppers), she did not suffer from her geographic isolation.	Meanwhile, as every one she cared to see came to HER (and she could fill her rooms as easily as the Beauforts, and without adding a single item to the menu of her suppers), she did not suffer from her geographic isolation.	true	161.48	177.37	22.31488
225_131256_000003_000000	The immense accretion of flesh which had descended on her in middle life like a flood of lava on a doomed city had changed her from a plump active little woman with a neatly-turned foot and ankle into something as vast and august as a natural phenomenon.	The immense accretion of flesh which had descended on her in middle life like a flood of lava on a doomed city had changed her from a plump active little woman with a neatly turned foot and ankle into something as vast and august as a natural phenomenon.	true	179.27	196.39	20.781952
225_131256_000003_000001	She had accepted this submergence as philosophically as all her other trials, and now, in extreme old age, was rewarded by presenting to her mirror an almost unwrinkled expanse of firm pink and white flesh, in the centre of which the traces of a small face survived as if awaiting excavation.	She had accepted this submergence as philosophically as all her other trials, and now, in extreme old age, was rewarded by presenting to her mirror an almost unwrinkled expanse of firm pink and white flesh, in the centre of which the traces of a small face survived as if awaiting excavation.	false	197.39	221.2	23.302301
225_131256_000003_000002	A flight of smooth double chins led down to the dizzy depths of a still-snowy bosom veiled in snowy muslins that were held in place by a miniature portrait of the late Mr. Mingott; and around and below, wave after wave of black silk surged away over the edges of a capacious armchair, with two tiny white hands poised like gulls on the surface of the billows.	A flight of smooth double chins led down to the dizzy depths of a still snowy bosom veiled in snowy muslins that were held in place by a miniature portrait of the late mr Mingott; and around and below, wave after wave of black silk surged away over the edges of a capacious armchair, with two tiny white hands poised like gulls on the surface of the billows.	true	223.04	252.52	23.671968
