1061_146197_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	3.99	6.07	19
1061_146197_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	6.32	9.58	21
1061_146197_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	9.89	15.45	22.040356
1061_146197_000001_000000	THE BIRDS' CHRISTMAS CAROL ***	THE BIRDS' CHRISTMAS CAROL asterisk asterisk asterisk	false	15.45	16.26	17.228056
1061_146197_000002_000000	Produced by Judith Boss.	Produced by Judith Boss.	false	16.26	17.1	19
1061_146197_000002_000001	HTML version by Al Haines.	h t m l version by Al Haines.	false	17.1	19.44	19.586632
1061_146197_000003_000000	THE BIRDS' CHRISTMAS CAROL	THE BIRDS' CHRISTMAS CAROL	true	19.44	20.91	18
1061_146197_000004_000000	BY	BY	true	20.91	21.18	26
1061_146197_000005_000000	KATE DOUGLAS WIGGIN	KATE DOUGLAS WIGGIN	true	21.18	22.41	16
1061_146197_000006_000000	To	To	false	22.41	22.44	-20
1061_146197_000007_000000	The Three Dearest Children in the World, BERTHA, LUCY, AND HORATIO.	The Three Dearest Children in the World, BERTHA, LUCY, AND HORATIO.	false	22.44	23.04	3
1061_146197_000008_000000	"O little ones, ye cannot know The power with which ye plead, Nor why, as on through life we go, The little child doth lead."	"O little ones, ye cannot know The power with which ye plead, Nor why, as on through life we go, The little child doth lead."	false	23.04	24.36	23.787697
1061_146197_000009_000000	CONTENTS	CONTENTS	false	24.36	24.42	-20
1061_146197_000010_000000	I. A LITTLE SNOW-BIRD II.	I. A LITTLE SNOW BIRD two.	false	24.42	25.86	20.065748
1061_146197_000010_000001	DROOPING WINGS III.	DROOPING WINGS three.	false	25.86	25.95	-2
1061_146197_000010_000002	THE BIRD'S NEST IV.	THE BIRD'S NEST i v.	false	25.95	26.07	-7
1061_146197_000010_000003	"BIRDS OF A FEATHER FLOCK TOGETHER" V. SOME OTHER BIRDS ARE TAUGHT TO FLY VI.	"BIRDS OF A FEATHER FLOCK TOGETHER" v SOME OTHER BIRDS ARE TAUGHT TO FLY VI.	false	26.07	26.46	-20
1061_146197_000010_000004	"WHEN THE PIE WAS OPENED, THE BIRDS BEGAN TO SING" VII.	"WHEN THE PIE WAS OPENED, THE BIRDS BEGAN TO SING" seven.	false	26.46	26.73	1
