1061_146197_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
1061_146197_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.
1061_146197_000004_000000	BY	BY
1061_146197_000014_000000	It was very early Christmas morning, and in the stillness of the dawn, with the soft snow falling on the housetops, a little child was born in the Bird household.	It was very early Christmas morning, and in the stillness of the dawn, with the soft snow falling on the housetops, a little child was born in the Bird household.
1061_146197_000015_000000	They had intended to name the baby Lucy, if it were a girl; but they hadn't expected her on Christmas morning, and a real Christmas baby was not to be lightly named--the whole family agreed in that.	They had intended to name the baby Lucy, if it were a girl; but they hadn't expected her on Christmas morning, and a real Christmas baby was not to be lightly named-the whole family agreed in that.
1061_146197_000016_000000	They were consulting about it in the nursery.	They were consulting about it in the nursery.
1061_146197_000018_000000	Hugh, the "hitherto baby," if that is a possible term, sat in one corner and said nothing, but felt, in some mysterious way, that his nose was out of joint; for there was a newer baby now, a possibility he had never taken into consideration; and the "first girl," too, a still higher development of treason, which made him actually green with jealousy.	Hugh, the "hitherto baby," if that is a possible term, sat in one corner and said nothing, but felt, in some mysterious way, that his nose was out of joint; for there was a newer baby now, a possibility he had never taken into consideration; and the "first girl," too, a still higher development of treason, which made him actually green with jealousy.
1061_146197_000020_000001	She was a person of so great decision of character that she would have blushed at such a thing; she said that to let blessed babies go dangling and dawdling about without names, for months and months, was enough to ruin them for life.	She was a person of so great decision of character that she would have blushed at such a thing; she said that to let blessed babies go dangling and dawdling about without names, for months and months, was enough to ruin them for life.
1061_146197_000020_000002	She also said that if one could not make up one's mind in twenty-four hours it was a sign that--but I will not repeat the rest, as it might prejudice you against the most charming woman in the world.	She also said that if one could not make up one's mind in twenty four hours it was a sign that-but I will not repeat the rest, as it might prejudice you against the most charming woman in the world.
1061_146197_000023_000000	Meanwhile dear Mrs. Bird lay in her room, weak, but safe and happy with her sweet girl baby by her side and the heaven of motherhood opening before her.	Meanwhile dear mrs Bird lay in her room, weak, but safe and happy with her sweet girl baby by her side and the heaven of motherhood opening before her.
1061_146197_000023_000001	Nurse was making gruel in the kitchen, and the room was dim and quiet.	Nurse was making gruel in the kitchen, and the room was dim and quiet.
1061_146197_000024_000001	It was the boy-choir singing Christmas anthems. Higher and higher rose the clear, fresh voices, full of hope and cheer, as children's voices always are.	It was the boy choir singing Christmas anthems. Higher and higher rose the clear, fresh voices, full of hope and cheer, as children's voices always are.
1061_146197_000024_000002	Fuller and fuller grew the burst of melody as one glad strain fell upon another in joyful harmony:	Fuller and fuller grew the burst of melody as one glad strain fell upon another in joyful harmony:
1061_146197_000028_000000	Mrs. Bird thought, as the music floated in upon her gentle sleep, that she had slipped into heaven with her new baby, and that the angels were bidding them welcome.	mrs Bird thought, as the music floated in upon her gentle sleep, that she had slipped into heaven with her new baby, and that the angels were bidding them welcome.
1061_146197_000029_000000	She opened her eyes and drew the baby closer.	She opened her eyes and drew the baby closer.
1061_146197_000029_000001	It looked like a rose dipped in milk, she thought, this pink and white blossom of girlhood, or like a pink cherub, with its halo of pale yellow hair, finer than floss silk.	It looked like a rose dipped in milk, she thought, this pink and white blossom of girlhood, or like a pink cherub, with its halo of pale yellow hair, finer than floss silk.
1061_146197_000032_000000	"Why, my baby," whispered Mrs. Bird in soft surprise, "I had forgotten what day it was.	"Why, my baby," whispered mrs Bird in soft surprise, "I had forgotten what day it was.
1061_146197_000032_000001	You are a little Christmas child, and we will name you 'Carol'--mother's little Christmas Carol!"	You are a little Christmas child, and we will name you 'Carol'--mother's little Christmas Carol!"
1061_146197_000033_000000	"What!" said Mr. Bird, coming in softly and closing the door behind him.	"What!" said mr Bird, coming in softly and closing the door behind him.
1061_146197_000035_000000	"I think it is a charming name, dear heart, and that it sounds just like you, and I hope that, being a girl, this baby has some chance of being as lovely as her mother," at which speech from the baby's papa, Mrs. Bird, though she was as weak and tired as she could be, blushed with happiness.	"I think it is a charming name, dear heart, and that it sounds just like you, and I hope that, being a girl, this baby has some chance of being as lovely as her mother," at which speech from the baby's papa, mrs Bird, though she was as weak and tired as she could be, blushed with happiness.
