3866_173230_000000_000000	As that aspiration escaped the client's lips, the lawyer got gayly into his gig.	As that aspiration escaped the client's lips, the lawyer got gayly into his gig.	false	0	11.28	14.86561
3866_173230_000000_000001	"Hie away, old girl!" cried Pedgift Senior, patting the fast-trotting mare with the end of his whip.	"h i e away, old girl!" cried Pedgift Senior, patting the fast trotting mare with the end of his whip.	false	11.28	19.02	17
3866_173230_000000_000002	"I never keep a lady waiting--and I've got business to-night with one of your own sex!"	"I never keep a lady waiting-and I've got business to night with one of your own sex!"	false	19.02	29.04	17.989304
3866_173230_000001_000000	VII.	seven.	true	29.04	29.71	18.261015
3866_173230_000001_000001	THE MARTYRDOM OF MISS GWILT.	THE MARTYRDOM OF MISS GWILT.	true	29.99	32.26	17
3866_173230_000002_000000	The outskirts of the little town of Thorpe Ambrose, on the side nearest to "the great house," have earned some local celebrity as exhibiting the prettiest suburb of the kind to be found in East Norfolk.	The outskirts of the little town of Thorpe Ambrose, on the side nearest to "the great house," have earned some local celebrity as exhibiting the prettiest suburb of the kind to be found in East Norfolk.	true	33.08	45.46	15
3866_173230_000002_000001	Here the villas and gardens are for the most part built and laid out in excellent taste, the trees are in the prime of their growth, and the healthy common beyond the houses rises and falls in picturesque and delightful variety of broken ground.	Here the villas and gardens are for the most part built and laid out in excellent taste, the trees are in the prime of their growth, and the healthy common beyond the houses rises and falls in picturesque and delightful variety of broken ground.	false	46.25	63.64	16
3866_173230_000002_000002	The rank, fashion, and beauty of the town make this place their evening promenade; and when a stranger goes out for a drive, if he leaves it to the coachman, the coachman starts by way of the common as a matter of course.	The rank, fashion, and beauty of the town make this place their evening promenade; and when a stranger goes out for a drive, if he leaves it to the coachman, the coachman starts by way of the common as a matter of course.	true	64.25	79.48	19.311104
3866_173230_000003_000000	On the opposite side, that is to say, on the side furthest from "the great house," the suburbs (in the year 1851) were universally regarded as a sore subject by all persons zealous for the reputation of the town.	On the opposite side, that is to say, on the side furthest from "the great house," the suburbs (in the year eighteen fifty one) were universally regarded as a sore subject by all persons zealous for the reputation of the town.	true	80.33	97.15	18.879467
3866_173230_000004_000000	Here nature was uninviting, man was poor, and social progress, as exhibited under the form of building, halted miserably.	Here nature was uninviting, man was poor, and social progress, as exhibited under the form of building, halted miserably.	true	98.6	108.88	19.184147
3866_173230_000004_000001	The streets dwindled feebly, as they receded from the center of the town, into smaller and smaller houses, and died away on the barren open ground into an atrophy of skeleton cottages.	The streets dwindled feebly, as they receded from the center of the town, into smaller and smaller houses, and died away on the barren open ground into an atrophy of skeleton cottages.	false	109.61	122.32	17
