2299_6524_000001_000000	CHAPTER IV	CHAPTER four
2299_6524_000003_000001	I stupidly gave permission for the third motor to be got out this morning.	I stupidly gave permission for the third motor to be got out this morning.
2299_6524_000003_000002	This was done first thing and the motor placed on firm ice.	This was done first thing and the motor placed on firm ice.
2299_6524_000003_000003	Later Campbell told me one of the men had dropped a leg through crossing a sludgy patch some 200 yards from the ship.	Later Campbell told me one of the men had dropped a leg through crossing a sludgy patch some two hundred yards from the ship.
2299_6524_000003_000006	I started for the shore with a single man load, leaving Campbell looking about for the best crossing for the motor.	I started for the shore with a single man load, leaving Campbell looking about for the best crossing for the motor.
2299_6524_000003_000007	I sent Meares and the dogs over with a can of petrol on arrival.	I sent Meares and the dogs over with a can of petrol on arrival.
2299_6524_000003_000008	After some twenty minutes he returned to tell me the motor had gone through.	After some twenty minutes he returned to tell me the motor had gone through.
2299_6524_000003_000009	Soon after Campbell and Day arrived to confirm the dismal tidings.	Soon after Campbell and Day arrived to confirm the dismal tidings.
2299_6524_000003_000010	It appears that getting frightened of the state of affairs Campbell got out a line and attached it to the motor--then manning the line well he attempted to rush the machine across the weak place.	It appears that getting frightened of the state of affairs Campbell got out a line and attached it to the motor-then manning the line well he attempted to rush the machine across the weak place.
2299_6524_000003_000011	A man on the rope, Wilkinson, suddenly went through to the shoulders, but was immediately hauled out.	A man on the rope, Wilkinson, suddenly went through to the shoulders, but was immediately hauled out.
2299_6524_000003_000013	The men kept hold of the rope, but it cut through the ice towards them with an ever increasing strain, obliging one after another to let go.	The men kept hold of the rope, but it cut through the ice towards them with an ever increasing strain, obliging one after another to let go.
2299_6524_000003_000014	Half a minute later nothing remained but a big hole.	Half a minute later nothing remained but a big hole.
2299_6524_000003_000015	Perhaps it was lucky there was no accident to the men, but it's a sad incident for us in any case.	Perhaps it was lucky there was no accident to the men, but it's a sad incident for us in any case.
2299_6524_000003_000016	It's a big blow to know that one of the two best motors, on which so much time and trouble have been spent, now lies at the bottom of the sea.	It's a big blow to know that one of the two best motors, on which so much time and trouble have been spent, now lies at the bottom of the sea.
2299_6524_000003_000017	The actual spot where the motor disappeared was crossed by its fellow motor with a very heavy load as well as by myself with heavy ponies only yesterday.	The actual spot where the motor disappeared was crossed by its fellow motor with a very heavy load as well as by myself with heavy ponies only yesterday.
2299_6524_000005_000000	It was clear that we were practically cut off, certainly as regards heavy transport.	It was clear that we were practically cut off, certainly as regards heavy transport.
2299_6524_000005_000001	Bowers went back again with Meares and managed to ferry over some wind clothes and odds and ends.	Bowers went back again with Meares and managed to ferry over some wind clothes and odds and ends.
2299_6524_000006_000000	At 6 I went to the ice edge farther to the north.	At six I went to the ice edge farther to the north.
2299_6524_000006_000001	I found a place where the ship could come and be near the heavy ice over which sledging is still possible.	I found a place where the ship could come and be near the heavy ice over which sledging is still possible.
