2256_137627_000000_000000	CHAPTER XXXVI.	CHAPTER thirty six.	false	2.25	3.21	23.874681
2256_137627_000000_000001	How Palomides came to the castle where Sir Tristram was, and of the quest that Sir Launcelot and ten knights made for Sir Tristram.	How Palomides came to the castle where Sir Tristram was, and of the quest that Sir Launcelot and ten knights made for Sir Tristram.	false	3.21	27.03	21.71909
2256_137627_000001_000000	AND when he came to the land he took off his harness, and sat roaring and crying as a man out of his mind.	AND when he came to the land he took off his harness, and sat roaring and crying as a man out of his mind.	true	27.03	34.42	22
2256_137627_000001_000001	Right so came a damosel even by Sir Palomides, that was sent from Sir Gawaine and his brother unto Sir Mordred, that lay sick in the same place with that old knight where Sir Tristram was.	Right so came a damosel even by Sir Palomides, that was sent from Sir Gawaine and his brother unto Sir Mordred, that lay sick in the same place with that old knight where Sir Tristram was.	false	35.3	47.02	20
2256_137627_000001_000002	For, as the French book saith, Sir Persides hurt so Sir Mordred a ten days afore; and had it hot been for the love of Sir Gawaine and his brother, Sir Persides had slain Sir Mordred.	For, as the French book saith, Sir Persides hurt so Sir Mordred a ten days afore; and had it hot been for the love of Sir Gawaine and his brother, Sir Persides had slain Sir Mordred.	false	47.78	59.8	21.23779
2256_137627_000001_000003	And so this damosel came by Sir Palomides, and she and he had language together, the which pleased neither of them; and so the damosel rode her ways till she came to the old knight's place, and there she told that old knight how she met with the woodest knight by adventure that ever she met withal. What bare he in his shield? said Sir Tristram.	And so this damosel came by Sir Palomides, and she and he had language together, the which pleased neither of them; and so the damosel rode her ways till she came to the old knight's place, and there she told that old knight how she met with the woodest knight by adventure that ever she met withal. What bare he in his shield? said Sir Tristram.	false	60.44	83.62	21.2914
2256_137627_000001_000004	It was indented with white and black, said the damosel.	It was indented with white and black, said the damosel.	true	84.14	87.88	27.50368
2256_137627_000001_000005	Ah, said Sir Tristram, that was Sir Palomides, the good knight.	Ah, said Sir Tristram, that was Sir Palomides, the good knight.	false	88.43	93.64	22.56816
2256_137627_000001_000006	For well I know him, said Sir Tristram, for one of the best knights living in this realm.	For well I know him, said Sir Tristram, for one of the best knights living in this realm.	true	93.65	98.89	19.48004
2256_137627_000001_000007	Then that old knight took a little hackney, and rode for Sir Palomides, and brought him unto his own manor; and full well knew Sir Tristram Sir Palomides, but he said but little, for at that time Sir Tristram was walking upon his feet, and well amended of his hurts; and always when Sir Palomides saw Sir Tristram he would behold him full marvellously, and ever him seemed that he had seen him.	Then that old knight took a little hackney, and rode for Sir Palomides, and brought him unto his own manor; and full well knew Sir Tristram Sir Palomides, but he said but little, for at that time Sir Tristram was walking upon his feet, and well amended of his hurts; and always when Sir Palomides saw Sir Tristram he would behold him full marvellously, and ever him seemed that he had seen him.	false	99.5	125.5	20.5445
2256_137627_000001_000008	Then would he say unto Sir Dinadan: An ever I may meet with Sir Tristram he shall not escape mine hands.	Then would he say unto Sir Dinadan: An ever I may meet with Sir Tristram he shall not escape mine hands.	false	125.9	132.55	21
2256_137627_000001_000009	I marvel, said Sir Dinadan, that ye boast behind Sir Tristram, for it is but late that he was in your hands, and ye in his hands; why would ye not hold him when ye had him? for I saw myself twice or thrice that ye gat but little worship of Sir Tristram.	I marvel, said Sir Dinadan, that ye boast behind Sir Tristram, for it is but late that he was in your hands, and ye in his hands; why would ye not hold him when ye had him? for I saw myself twice or thrice that ye gat but little worship of Sir Tristram.	false	133.28	150.25	19.72675
2256_137627_000001_000010	Then was Sir Palomides ashamed.	Then was Sir Palomides ashamed.	true	150.62	153.1	23.765554
