816_2301_000000_000000	The next day came a fresh sensation.	The next day came a fresh sensation.	false	0	0.99	28.965763
816_2301_000000_000001	Polk Street read of it in the morning papers.	Polk Street read of it in the morning papers.	false	0.99	3.21	25.105242
816_2301_000000_000002	Towards midnight on the day of the murder Zerkow's body had been found floating in the bay near Black Point.	Towards midnight on the day of the murder Zerkow's body had been found floating in the bay near Black Point.	false	3.21	8.49	22.950409
816_2301_000000_000003	No one knew whether he had drowned himself or fallen from one of the wharves.	No one knew whether he had drowned himself or fallen from one of the wharves.	false	8.49	9.57	38.949833
816_2301_000000_000004	Clutched in both his hands was a sack full of old and rusty pans, tin dishes--fully a hundred of them--tin cans, and iron knives and forks, collected from some dump heap.	Clutched in both his hands was a sack full of old and rusty pans, tin dishes-fully a hundred of them-tin cans, and iron knives and forks, collected from some dump heap.	false	9.57	14.64	26.556376
816_2301_000001_000000	"And all this," exclaimed Trina, "on account of a set of gold dishes that never existed."	"And all this," exclaimed Trina, "on account of a set of gold dishes that never existed."	false	14.64	17.415	25.130245
816_2301_000002_000000	CHAPTER 17	CHAPTER seventeen	true	17.415	18.88	24.199957
816_2301_000003_000000	One day, about a fortnight after the coroner's inquest had been held, and when the excitement of the terrible affair was calming down and Polk Street beginning to resume its monotonous routine, Old Grannis sat in his clean, well-kept little room, in his cushioned armchair, his hands lying idly upon his knees.	One day, about a fortnight after the coroner's inquest had been held, and when the excitement of the terrible affair was calming down and Polk Street beginning to resume its monotonous routine, Old Grannis sat in his clean, well kept little room, in his cushioned armchair, his hands lying idly upon his knees.	true	20.78	38.53	24.74367
816_2301_000003_000001	It was evening; not quite time to light the lamps.	It was evening; not quite time to light the lamps.	true	39.08	41.98	27
816_2301_000003_000002	Old Grannis had drawn his chair close to the wall--so close, in fact, that he could hear Miss Baker's grenadine brushing against the other side of the thin partition, at his very elbow, while she rocked gently back and forth, a cup of tea in her hands.	Old Grannis had drawn his chair close to the wall-so close, in fact, that he could hear Miss Baker's grenadine brushing against the other side of the thin partition, at his very elbow, while she rocked gently back and forth, a cup of tea in her hands.	true	42.41	56.74	23.45298
816_2301_000004_000000	Old Grannis's occupation was gone.	Old Grannis's occupation was gone.	true	57.2	59.47	23.341036
816_2301_000004_000001	That morning the bookselling firm where he had bought his pamphlets had taken his little binding apparatus from him to use as a model.	That morning the bookselling firm where he had bought his pamphlets had taken his little binding apparatus from him to use as a model.	true	59.63	66.61	21
816_2301_000004_000002	The transaction had been concluded.	The transaction had been concluded.	true	66.74	68.775	24.468636
816_2301_000004_000003	Old Grannis had received his check.	Old Grannis had received his check.	true	68.775	70.84	23.220888
816_2301_000004_000004	It was large enough, to be sure, but when all was over, he returned to his room and sat there sad and unoccupied, looking at the pattern in the carpet and counting the heads of the tacks in the zinc guard that was fastened to the wall behind his little stove.	It was large enough, to be sure, but when all was over, he returned to his room and sat there sad and unoccupied, looking at the pattern in the carpet and counting the heads of the tacks in the zinc guard that was fastened to the wall behind his little stove.	true	71.21	85	22.88072
