816_2301_000002_000000	CHAPTER 17	CHAPTER seventeen
816_2301_000003_000000	One day, about a fortnight after the coroner's inquest had been held, and when the excitement of the terrible affair was calming down and Polk Street beginning to resume its monotonous routine, Old Grannis sat in his clean, well-kept little room, in his cushioned armchair, his hands lying idly upon his knees.	One day, about a fortnight after the coroner's inquest had been held, and when the excitement of the terrible affair was calming down and Polk Street beginning to resume its monotonous routine, Old Grannis sat in his clean, well kept little room, in his cushioned armchair, his hands lying idly upon his knees.
816_2301_000003_000001	It was evening; not quite time to light the lamps.	It was evening; not quite time to light the lamps.
816_2301_000003_000002	Old Grannis had drawn his chair close to the wall--so close, in fact, that he could hear Miss Baker's grenadine brushing against the other side of the thin partition, at his very elbow, while she rocked gently back and forth, a cup of tea in her hands.	Old Grannis had drawn his chair close to the wall-so close, in fact, that he could hear Miss Baker's grenadine brushing against the other side of the thin partition, at his very elbow, while she rocked gently back and forth, a cup of tea in her hands.
816_2301_000004_000000	Old Grannis's occupation was gone.	Old Grannis's occupation was gone.
816_2301_000004_000001	That morning the bookselling firm where he had bought his pamphlets had taken his little binding apparatus from him to use as a model.	That morning the bookselling firm where he had bought his pamphlets had taken his little binding apparatus from him to use as a model.
816_2301_000004_000002	The transaction had been concluded.	The transaction had been concluded.
816_2301_000004_000003	Old Grannis had received his check.	Old Grannis had received his check.
816_2301_000004_000004	It was large enough, to be sure, but when all was over, he returned to his room and sat there sad and unoccupied, looking at the pattern in the carpet and counting the heads of the tacks in the zinc guard that was fastened to the wall behind his little stove.	It was large enough, to be sure, but when all was over, he returned to his room and sat there sad and unoccupied, looking at the pattern in the carpet and counting the heads of the tacks in the zinc guard that was fastened to the wall behind his little stove.
816_2301_000004_000006	It was five o'clock, the time when she was accustomed to make her cup of tea and "keep company" with him on her side of the partition.	It was five o'clock, the time when she was accustomed to make her cup of tea and "keep company" with him on her side of the partition.
816_2301_000004_000008	The minutes passed; side by side, and separated by only a couple of inches of board, the two old people sat there together, while the afternoon grew darker.	The minutes passed; side by side, and separated by only a couple of inches of board, the two old people sat there together, while the afternoon grew darker.
816_2301_000005_000001	There was nothing for him to do.	There was nothing for him to do.
816_2301_000005_000002	His hands lay idly in his lap.	His hands lay idly in his lap.
816_2301_000005_000003	His table, with its pile of pamphlets, was in a far corner of the room, and, from time to time, stirred with an uncertain trouble, he turned his head and looked at it sadly, reflecting that he would never use it again.	His table, with its pile of pamphlets, was in a far corner of the room, and, from time to time, stirred with an uncertain trouble, he turned his head and looked at it sadly, reflecting that he would never use it again.
816_2301_000005_000004	The absence of his accustomed work seemed to leave something out of his life.	The absence of his accustomed work seemed to leave something out of his life.
816_2301_000005_000005	It did not appear to him that he could be the same to Miss Baker now; their little habits were disarranged, their customs broken up.	It did not appear to him that he could be the same to Miss Baker now; their little habits were disarranged, their customs broken up.
816_2301_000005_000006	He could no longer fancy himself so near to her.	He could no longer fancy himself so near to her.
816_2301_000005_000007	They would drift apart now, and she would no longer make herself a cup of tea and "keep company" with him when she knew that he would never again sit before his table binding uncut pamphlets.	They would drift apart now, and she would no longer make herself a cup of tea and "keep company" with him when she knew that he would never again sit before his table binding uncut pamphlets.
816_2301_000005_000008	He had sold his happiness for money; he had bartered all his tardy romance for some miserable banknotes.	He had sold his happiness for money; he had bartered all his tardy romance for some miserable banknotes.
816_2301_000005_000009	He had not foreseen that it would be like this.	He had not foreseen that it would be like this.
816_2301_000005_000010	A vast regret welled up within him.	A vast regret welled up within him.
816_2301_000005_000011	What was that on the back of his hand?	What was that on the back of his hand?
816_2301_000006_000000	Old Grannis leant his face in his hands.	Old Grannis leant his face in his hands.
816_2301_000006_000001	Not only did an inexplicable regret stir within him, but a certain great tenderness came upon him. The tears that swam in his faded blue eyes were not altogether those of unhappiness.	Not only did an inexplicable regret stir within him, but a certain great tenderness came upon him. The tears that swam in his faded blue eyes were not altogether those of unhappiness.
816_2301_000006_000003	For thirty years his eyes had not been wet, but tonight he felt as if he were young again.	For thirty years his eyes had not been wet, but tonight he felt as if he were young again.
816_2301_000006_000004	He had never loved before, and there was still a part of him that was only twenty years of age.	He had never loved before, and there was still a part of him that was only twenty years of age.
816_2301_000006_000005	He could not tell whether he was profoundly sad or deeply happy; but he was not ashamed of the tears that brought the smart to his eyes and the ache to his throat.	He could not tell whether he was profoundly sad or deeply happy; but he was not ashamed of the tears that brought the smart to his eyes and the ache to his throat.
816_2301_000006_000006	He did not hear the timid rapping on his door, and it was not until the door itself opened that he looked up quickly and saw the little retired dressmaker standing on the threshold, carrying a cup of tea on a tiny Japanese tray.	He did not hear the timid rapping on his door, and it was not until the door itself opened that he looked up quickly and saw the little retired dressmaker standing on the threshold, carrying a cup of tea on a tiny Japanese tray.
816_2301_000006_000007	She held it toward him.	She held it toward him.
816_2301_000007_000000	"I was making some tea," she said, "and I thought you would like to have a cup."	"I was making some tea," she said, "and I thought you would like to have a cup."
816_2301_000008_000001	One moment she had been sitting quietly on her side of the partition, stirring her cup of tea with one of her Gorham spoons.	One moment she had been sitting quietly on her side of the partition, stirring her cup of tea with one of her Gorham spoons.
816_2301_000008_000002	She was quiet, she was peaceful.	She was quiet, she was peaceful.
816_2301_000008_000003	The evening was closing down tranquilly.	The evening was closing down tranquilly.
816_2301_000008_000004	Her room was the picture of calmness and order.	Her room was the picture of calmness and order.
816_2301_000008_000005	The geraniums blooming in the starch boxes in the window, the aged goldfish occasionally turning his iridescent flank to catch a sudden glow of the setting sun.	The geraniums blooming in the starch boxes in the window, the aged goldfish occasionally turning his iridescent flank to catch a sudden glow of the setting sun
816_2301_000008_000006	The next moment she had been all trepidation.	The next moment she had been all trepidation.
816_2301_000008_000007	It seemed to her the most natural thing in the world to make a steaming cup of tea and carry it in to Old Grannis next door.	It seemed to her the most natural thing in the world to make a steaming cup of tea and carry it in to Old Grannis next door.
816_2301_000008_000008	It seemed to her that he was wanting her, that she ought to go to him.	It seemed to her that he was wanting her, that she ought to go to him.
