5618_48831_000002_000000	CHAPTER XXXIII.	CHAPTER thirty three.
5618_48831_000003_000000	"THE TIME WILL COME."	"THE TIME WILL COME."
5618_48831_000006_000000	"At Guestwick Manor!" said Mrs. Dale.	"At Guestwick Manor!" said mrs Dale.
5618_48831_000006_000001	"Dear me!	"Dear me!
5618_48831_000006_000002	Do you hear that, Bell?	Do you hear that, Bell?
5618_48831_000006_000003	There's promotion for Master Johnny!"	There's promotion for Master Johnny!"
5618_48831_000007_000000	"Don't you remember, mamma," said Bell, "that he helped his lordship in his trouble with the bull?"	"Don't you remember, mamma," said Bell, "that he helped his lordship in his trouble with the bull?"
5618_48831_000008_000002	She valued him more highly after that scene than she did before.	She valued him more highly after that scene than she did before.
5618_48831_000008_000003	But now, she would feel herself injured and hurt if he ever made his way into her presence under circumstances as they existed.	But now, she would feel herself injured and hurt if he ever made his way into her presence under circumstances as they existed.
5618_48831_000009_000000	"I should not have thought that Lord De Guest was the man to show so much gratitude for so slight a favour," said the squire.	"I should not have thought that Lord De Guest was the man to show so much gratitude for so slight a favour," said the squire.
5618_48831_000009_000001	"However, I'm going to dine there to-morrow."	"However, I'm going to dine there to morrow."
5618_48831_000011_000000	"Yes,--especially to meet young Eames.	"Yes,--especially to meet young Eames.
5618_48831_000012_000000	"And is Bernard going?"	"And is Bernard going?"
5618_48831_000013_000000	"Indeed I'm not," said Bernard.	"Indeed I'm not," said Bernard.
5618_48831_000014_000006	Lily bore her cross bravely and well; but not the less did it weigh heavily upon her at every turn because she had the strength to walk as though she did not bear it.	Lily bore her cross bravely and well; but not the less did it weigh heavily upon her at every turn because she had the strength to walk as though she did not bear it.
5618_48831_000014_000007	Nothing happened to her, or in her presence, that did not in some way connect itself with her misery.	Nothing happened to her, or in her presence, that did not in some way connect itself with her misery.
5618_48831_000014_000009	Of course the men there would talk about her, and all such talking was an injury to her.	Of course the men there would talk about her, and all such talking was an injury to her.
5618_48831_000015_000000	The afternoon of that day did not pass away brightly.	The afternoon of that day did not pass away brightly.
5618_48831_000015_000001	As long as the servants were in the room the dinner went on much as other dinners. At such times a certain amount of hypocrisy must always be practised in closely domestic circles.	As long as the servants were in the room the dinner went on much as other dinners. At such times a certain amount of hypocrisy must always be practised in closely domestic circles.
5618_48831_000015_000003	People so mixed do not talk together their inward home thoughts.	People so mixed do not talk together their inward home thoughts.
5618_48831_000015_000004	But when close friends are together, a little conscious reticence is practised till the door is tiled.	But when close friends are together, a little conscious reticence is practised till the door is tiled.
5618_48831_000015_000006	When the door was tiled, and when the servants were gone, how could they be merry together?	When the door was tiled, and when the servants were gone, how could they be merry together?
5618_48831_000015_000007	By what mirth should the beards be made to wag on that Christmas Day?	By what mirth should the beards be made to wag on that Christmas Day?
5618_48831_000016_000001	"He was with Lord De Guest at Pawkins's."	"He was with Lord De Guest at Pawkins's."
5618_48831_000018_000002	I shall go down to Torquay in February.	I shall go down to Torquay in February.
5618_48831_000018_000003	I must be up in London, you know, in a fortnight, for good." Then they were all silent again for a few minutes.	I must be up in London, you know, in a fortnight, for good." Then they were all silent again for a few minutes.
5618_48831_000018_000004	If Bernard could have owned the truth, he would have acknowledged that he had not gone up to London, because he did not yet know how to treat Crosbie when he should meet him.	If Bernard could have owned the truth, he would have acknowledged that he had not gone up to London, because he did not yet know how to treat Crosbie when he should meet him.
5618_48831_000019_000000	"I want him to give up his profession altogether," said the squire, speaking firmly and slowly.	"I want him to give up his profession altogether," said the squire, speaking firmly and slowly.
5618_48831_000019_000001	"It would be better, I think, for both of us that he should do so."	"It would be better, I think, for both of us that he should do so."
5618_48831_000021_000000	"I think it would be wise.	"I think it would be wise.
5618_48831_000023_000000	"That would be your own fault.	"That would be your own fault.
5618_48831_000023_000001	But if you did as I would have you, your life would not be idle." In this he was alluding to Bernard's proposed marriage, but as to that nothing further could be said in Bell's presence.	But if you did as I would have you, your life would not be idle." In this he was alluding to Bernard's proposed marriage, but as to that nothing further could be said in Bell's presence.
5618_48831_000023_000002	Bell understood it all, and sat quite silent, with demure countenance;--perhaps even with something of sternness in her face.	Bell understood it all, and sat quite silent, with demure countenance;--perhaps even with something of sternness in her face.
5618_48831_000025_000000	"Why not?" said the squire.	"Why not?" said the squire.
5618_48831_000025_000001	"I have even offered to settle the property on him if he will leave the service."	"I have even offered to settle the property on him if he will leave the service."
5618_48831_000027_000000	"If you mean that I cannot constrain him, I know that well enough. As regards money, I have offered to do for him quite as much as any father would feel called upon to do for an only son."	"If you mean that I cannot constrain him, I know that well enough. As regards money, I have offered to do for him quite as much as any father would feel called upon to do for an only son."
5618_48831_000028_000000	"I hope you don't think me ungrateful," said Bernard.	"I hope you don't think me ungrateful," said Bernard.
