5985_300208_000000_000000	XIII	thirteen	false	1.56	25.095	22.541674
5985_300208_000001_000000	AN INJUDICIOUS PAYMENT	AN INJUDICIOUS PAYMENT	true	25.095	27.94	21.23769
5985_300208_000002_000000	When Judge Straight's visitors had departed, he took up the papers which had been laid loosely on the table as they were taken out of Tryon's breast-pocket, and commenced their perusal.	When Judge Straight's visitors had departed, he took up the papers which had been laid loosely on the table as they were taken out of Tryon's breast pocket, and commenced their perusal.	true	29.09	39.58	22.393877
5985_300208_000002_000001	There was a note for five hundred dollars, many years overdue, but not yet outlawed by lapse of time; a contract covering the transaction out of which the note had grown; and several letters and copies of letters modifying the terms of the contract.	There was a note for five hundred dollars, many years overdue, but not yet outlawed by lapse of time; a contract covering the transaction out of which the note had grown; and several letters and copies of letters modifying the terms of the contract.	true	39.8	56.34	22.63644
5985_300208_000002_000002	The judge had glanced over most of the papers, and was getting well into the merits of the case, when he unfolded a letter which read as follows:--	The judge had glanced over most of the papers, and was getting well into the merits of the case, when he unfolded a letter which read as follows:--	false	56.34	64.18	19.77807
5985_300208_000003_000000	MY DEAREST GEORGE,--I am going away for about a week, to visit the bedside of an old friend, who is very ill, and may not live.	MY DEAREST GEORGE,--I am going away for about a week, to visit the bedside of an old friend, who is very ill, and may not live.	true	64.97	75.01	22.332928
5985_300208_000003_000001	Do not be alarmed about me, for I shall very likely be back by the time you are.	Do not be alarmed about me, for I shall very likely be back by the time you are.	true	75.35	80.23	20.645082
5985_300208_000004_000000	Yours lovingly, ROWENA WARWICK.	Yours lovingly, ROWENA WARWICK.	true	80.75	84.79	17.456316
5985_300208_000005_000000	The judge was unable to connect this letter with the transaction which formed the subject of his examination.	The judge was unable to connect this letter with the transaction which formed the subject of his examination.	true	85.22	90.88	20.801722
5985_300208_000005_000001	Age had dimmed his perceptions somewhat, and it was not until he had finished the letter, and read it over again, and noted the signature at the bottom a second time, that he perceived that the writing was in a woman's hand, that the ink was comparatively fresh, and that the letter was dated only a couple of days before.	Age had dimmed his perceptions somewhat, and it was not until he had finished the letter, and read it over again, and noted the signature at the bottom a second time, that he perceived that the writing was in a woman's hand, that the ink was comparatively fresh, and that the letter was dated only a couple of days before.	true	91.64	110.23	21.377584
5985_300208_000005_000002	While he still held the sheet in his hand, it dawned upon him slowly that he held also one of the links in a chain of possible tragedy which he himself, he became uncomfortably aware, had had a hand in forging.	While he still held the sheet in his hand, it dawned upon him slowly that he held also one of the links in a chain of possible tragedy which he himself, he became uncomfortably aware, had had a hand in forging.	true	110.48	124.51	20.382439
5985_300208_000006_000000	"It is the Walden woman's daughter, as sure as fate!	"It is the Walden woman's daughter, as sure as fate!	true	124.55	127.78	18.029408
5985_300208_000006_000001	Her name is Rena. Her brother goes by the name of Warwick.	Her name is Rena. Her brother goes by the name of Warwick.	true	128.03	132.25	18.966562
5985_300208_000006_000002	She has come to visit her sick mother.	She has come to visit her sick mother.	true	132.65	135.6	24.23599
5985_300208_000006_000003	My young client, Green's relation, is her lover--is engaged to marry her--is in town, and is likely to meet her!"	My young client, Green's relation, is her lover-is engaged to marry her-is in town, and is likely to meet her!"	true	135.6	145.92	21.613344
5985_300208_000007_000000	The judge was so absorbed in the situation thus suggested that he laid the papers down and pondered for a moment the curious problem involved. He was quite aware that two races had not dwelt together, side by side, for nearly three hundred years, without mingling their blood in greater or less degree; he was old enough, and had seen curious things enough, to know that in this mingling the current had not always flowed in one direction.	The judge was so absorbed in the situation thus suggested that he laid the papers down and pondered for a moment the curious problem involved. He was quite aware that two races had not dwelt together, side by side, for nearly three hundred years, without mingling their blood in greater or less degree; he was old enough, and had seen curious things enough, to know that in this mingling the current had not always flowed in one direction.	false	145.92	173.2	21.665493
5985_300208_000007_000001	Certain old decisions with which he was familiar; old scandals that had crept along obscure channels; old facts that had come to the knowledge of an old practitioner, who held in the hollow of his hand the honor of more than one family, made him know that there was dark blood among the white people--not a great deal, and that very much diluted, and, so long as it was sedulously concealed or vigorously denied, or lost in the mists of tradition, or ascribed to a foreign or an aboriginal strain, having no perceptible effect upon the racial type.	Certain old decisions with which he was familiar; old scandals that had crept along obscure channels; old facts that had come to the knowledge of an old practitioner, who held in the hollow of his hand the honor of more than one family, made him know that there was dark blood among the white people-not a great deal, and that very much diluted, and, so long as it was sedulously concealed or vigorously denied, or lost in the mists of tradition, or ascribed to a foreign or an aboriginal strain, having no perceptible effect upon the racial type.	true	173.24	209.26	21.42091
5985_300208_000008_000000	Such people were, for the most part, merely on the ragged edge of the white world, seldom rising above the level of overseers, or slave-catchers, or sheriff's officers, who could usually be relied upon to resent the drop of black blood that tainted them, and with the zeal of the proselyte to visit their hatred of it upon the unfortunate blacks that fell into their hands.	Such people were, for the most part, merely on the ragged edge of the white world, seldom rising above the level of overseers, or slave catchers, or sheriff's officers, who could usually be relied upon to resent the drop of black blood that tainted them, and with the zeal of the proselyte to visit their hatred of it upon the unfortunate blacks that fell into their hands.	true	209.75	232.33	21.401072
5985_300208_000008_000001	One curse of negro slavery was, and one part of its baleful heritage is, that it poisoned the fountains of human sympathy.	One curse of negro slavery was, and one part of its baleful heritage is, that it poisoned the fountains of human sympathy.	true	233.39	242.38	21.071678
5985_300208_000008_000002	Under a system where men might sell their own children without social reprobation or loss of prestige, it was not surprising that some of them should hate their distant cousins.	Under a system where men might sell their own children without social reprobation or loss of prestige, it was not surprising that some of them should hate their distant cousins.	true	242.63	252.61	24.912512
5985_300208_000008_000003	There were not in Patesville half a dozen persons capable of thinking Judge Straight's thoughts upon the question before him, and perhaps not another who would have adopted the course he now pursued toward this anomalous family in the house behind the cedars.	There were not in Patesville half a dozen persons capable of thinking Judge Straight's thoughts upon the question before him, and perhaps not another who would have adopted the course he now pursued toward this anomalous family in the house behind the cedars.	false	253.52	268.48	23.908787
5985_300208_000009_000000	"Well, here we are again, as the clown in the circus remarks," murmured the judge.	"Well, here we are again, as the clown in the circus remarks," murmured the judge.	true	268.94	273.73	19.877144
5985_300208_000009_000001	"Ten years ago, in a moment of sentimental weakness and of quixotic loyalty to the memory of an old friend,--who, by the way, had not cared enough for his own children to take them away from the South, as he might have done, or to provide for them handsomely, as he perhaps meant to do,--I violated the traditions of my class and stepped from the beaten path to help the misbegotten son of my old friend out of the slough of despond, in which he had learned, in some strange way, that he was floundering.	"Ten years ago, in a moment of sentimental weakness and of quixotic loyalty to the memory of an old friend,--who, by the way, had not cared enough for his own children to take them away from the South, as he might have done, or to provide for them handsomely, as he perhaps meant to do,--I violated the traditions of my class and stepped from the beaten path to help the misbegotten son of my old friend out of the slough of despond, in which he had learned, in some strange way, that he was floundering.	true	274.16	304.12	21.192282
5985_300208_000009_000002	Ten years later, the ghost of my good deed returns to haunt me, and makes me doubt whether I have wrought more evil than good.	Ten years later, the ghost of my good deed returns to haunt me, and makes me doubt whether I have wrought more evil than good.	true	304.34	312.375	21.098263
5985_300208_000009_000003	I wonder," he mused, "if he will find her out?"	I wonder," he mused, "if he will find her out?"	true	312.375	317.445	23.36305
5985_300208_000010_000000	The judge was a man of imagination; he had read many books and had personally outlived some prejudices.	The judge was a man of imagination; he had read many books and had personally outlived some prejudices.	true	317.445	324.1	18.806442
5985_300208_000010_000001	He let his mind run on the various phases of the situation.	He let his mind run on the various phases of the situation.	true	324.8	328.99	18.05749
5985_300208_000011_000000	"If he found her out, would he by any possibility marry her?"	"If he found her out, would he by any possibility marry her?"	true	329.66	334.69	21.429832
5985_300208_000012_000000	"It is not likely," he answered himself.	"It is not likely," he answered himself.	true	334.85	337.18	22.755606
5985_300208_000012_000001	"If he made the discovery here, the facts would probably leak out in the town.	"If he made the discovery here, the facts would probably leak out in the town.	true	338.06	342.28	22.146362
5985_300208_000012_000002	It is something that a man might do in secret, but only a hero or a fool would do openly."	It is something that a man might do in secret, but only a hero or a fool would do openly."	true	342.71	348.97	20.31579
5985_300208_000013_000000	The judge sighed as he contemplated another possibility.	The judge sighed as he contemplated another possibility.	true	349.4	352.72	21.608648
5985_300208_000013_000001	He had lived for seventy years under the old regime.	He had lived for seventy years under the old regime.	true	353.06	356.8	19.20031
5985_300208_000013_000002	The young man was a gentleman--so had been the girl's father.	The young man was a gentleman-so had been the girl's father.	true	356.9	360.7	19.25859
5985_300208_000013_000003	Conditions were changed, but human nature was the same.	Conditions were changed, but human nature was the same.	true	361.4	364.66	20.092472
5985_300208_000013_000004	Would the young man's love turn to disgust and repulsion, or would it merely sink from the level of worship to that of desire?	Would the young man's love turn to disgust and repulsion, or would it merely sink from the level of worship to that of desire?	true	365.06	372.33	19.363766
5985_300208_000013_000005	Would the girl, denied marriage, accept anything less? Her mother had,--but conditions were changed.	Would the girl, denied marriage, accept anything less? Her mother had,--but conditions were changed.	false	372.33	380.44	21.227064
5985_300208_000013_000006	Yes, conditions were changed, so far as the girl was concerned; there was a possible future for her under the new order of things; but white people had not changed their opinion of the negroes, except for the worse.	Yes, conditions were changed, so far as the girl was concerned; there was a possible future for her under the new order of things; but white people had not changed their opinion of the negroes, except for the worse.	true	380.63	393.52	21.091223
5985_300208_000013_000007	The general belief was that they were just as inferior as before, and had, moreover, been spoiled by a disgusting assumption of equality, driven into their thick skulls by Yankee malignity bent upon humiliating a proud though vanquished foe.	The general belief was that they were just as inferior as before, and had, moreover, been spoiled by a disgusting assumption of equality, driven into their thick skulls by Yankee malignity bent upon humiliating a proud though vanquished foe.	true	394.1	409.84	20.075813
5985_300208_000014_000000	If the judge had had sons and daughters of his own, he might not have done what he now proceeded to do.	If the judge had had sons and daughters of his own, he might not have done what he now proceeded to do.	true	410.39	415.75	15.886448
5985_300208_000014_000001	But the old man's attitude toward society was chiefly that of an observer, and the narrow stream of sentiment left in his heart chose to flow toward the weaker party in this unequal conflict,--a young woman fighting for love and opportunity against the ranked forces of society, against immemorial tradition, against pride of family and of race.	But the old man's attitude toward society was chiefly that of an observer, and the narrow stream of sentiment left in his heart chose to flow toward the weaker party in this unequal conflict,--a young woman fighting for love and opportunity against the ranked forces of society, against immemorial tradition, against pride of family and of race.	true	416.09	438.49	23.032564
5985_300208_000015_000000	"It may be the unwisest thing I ever did," he said to himself, turning to his desk and taking up a quill pen, "and may result in more harm than good; but I was always from childhood in sympathy with the under dog.	"It may be the unwisest thing I ever did," he said to himself, turning to his desk and taking up a quill pen, "and may result in more harm than good; but I was always from childhood in sympathy with the under dog.	true	438.83	452.5	20.013632
5985_300208_000015_000001	There is certainly as much reason in my helping the girl as the boy, for being a woman, she is less able to help herself."	There is certainly as much reason in my helping the girl as the boy, for being a woman, she is less able to help herself."	true	452.72	459.55	20.801682
5985_300208_000016_000000	He dipped his pen into the ink and wrote the following lines:--	He dipped his pen into the ink and wrote the following lines:--	true	460.52	463.93	25.055847
5985_300208_000017_000000	MADAM,--If you value your daughter's happiness, keep her at home for the next day or two.	MADAM,--If you value your daughter's happiness, keep her at home for the next day or two.	true	464.54	470.92	20.545977
5985_300208_000018_000000	This note he dried by sprinkling it with sand from a box near at hand, signed with his own name, and, with a fine courtesy, addressed to "Mrs. Molly Walden." Having first carefully sealed it in an envelope, he stepped to the open door, and spied, playing marbles on the street near by, a group of negro boys, one of whom the judge called by name.	This note he dried by sprinkling it with sand from a box near at hand, signed with his own name, and, with a fine courtesy, addressed to "mrs Molly Walden." Having first carefully sealed it in an envelope, he stepped to the open door, and spied, playing marbles on the street near by, a group of negro boys, one of whom the judge called by name.	true	471.98	495.6	21.981894
5985_300208_000019_000000	"Here, Billy," he said, handing the boy the note, "take this to Mis' Molly Walden.	"Here, Billy," he said, handing the boy the note, "take this to Mis' Molly Walden.	true	495.6	501.34	18.99537
5985_300208_000019_000001	Do you know where she lives--down on Front Street, in the house behind the cedars?"	Do you know where she lives-down on Front Street, in the house behind the cedars?"	true	501.56	505.41	21.816525
5985_300208_000020_000000	"Yas, suh, I knows de place."	"Yas, suh, I knows de place."	false	505.41	508.95	20.844961
5985_300208_000021_000000	"Make haste, now.	"Make haste, now.	false	508.95	510.28	29.869959
5985_300208_000021_000001	When you come back and tell me what she says, I'll give you ten cents.	When you come back and tell me what she says, I'll give you ten cents.	true	510.62	514.69	23.471067
5985_300208_000021_000002	On second thoughts, I shall be gone to lunch, so here's your money," he added, handing the lad the bit of soiled paper by which the United States government acknowledged its indebtedness to the bearer in the sum of ten cents.	On second thoughts, I shall be gone to lunch, so here's your money," he added, handing the lad the bit of soiled paper by which the United States government acknowledged its indebtedness to the bearer in the sum of ten cents.	true	515.09	527.28	21.214334
5985_300208_000022_000000	Just here, however, the judge made his mistake.	Just here, however, the judge made his mistake.	false	527.28	530.95	20.096539
5985_300208_000022_000001	Very few mortals can spare the spring of hope, the motive force of expectation.	Very few mortals can spare the spring of hope, the motive force of expectation.	true	531.35	536.98	22.828424
5985_300208_000022_000002	The boy kept the note in his hand, winked at his companions, who had gathered as near as their awe of the judge would permit, and started down the street.	The boy kept the note in his hand, winked at his companions, who had gathered as near as their awe of the judge would permit, and started down the street.	true	537.14	545.47	23.90591
5985_300208_000022_000003	As soon as the judge had disappeared, Billy beckoned to his friends, who speedily overtook him.	As soon as the judge had disappeared, Billy beckoned to his friends, who speedily overtook him.	true	546.17	551.29	22.098448
5985_300208_000022_000004	When the party turned the corner of Front Street and were safely out of sight of Judge Straight's office, the capitalist entered the grocery store and invested his unearned increment in gingerbread.	When the party turned the corner of Front Street and were safely out of sight of Judge Straight's office, the capitalist entered the grocery store and invested his unearned increment in gingerbread.	true	551.99	563.02	22.678726
5985_300208_000022_000005	When the ensuing saturnalia was over, Billy finished the game of marbles which the judge had interrupted, and then set out to execute his commission.	When the ensuing saturnalia was over, Billy finished the game of marbles which the judge had interrupted, and then set out to execute his commission.	true	563.33	572.5	18.221888
5985_300208_000022_000006	He had nearly reached his objective point when he met upon the street a young white lady, whom he did not know, and for whom, the path being narrow at that point, he stepped out into the gutter.	He had nearly reached his objective point when he met upon the street a young white lady, whom he did not know, and for whom, the path being narrow at that point, he stepped out into the gutter.	true	573.29	584.8	22.184362
5985_300208_000022_000007	He reached the house behind the cedars, went round to the back door, and handed the envelope to Mis' Molly, who was seated on the rear piazza, propped up by pillows in a comfortable rocking-chair.	He reached the house behind the cedars, went round to the back door, and handed the envelope to Mis' Molly, who was seated on the rear piazza, propped up by pillows in a comfortable rocking chair.	true	584.9	596.86	23.92334
5985_300208_000023_000000	"Laws-a-massy!" she exclaimed weakly, "what is it?"	"Laws a massy!" she exclaimed weakly, "what is it?"	false	596.93	601.44	22.228008
5985_300208_000024_000000	"It's a lettuh, ma'm," answered the boy, whose expanding nostrils had caught a pleasant odor from the kitchen, and who was therefore in no hurry to go away.	"It's a lettuh, ma'm," answered the boy, whose expanding nostrils had caught a pleasant odor from the kitchen, and who was therefore in no hurry to go away.	false	601.44	611.8	20.024195
5985_300208_000025_000000	"Who's it fur?" she asked.	"Who's it fur?" she asked.	true	612.05	613.92	20.757689
5985_300208_000026_000000	"It's fuh you, ma'm," replied the lad.	"It's f u h you, ma'm," replied the lad.	false	613.92	616.74	24.72032
5985_300208_000027_000000	"An' who's it from?" she inquired, turning the envelope over and over, and examining it with the impotent curiosity of one who cannot read.	"An' who's it from?" she inquired, turning the envelope over and over, and examining it with the impotent curiosity of one who cannot read.	false	616.74	626.4	20.5463
5985_300208_000028_000000	"F'm ole Jedge Straight, ma'm.	"F'm ole Jedge Straight, ma'm.	false	626.4	629.19	24.25962
5985_300208_000028_000001	He tole me ter fetch it ter you.	He tole me ter fetch it ter you.	false	629.19	630.7	25.781069
5985_300208_000028_000002	Is you got a roasted 'tater you could gimme, ma'm?"	Is you got a roasted 'tater you could gimme, ma'm?"	false	631.07	634.44	26.540789
5985_300208_000029_000000	"Shorely, chile.	"Shorely, chile.	false	634.44	635.94	29.605524
5985_300208_000029_000001	I'll have Aunt Zilphy fetch you a piece of 'tater pone, if you'll hol' on a minute."	I'll have Aunt Zilphy fetch you a piece of 'tater pone, if you'll hol' on a minute."	true	635.94	639.91	20
5985_300208_000030_000000	She called to Aunt Zilphy, who soon came hobbling out of the kitchen with a large square of the delicacy,--a flat cake made of mashed sweet potatoes, mixed with beaten eggs, sweetened and flavored to suit the taste, and baked in a Dutch oven upon the open hearth.	She called to Aunt Zilphy, who soon came hobbling out of the kitchen with a large square of the delicacy,--a flat cake made of mashed sweet potatoes, mixed with beaten eggs, sweetened and flavored to suit the taste, and baked in a Dutch oven upon the open hearth.	true	641.18	657.76	21.795843
5985_300208_000031_000000	The boy took the gratuity, thanked her, and turned to go.	The boy took the gratuity, thanked her, and turned to go.	true	658.28	662.29	28.834345
5985_300208_000031_000001	Mis' Molly was still scanning the superscription of the letter.	Mis' Molly was still scanning the superscription of the letter.	true	662.9	666.13	24.832659
5985_300208_000031_000002	"I wonder," she murmured, "what old Judge Straight can be writin' to me about.	"I wonder," she murmured, "what old Judge Straight can be writin' to me about.	true	666.68	671.26	24.029598
5985_300208_000031_000003	Oh, boy!"	Oh, boy!"	true	672.05	673.95	24.350723
5985_300208_000032_000000	"Yas 'm," answered the messenger, looking back.	"Yas 'm," answered the messenger, looking back.	false	673.95	677.32	27.439632
5985_300208_000033_000000	"Can you read writin'?"	"Can you read writin'?"	false	677.93	680.22	20.736565
5985_300208_000034_000000	"No 'm."	"No 'm."	false	680.22	682.17	21.061943
5985_300208_000035_000000	"All right.	"All right.	true	682.17	682.74	18
5985_300208_000035_000001	Never mind."	Never mind."	true	682.74	683.71	22.110416
5985_300208_000036_000000	She laid the letter carefully on the chimney-piece of the kitchen.	She laid the letter carefully on the chimney piece of the kitchen.	true	684.77	688.03	23.979944
5985_300208_000036_000001	"I reckon it's somethin' mo' 'bout the taxes," she thought, "or maybe somebody wants to buy one er my lots.	"I reckon it's somethin' mo' 'bout the taxes," she thought, "or maybe somebody wants to buy one er my lots.	false	688.76	695.52	20.783245
5985_300208_000036_000002	Rena'll be back terreckly, an' she kin read it an' find out.	Rena'll be back terreckly, an' she kin read it an' find out.	false	695.52	699.25	23.271212
5985_300208_000036_000003	I'm glad my child'en have be'n to school. They never could have got where they are now if they hadn't."	I'm glad my child'en have be'n to school. They never could have got where they are now if they hadn't."	false	699.95	704.52	23.157612
5985_300208_000037_000000	XIV	fourteen	false	704.52	704.52	
5985_300208_000038_000000	A LOYAL FRIEND	A LOYAL FRIEND	false	704.52	704.52	
5985_300208_000039_000000	Mention has been made of certain addressed envelopes which John Warwick, on the occasion of his visit to Patesville, had left with his illiterate mother, by the use of which she might communicate with her children from time to time.	Mention has been made of certain addressed envelopes which john Warwick, on the occasion of his visit to Patesville, had left with his illiterate mother, by the use of which she might communicate with her children from time to time.	false	704.52	705.84	19.633417
5985_300208_000039_000001	On one occasion, Mis' Molly, having had a letter written, took one of these envelopes from the chest where she kept her most valued possessions, and was about to inclose the letter when some one knocked at the back door.	On one occasion, Mis' Molly, having had a letter written, took one of these envelopes from the chest where she kept her most valued possessions, and was about to inclose the letter when some one knocked at the back door.	false	705.84	706.89	100
5985_300208_000039_000002	She laid the envelope and letter on a table in her bedroom, and went to answer the knock.	She laid the envelope and letter on a table in her bedroom, and went to answer the knock.	false	706.89	706.89	
5985_300208_000039_000003	The wind, blowing across the room through the open windows, picked up the envelope and bore it into the street.	The wind, blowing across the room through the open windows, picked up the envelope and bore it into the street.	false	706.89	706.89	
5985_300208_000039_000004	Mis' Molly, on her return, missed it, looked for it, and being unable to find it, took another envelope.	Mis' Molly, on her return, missed it, looked for it, and being unable to find it, took another envelope.	false	706.89	706.89	
5985_300208_000039_000005	An hour or two later another gust of wind lifted the bit of paper from the ground and carried it into the open door of the cooper shop.	An hour or two later another gust of wind lifted the bit of paper from the ground and carried it into the open door of the cooper shop.	false	706.89	707.61	11
5985_300208_000039_000006	Frank picked it up, and observing that it was clean and unused, read the superscription.	Frank picked it up, and observing that it was clean and unused, read the superscription.	false	707.61	708.09	14
5985_300208_000039_000007	In his conversations with Mis' Molly, which were often about Rena,--the subject uppermost in both their minds,--he had noted the mystery maintained by Mis' Molly about her daughter's whereabouts, and had often wondered where she might be.	In his conversations with Mis' Molly, which were often about Rena,--the subject uppermost in both their minds,--he had noted the mystery maintained by Mis' Molly about her daughter's whereabouts, and had often wondered where she might be.	false	708.09	709.29	42.150646
5985_300208_000039_000008	Frank was an intelligent fellow, and could put this and that together.	Frank was an intelligent fellow, and could put this and that together.	false	709.29	709.5	11
5985_300208_000039_000009	The envelope was addressed to a place in South Carolina.	The envelope was addressed to a place in South Carolina.	false	709.5	709.74	9
5985_300208_000039_000010	He was aware, from some casual remark of Mis' Molly's, that Rena had gone to live in South Carolina.	He was aware, from some casual remark of Mis' Molly's, that Rena had gone to live in South Carolina.	false	709.74	710.49	28
5985_300208_000039_000011	Her son's name was John--that he had changed his last name was more than likely.	Her son's name was john--that he had changed his last name was more than likely.	false	710.49	711.09	19.832811
5985_300208_000039_000012	Frank was not long in reaching the conclusion that Rena was to be found near the town named on the envelope, which he carefully preserved for future reference.	Frank was not long in reaching the conclusion that Rena was to be found near the town named on the envelope, which he carefully preserved for future reference.	false	711.09	712.11	-20
