5985_300208_000001_000000	AN INJUDICIOUS PAYMENT	AN INJUDICIOUS PAYMENT
5985_300208_000002_000000	When Judge Straight's visitors had departed, he took up the papers which had been laid loosely on the table as they were taken out of Tryon's breast-pocket, and commenced their perusal.	When Judge Straight's visitors had departed, he took up the papers which had been laid loosely on the table as they were taken out of Tryon's breast pocket, and commenced their perusal.
5985_300208_000002_000001	There was a note for five hundred dollars, many years overdue, but not yet outlawed by lapse of time; a contract covering the transaction out of which the note had grown; and several letters and copies of letters modifying the terms of the contract.	There was a note for five hundred dollars, many years overdue, but not yet outlawed by lapse of time; a contract covering the transaction out of which the note had grown; and several letters and copies of letters modifying the terms of the contract.
5985_300208_000003_000000	MY DEAREST GEORGE,--I am going away for about a week, to visit the bedside of an old friend, who is very ill, and may not live.	MY DEAREST GEORGE,--I am going away for about a week, to visit the bedside of an old friend, who is very ill, and may not live.
5985_300208_000003_000001	Do not be alarmed about me, for I shall very likely be back by the time you are.	Do not be alarmed about me, for I shall very likely be back by the time you are.
5985_300208_000005_000000	The judge was unable to connect this letter with the transaction which formed the subject of his examination.	The judge was unable to connect this letter with the transaction which formed the subject of his examination.
5985_300208_000005_000001	Age had dimmed his perceptions somewhat, and it was not until he had finished the letter, and read it over again, and noted the signature at the bottom a second time, that he perceived that the writing was in a woman's hand, that the ink was comparatively fresh, and that the letter was dated only a couple of days before.	Age had dimmed his perceptions somewhat, and it was not until he had finished the letter, and read it over again, and noted the signature at the bottom a second time, that he perceived that the writing was in a woman's hand, that the ink was comparatively fresh, and that the letter was dated only a couple of days before.
5985_300208_000005_000002	While he still held the sheet in his hand, it dawned upon him slowly that he held also one of the links in a chain of possible tragedy which he himself, he became uncomfortably aware, had had a hand in forging.	While he still held the sheet in his hand, it dawned upon him slowly that he held also one of the links in a chain of possible tragedy which he himself, he became uncomfortably aware, had had a hand in forging.
5985_300208_000006_000002	She has come to visit her sick mother.	She has come to visit her sick mother.
5985_300208_000006_000003	My young client, Green's relation, is her lover--is engaged to marry her--is in town, and is likely to meet her!"	My young client, Green's relation, is her lover-is engaged to marry her-is in town, and is likely to meet her!"
5985_300208_000008_000000	Such people were, for the most part, merely on the ragged edge of the white world, seldom rising above the level of overseers, or slave-catchers, or sheriff's officers, who could usually be relied upon to resent the drop of black blood that tainted them, and with the zeal of the proselyte to visit their hatred of it upon the unfortunate blacks that fell into their hands.	Such people were, for the most part, merely on the ragged edge of the white world, seldom rising above the level of overseers, or slave catchers, or sheriff's officers, who could usually be relied upon to resent the drop of black blood that tainted them, and with the zeal of the proselyte to visit their hatred of it upon the unfortunate blacks that fell into their hands.
5985_300208_000008_000001	One curse of negro slavery was, and one part of its baleful heritage is, that it poisoned the fountains of human sympathy.	One curse of negro slavery was, and one part of its baleful heritage is, that it poisoned the fountains of human sympathy.
5985_300208_000008_000002	Under a system where men might sell their own children without social reprobation or loss of prestige, it was not surprising that some of them should hate their distant cousins.	Under a system where men might sell their own children without social reprobation or loss of prestige, it was not surprising that some of them should hate their distant cousins.
5985_300208_000009_000002	Ten years later, the ghost of my good deed returns to haunt me, and makes me doubt whether I have wrought more evil than good.	Ten years later, the ghost of my good deed returns to haunt me, and makes me doubt whether I have wrought more evil than good.
5985_300208_000009_000003	I wonder," he mused, "if he will find her out?"	I wonder," he mused, "if he will find her out?"
5985_300208_000011_000000	"If he found her out, would he by any possibility marry her?"	"If he found her out, would he by any possibility marry her?"
5985_300208_000012_000000	"It is not likely," he answered himself.	"It is not likely," he answered himself.
5985_300208_000012_000001	"If he made the discovery here, the facts would probably leak out in the town.	"If he made the discovery here, the facts would probably leak out in the town.
5985_300208_000012_000002	It is something that a man might do in secret, but only a hero or a fool would do openly."	It is something that a man might do in secret, but only a hero or a fool would do openly."
5985_300208_000013_000000	The judge sighed as he contemplated another possibility.	The judge sighed as he contemplated another possibility.
5985_300208_000013_000003	Conditions were changed, but human nature was the same.	Conditions were changed, but human nature was the same.
5985_300208_000013_000006	Yes, conditions were changed, so far as the girl was concerned; there was a possible future for her under the new order of things; but white people had not changed their opinion of the negroes, except for the worse.	Yes, conditions were changed, so far as the girl was concerned; there was a possible future for her under the new order of things; but white people had not changed their opinion of the negroes, except for the worse.
5985_300208_000013_000007	The general belief was that they were just as inferior as before, and had, moreover, been spoiled by a disgusting assumption of equality, driven into their thick skulls by Yankee malignity bent upon humiliating a proud though vanquished foe.	The general belief was that they were just as inferior as before, and had, moreover, been spoiled by a disgusting assumption of equality, driven into their thick skulls by Yankee malignity bent upon humiliating a proud though vanquished foe.
