3221_9174_000002_000000	CHAPTER XI.	CHAPTER eleven.
3221_9174_000003_000000	THE CHRISTIAN CONCEPTION OF LIFE HAS ALREADY ARISEN IN OUR SOCIETY, AND WILL INFALLIBLY PUT AN END TO THE PRESENT ORGANIZATION OF OUR LIFE BASED ON FORCE--WHEN THAT WILL BE.	THE CHRISTIAN CONCEPTION OF LIFE HAS ALREADY ARISEN IN OUR SOCIETY, AND WILL INFALLIBLY PUT AN END TO THE PRESENT ORGANIZATION OF OUR LIFE BASED ON FORCE-WHEN THAT WILL BE.
3221_9174_000005_000000	The position of Christian humanity with its prisons, galleys, gibbets, its factories and accumulation of capital, its taxes, churches, gin-palaces, licensed brothels, its ever-increasing armament and its millions of brutalized men, ready, like chained dogs, to attack anyone against whom their master incites them, would be terrible indeed if it were the product of violence, but it is pre-eminently the product of public opinion.	The position of Christian humanity with its prisons, galleys, gibbets, its factories and accumulation of capital, its taxes, churches, gin palaces, licensed brothels, its ever increasing armament and its millions of brutalized men, ready, like chained dogs, to attack anyone against whom their master incites them, would be terrible indeed if it were the product of violence, but it is pre eminently the product of public opinion.
3221_9174_000005_000001	And what has been established by public opinion can be destroyed by public opinion--and, indeed, is being destroyed by public opinion.	And what has been established by public opinion can be destroyed by public opinion-and, indeed, is being destroyed by public opinion.
3221_9174_000007_000000	And to bring this to pass, nothing new need be brought before men's minds.	And to bring this to pass, nothing new need be brought before men's minds.
3221_9174_000007_000001	Only let the mist, which veils from men's eyes the true meaning of certain acts of violence, pass away, and the Christian public opinion which is springing up would overpower the extinct public opinion which permitted and justified acts of violence.	Only let the mist, which veils from men's eyes the true meaning of certain acts of violence, pass away, and the Christian public opinion which is springing up would overpower the extinct public opinion which permitted and justified acts of violence.
3221_9174_000008_000001	But the rising Christian ideal, which must at a certain stage of development replace the heathen ideal of life, already makes its influence felt.	But the rising Christian ideal, which must at a certain stage of development replace the heathen ideal of life, already makes its influence felt.
3221_9174_000008_000002	A dead tree stands apparently as firmly as ever--it may even seem firmer because it is harder--but it is rotten at the core, and soon must fall.	A dead tree stands apparently as firmly as ever-it may even seem firmer because it is harder-but it is rotten at the core, and soon must fall.
3221_9174_000008_000003	It is just so with the present order of society, based on force.	It is just so with the present order of society, based on force.
3221_9174_000008_000004	The external aspect is unchanged.	The external aspect is unchanged.
3221_9174_000009_000000	The oppressors, that is, those who take part in government, and those who profit by oppression, that is, the rich, no longer imagine, as they once did, that they are the elect of the world, and that they constitute the ideal of human happiness and greatness, to attain which was once the highest aim of the oppressed.	The oppressors, that is, those who take part in government, and those who profit by oppression, that is, the rich, no longer imagine, as they once did, that they are the elect of the world, and that they constitute the ideal of human happiness and greatness, to attain which was once the highest aim of the oppressed.
3221_9174_000012_000000	The position of a government official or of a rich man is no longer, as it once was, and still is among non-Christian peoples, regarded as necessarily honorable and deserving of respect, and under the special blessing of God.	The position of a government official or of a rich man is no longer, as it once was, and still is among non Christian peoples, regarded as necessarily honorable and deserving of respect, and under the special blessing of God.
3221_9174_000012_000001	The most delicate and moral people (they are generally also the most cultivated) avoid such positions and prefer more humble callings that are not dependent on the use of force.	The most delicate and moral people (they are generally also the most cultivated) avoid such positions and prefer more humble callings that are not dependent on the use of force.
3221_9174_000014_000001	They are the men whose praises are celebrated in poetry, who are honored by sculpture and received with triumphant jubilations.	They are the men whose praises are celebrated in poetry, who are honored by sculpture and received with triumphant jubilations.
3221_9174_000015_000000	The best men of our day are all striving for such places of honor. Consequently the class from which the wealthy and the government officials are drawn grows less in number and lower in intelligence and education, and still more in moral qualities.	The best men of our day are all striving for such places of honor. Consequently the class from which the wealthy and the government officials are drawn grows less in number and lower in intelligence and education, and still more in moral qualities.
3221_9174_000016_000001	One may often nowadays hear from persons in authority the naive complaint that the best people are always, by some strange--as it seems to them--fatality, to be found in the camp of the opposition.	One may often nowadays hear from persons in authority the naive complaint that the best people are always, by some strange-as it seems to them-fatality, to be found in the camp of the opposition.
3221_9174_000018_000004	And even this duty they perform less and less successfully.	And even this duty they perform less and less successfully.
3221_9174_000018_000005	The majority of them do not keep up their old unapproachable majesty, but become more and more democratized and even vulgarized, casting aside the external prestige that remained to them, and thereby destroying the very thing it was their function to maintain.	The majority of them do not keep up their old unapproachable majesty, but become more and more democratized and even vulgarized, casting aside the external prestige that remained to them, and thereby destroying the very thing it was their function to maintain.
3221_9174_000019_000000	It is just the same with the army.	It is just the same with the army.
3221_9174_000019_000002	In the last plots against the Russian Government many of the conspirators were in the army.	In the last plots against the Russian Government many of the conspirators were in the army.
3221_9174_000019_000004	And it often happens (there was a case, indeed, within the last few days) that when called upon to quell disturbances they refuse to fire upon the people.	And it often happens (there was a case, indeed, within the last few days) that when called upon to quell disturbances they refuse to fire upon the people.
3221_9174_000019_000005	Military exploits are openly reprobated by the military themselves, and are often the subject of jests among them.	Military exploits are openly reprobated by the military themselves, and are often the subject of jests among them.
3221_9174_000020_000003	The prosecutors themselves often refuse to proceed, and even when they do proceed, often in spite of the law, really defend those they ought to be accusing.	The prosecutors themselves often refuse to proceed, and even when they do proceed, often in spite of the law, really defend those they ought to be accusing.
3221_9174_000020_000004	The learned jurists whose business it is to justify the violence of authority, are more and more disposed to deny the right of punishment and to replace it by theories of irresponsibility and even of moral insanity, proposing to deal with those they call criminals by medical treatment only.	The learned jurists whose business it is to justify the violence of authority, are more and more disposed to deny the right of punishment and to replace it by theories of irresponsibility and even of moral insanity, proposing to deal with those they call criminals by medical treatment only.
3221_9174_000021_000000	Jailers and overseers of galleys generally become the champions of those whom they ought to torture.	Jailers and overseers of galleys generally become the champions of those whom they ought to torture.
3221_9174_000021_000005	Governors, police officials, tax collectors often have compassion on the people and try to find pretexts for not collecting the tax from them.	Governors, police officials, tax collectors often have compassion on the people and try to find pretexts for not collecting the tax from them.
3221_9174_000021_000006	The rich are not at ease in spending their wealth only on themselves, and lavish it on works of public utility.	The rich are not at ease in spending their wealth only on themselves, and lavish it on works of public utility.
