7802_104398_000000_000000	CHAPTER XVII	CHAPTER seventeen	false	0.96	21.46	20.733116
7802_104398_000001_000000	THE JUNE MOON	THE JUNE MOON	true	21.89	23.8	21.800343
7802_104398_000002_000000	Now every day Eric was becoming acquainted with strange Forest People: those who had hidden away from winter in trees, and those who were wandering up from the south along with the birds, and Blue Water People, of course, all along the Forest streams.	Now every day Eric was becoming acquainted with strange Forest People: those who had hidden away from winter in trees, and those who were wandering up from the south along with the birds, and Blue Water People, of course, all along the Forest streams.	false	24.35	40.36	19
7802_104398_000002_000001	The Forest teemed with new playmates for him and Ivra.	The Forest teemed with new playmates for him and Ivra.	true	40.46	43.99	21
7802_104398_000003_000000	Hide-and-go-seek was still the favorite game.	Hide and go seek was still the favorite game.	true	44.45	46.87	21
7802_104398_000003_000001	And now it was more fun to be "It" than to be hiding almost, for one was likely to come upon strangers peeping out of tree hollows, swimming under water, or swinging in the tree tops, any minute.	And now it was more fun to be "It" than to be hiding almost, for one was likely to come upon strangers peeping out of tree hollows, swimming under water, or swinging in the tree tops, any minute.	true	47.24	59.02	17
7802_104398_000003_000002	When the person who was "It" came across one of these strangers he would simply say, "I spy, and you're It." Then he would draw the stranger away to the goal, where he usually joined the game and was as much at home as though he had been playing in it from the very first.	When the person who was "It" came across one of these strangers he would simply say, "I spy, and you're It." Then he would draw the stranger away to the goal, where he usually joined the game and was as much at home as though he had been playing in it from the very first.	false	59.36	76.42	20
7802_104398_000004_000000	The day that Eric found Wild Thyme so was the best of all,--or rather she was the best of all.	The day that Eric found Wild Thyme so was the best of all,--or rather she was the best of all.	false	76.76	83.35	22.157566
7802_104398_000004_000001	And that was strange, for when he first spied her he did not like her at all.	And that was strange, for when he first spied her he did not like her at all.	true	83.6	89.26	21.333176
7802_104398_000004_000002	Her dress was a purple slip just to her knees, with a big rent in the skirt.	Her dress was a purple slip just to her knees, with a big rent in the skirt.	true	89.54	95.05	20.44704
7802_104398_000004_000003	Her hair was short and bushy and dark.	Her hair was short and bushy and dark.	false	95.09	98.05	19.918394
7802_104398_000004_000004	And her face was soberer than most Forest People's faces.	And her face was soberer than most Forest People's faces.	true	98.06	101.41	17
7802_104398_000004_000005	She was sitting out at the edge of the Forest on a flat rock, her chin in her hands, and she did not look eager to make friends with any one.	She was sitting out at the edge of the Forest on a flat rock, her chin in her hands, and she did not look eager to make friends with any one.	true	101.75	109.93	19.736898
7802_104398_000005_000000	But he cried, "I spy!	But he cried, "I spy!	true	110.45	112.605	25.050373
7802_104398_000005_000001	You're It!" just the same.	You're It!" just the same.	true	112.605	114.91	27.923233
7802_104398_000005_000002	She did not lift her eyes.	She did not lift her eyes.	true	115.16	116.79	22.399487
7802_104398_000005_000003	She only said, "You must catch me first.	She only said, "You must catch me first.	true	116.79	119.56	19.516527
7802_104398_000005_000004	I am Wild Thyme, and that will be hard!"	I am Wild Thyme, and that will be hard!"	true	119.63	122.5	18.645235
7802_104398_000006_000000	Eric laughed, for she was not a yard away from him.	Eric laughed, for she was not a yard away from him.	true	122.87	126.61	16.244444
7802_104398_000006_000001	And he sprang forward as he laughed.	And he sprang forward as he laughed.	true	126.77	129.13	20.65655
7802_104398_000006_000002	But she was quicker than he.	But she was quicker than he.	true	129.26	132.07	20.63964
7802_104398_000006_000003	She had been at perfect rest on the rock, her chin in her hands, and not looking at him, but the instant he jumped she was off like a flash, a purple streak across the field.	She had been at perfect rest on the rock, her chin in her hands, and not looking at him, but the instant he jumped she was off like a flash, a purple streak across the field.	false	132.44	144.1	20.392792
7802_104398_000007_000000	But Eric did not let his surprise delay him.	But Eric did not let his surprise delay him.	true	144.32	146.71	21
7802_104398_000007_000001	He ran after her just as fast as he could, and that was very, very fast, for running with Ivra had taught him to run faster than most Earth Children ever dream of running.	He ran after her just as fast as he could, and that was very, very fast, for running with Ivra had taught him to run faster than most Earth Children ever dream of running.	false	146.75	157.12	21
